trace_idx,cost,realization_ids,violations
0,inf,,unknown label 'g' | unknown label 's' | unknown label ':' | unknown label 'o' | unknown label 'u' | unknown label 'e' | unknown label 'c' | unknown label 'r'
1,inf,,unknown label 's' | unknown label ':' | unknown label 'p' | unknown label 'a' | unknown label 'i' | unknown label 'e' | unknown label 't' | unknown label 'm'
2,inf,,unknown label 'n' | unknown label ':' | unknown label 'p' | unknown label 'a' | unknown label 'o' | unknown label 'e' | unknown label 'c' | unknown label 't' | unknown label 'm'
3,inf,,unknown label 's' | unknown label 'f' | unknown label 'n' | unknown label ':' | unknown label 'a' | unknown label 'i' | unknown label 'o' | unknown label 'e' | unknown label 'c' | unknown label 'l' | unknown label 'y' | unknown label 't' | unknown label 'r'
4,inf,,unknown label 's' | unknown label 'n' | unknown label ':' | unknown label 'p' | unknown label 'a' | unknown label 'o' | unknown label 'e' | unknown label 'c' | unknown label 't' | unknown label 'm'
5,inf,,unknown label 's' | unknown label ':' | unknown label 'a' | unknown label 'o' | unknown label 'e' | unknown label 'c' | unknown label 't' | unknown label 'r'
6,inf,,unknown label 's' | unknown label 'I' | unknown label 'n' | unknown label ')' | unknown label 'C' | unknown label 'd' | unknown label 'a' | unknown label 'u' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'l' | unknown label '(' | unknown label 'b'
7,inf,,unknown label 's' | unknown label 'R' | unknown label 'o' | unknown label 'u' | unknown label 'e' | unknown label 'c' | unknown label 'r'
8,inf,,unknown label 's' | unknown label 'S' | unknown label ')' | unknown label 'a' | unknown label 'u' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 't' | unknown label '('
9,inf,,unknown label 's' | unknown label 'R' | unknown label 'n' | unknown label ')' | unknown label 'p' | unknown label 'a' | unknown label 'i' | unknown label 'o' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'l' | unknown label 't' | unknown label '(' | unknown label 'r' | unknown label 'b'
10,inf,,unknown label 'N' | unknown label 'v' | unknown label 'a' | unknown label 'i' | unknown label 'E' | unknown label 'e' | unknown label 'c' | unknown label 'y' | unknown label 't' | unknown label 'm'
11,inf,,unknown label 's' | unknown label ')' | unknown label 'p' | unknown label 'a' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'y' | unknown label 't' | unknown label '('
12,inf,,unknown label 's' | unknown label 'f' | unknown label 'I' | unknown label 'C' | unknown label ')' | unknown label 'n' | unknown label 'p' | unknown label 'a' | unknown label 'o' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 't' | unknown label '(' | unknown label 'D'
13,inf,,unknown label 'n' | unknown label 'd' | unknown label 'a' | unknown label 'i' | unknown label 'o' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 't'
14,inf,,unknown label 's' | unknown label ')' | unknown label 'p' | unknown label 'a' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 't' | unknown label '(' | unknown label 'r'
15,inf,,unknown label 'N' | unknown label 'v' | unknown label 'a' | unknown label 'i' | unknown label 'e' | unknown label 'c' | unknown label 'L' | unknown label 'y' | unknown label 't' | unknown label 'm'
16,inf,,unknown label 'n' | unknown label 'p' | unknown label 'a' | unknown label 'd' | unknown label 'e' | unknown label 'l'
17,inf,,unknown label 's' | unknown label ')' | unknown label 'p' | unknown label 'a' | unknown label 'h' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'l' | unknown label 't' | unknown label '('
18,inf,,unknown label 's' | unknown label 'F' | unknown label 'n' | unknown label 'd' | unknown label 'a' | unknown label 'h' | unknown label 'i' | unknown label 'e' | unknown label 't'
19,inf,,unknown label 's' | unknown label 'q' | unknown label 'n' | unknown label 'i' | unknown label 'o' | unknown label 'u' | unknown label 'e' | unknown label 't'
20,inf,,unknown label 's' | unknown label 'q' | unknown label 'C' | unknown label ')' | unknown label 'p' | unknown label 'a' | unknown label 'o' | unknown label 'u' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'l' | unknown label 't' | unknown label '(' | unknown label 'r' | unknown label 'm'
21,inf,,unknown label 'd' | unknown label 'a' | unknown label 'u' | unknown label 'e' | unknown label 't' | unknown label 'D'
22,inf,,unknown label 's' | unknown label 'g' | unknown label 'R' | unknown label 'I' | unknown label 'n' | unknown label ')' | unknown label 'd' | unknown label 'a' | unknown label 'i' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'l' | unknown label 't' | unknown label '(' | unknown label 'r' | unknown label 'D'
23,inf,,unknown label 'g' | unknown label 's' | unknown label 'R' | unknown label 'n' | unknown label 'i' | unknown label 'o' | unknown label 'u' | unknown label 'e' | unknown label 'c' | unknown label 't' | unknown label 'm' | unknown label 'r'
24,inf,,unknown label 's' | unknown label 'S' | unknown label 'g' | unknown label ')' | unknown label 'a' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'l' | unknown label 'M' | unknown label '(' | unknown label 'U'
25,inf,,unknown label 's' | unknown label ')' | unknown label 'd' | unknown label 'a' | unknown label 'o' | unknown label 'u' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 'P' | unknown label '(' | unknown label 'r'
26,inf,,unknown label 's' | unknown label 'N' | unknown label ')' | unknown label 'a' | unknown label 'e' | unknown label 'c' | unknown label '_' | unknown label 't' | unknown label '(' | unknown label 'r' | unknown label 'm'
