file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0,18.79,0.05,0.01,1.64
1,18.91,0.05,0.01,0.92
2,18.85,0.05,0.01,0.93
3,19.10,0.05,0.01,0.87
4,19.13,0.05,0.01,1.04
5,19.09,0.05,0.01,1.36
6,19.00,0.05,0.01,0.99
7,19.11,0.05,0.02,1.04
8,19.19,0.05,0.02,1.11
9,18.92,0.06,0.02,1.17
10,19.06,0.06,0.02,1.15
11,19.27,0.06,0.02,1.26
12,19.27,0.06,0.02,1.26
13,19.24,0.06,0.02,1.34
14,19.32,0.06,0.02,1.28
15,19.10,0.06,0.02,1.35
16,19.06,0.06,0.02,1.36
17,18.94,0.06,0.02,1.45
18,19.37,0.06,0.02,1.52
19,19.21,0.06,0.02,1.48
20,18.91,0.06,0.02,1.63
21,19.04,0.07,0.02,1.61
22,19.20,0.07,0.02,1.60
23,19.21,0.07,0.03,1.78
24,19.23,0.07,0.03,1.74
25,19.03,0.07,0.03,1.83
26,19.11,0.07,0.03,1.86
27,18.92,0.07,0.03,1.80
28,19.10,0.07,0.03,2.54
29,19.12,0.07,0.03,2.00
30,18.98,0.07,0.03,1.94
31,19.15,0.07,0.03,2.14
32,19.13,0.08,0.03,2.87
33,19.20,0.08,0.03,2.08
34,19.00,0.08,0.03,2.37
35,19.32,0.08,0.03,2.21
36,19.34,0.08,0.03,2.24
37,19.11,0.08,0.03,2.53
38,19.38,0.08,0.04,2.30
39,19.28,0.08,0.04,2.32
40,19.34,0.08,0.04,2.31
41,19.14,0.08,0.04,2.39
42,19.42,0.08,0.04,2.53
43,19.34,0.09,0.04,2.41
44,19.39,0.09,0.04,2.46
45,19.46,0.09,0.04,2.51
46,19.29,0.09,0.04,2.54
47,19.25,0.09,0.04,2.57
48,19.41,0.09,0.04,2.75
49,19.20,0.09,0.04,2.87
50,19.31,0.09,0.04,2.85
51,19.25,0.09,0.04,2.76
52,19.39,0.09,0.04,2.81
53,19.36,0.09,0.04,2.78
54,19.33,0.10,0.05,2.89
55,19.36,0.10,0.05,3.02
56,19.48,0.10,0.05,3.13
57,19.29,0.10,0.05,3.11
58,19.27,0.10,0.05,2.97
59,19.27,0.10,0.05,4.83
60,19.64,0.10,0.05,3.20
61,19.71,0.10,0.05,3.28
62,19.50,0.10,0.05,3.27
63,19.24,0.10,0.05,3.45
64,19.55,0.10,0.05,3.28
65,19.53,0.10,0.05,3.30
66,19.37,0.11,0.05,3.42
67,19.38,0.11,0.05,3.98
68,19.32,0.11,0.05,3.42
69,19.39,0.11,0.05,3.51
70,19.47,0.11,0.06,3.41
71,19.18,0.11,0.06,3.51
72,19.54,0.11,0.06,3.59
73,19.36,0.11,0.06,3.60
74,19.71,0.11,0.06,3.58
75,19.53,0.11,0.06,3.66
76,19.46,0.11,0.06,3.71
77,19.49,0.12,0.06,3.90
78,19.47,0.12,0.06,3.87
79,19.45,0.12,0.06,4.22
80,19.61,0.12,0.06,3.96
81,19.48,0.12,0.06,3.91
82,19.38,0.12,0.06,4.05
83,19.44,0.12,0.06,4.00
84,19.62,0.12,0.06,4.06
85,19.40,0.12,0.06,4.24
86,19.31,0.12,0.07,4.30
87,19.48,0.12,0.07,4.11
88,19.75,0.12,0.07,4.28
89,19.56,0.13,0.07,4.41
90,19.64,0.13,0.07,4.32
91,19.63,0.13,0.07,4.58
92,19.11,0.13,0.07,5.40
93,19.47,0.13,0.07,4.42
94,19.64,0.13,0.07,4.56
95,19.52,0.13,0.07,4.70
96,19.42,0.13,0.07,4.92
97,19.75,0.13,0.07,4.61
98,19.70,0.13,0.07,4.57
99,19.73,0.13,0.07,4.94
100,19.41,0.13,0.07,9.75
101,19.75,0.14,0.07,11.24
102,19.51,0.14,0.08,9.93
103,19.70,0.14,0.08,10.20
104,19.50,0.14,0.08,12.84
105,19.79,0.14,0.08,9.86
106,19.60,0.14,0.08,5.98
107,19.64,0.14,0.08,4.87
108,19.57,0.14,0.08,4.98
109,19.74,0.14,0.08,4.95
110,19.74,0.14,0.08,5.83
111,19.38,0.14,0.08,5.35
112,19.45,0.14,0.08,5.05
113,19.66,0.15,0.08,5.32
114,19.86,0.15,0.08,5.48
115,19.76,0.15,0.08,5.47
116,19.39,0.15,0.08,5.54
117,19.59,0.15,0.08,5.48
118,19.96,0.15,0.09,5.43
119,19.79,0.15,0.09,5.64
120,19.48,0.15,0.09,5.69
121,19.68,0.15,0.09,5.60
122,19.89,0.15,0.09,5.85
123,19.79,0.16,0.09,5.57
124,19.86,0.16,0.09,5.69
125,19.69,0.16,0.09,5.71
126,19.79,0.16,0.09,5.65
127,19.87,0.16,0.09,5.87
128,19.72,0.16,0.09,5.64
129,19.82,0.16,0.09,5.85
130,19.92,0.16,0.09,6.34
131,19.70,0.16,0.09,6.10
132,19.70,0.16,0.09,6.49
133,19.70,0.16,0.09,6.46
134,19.86,0.16,0.10,6.45
135,19.46,0.17,0.10,6.25
136,19.78,0.17,0.10,7.09
137,19.89,0.17,0.10,6.57
138,19.49,0.17,0.10,6.40
139,19.93,0.17,0.10,6.61
140,19.73,0.17,0.10,6.49
141,19.86,0.17,0.10,6.54
142,19.77,0.17,0.10,6.24
143,20.10,0.17,0.10,7.91
144,19.80,0.17,0.10,9.90
145,19.95,0.17,0.10,6.90
146,19.91,0.17,0.10,6.69
147,19.89,0.18,0.10,6.45
148,19.70,0.18,0.10,6.68
149,20.11,0.18,0.10,6.54
150,19.84,0.18,0.11,6.59
151,19.92,0.18,0.11,7.15
152,20.04,0.18,0.11,6.86
153,19.98,0.18,0.11,6.98
154,19.99,0.18,0.11,6.94
155,20.10,0.18,0.11,6.96
156,19.93,0.18,0.11,7.06
157,19.92,0.18,0.11,6.86
158,20.06,0.18,0.11,6.92
159,19.86,0.19,0.11,7.01
160,19.81,0.19,0.11,7.00
161,20.12,0.19,0.11,6.89
162,20.00,0.19,0.11,7.18
163,20.08,0.19,0.11,7.39
164,20.14,0.19,0.11,7.52
165,20.13,0.19,0.11,7.13
166,19.60,0.19,0.11,7.35
167,20.04,0.20,0.12,7.24
168,19.66,0.20,0.12,7.14
169,20.00,0.20,0.12,7.34
170,20.00,0.20,0.12,7.57
171,20.02,0.20,0.12,7.55
172,19.66,0.20,0.12,8.02
173,20.09,0.20,0.12,7.53
174,20.22,0.20,0.12,7.52
175,20.11,0.20,0.12,7.66
176,19.91,0.21,0.12,10.59
177,20.10,0.21,0.12,7.76
178,20.11,0.21,0.12,7.68
179,20.24,0.21,0.12,7.70
180,19.96,0.21,0.12,8.39
181,20.18,0.21,0.12,7.81
182,19.89,0.21,0.12,7.95
183,20.02,0.21,0.13,7.87
184,20.24,0.21,0.13,7.87
185,20.23,0.21,0.13,7.93
186,20.25,0.22,0.13,8.05
187,20.18,0.22,0.13,8.10
188,19.91,0.22,0.13,7.99
189,20.10,0.22,0.13,8.42
190,19.88,0.22,0.13,8.26
191,20.25,0.22,0.13,8.46
192,19.88,0.22,0.13,9.72
193,20.19,0.22,0.13,8.48
194,20.10,0.22,0.13,8.66
195,20.00,0.22,0.13,8.45
196,20.27,0.22,0.13,8.85
197,20.33,0.23,0.13,8.49
198,19.96,0.23,0.14,10.27
199,20.23,0.23,0.14,8.61
200,20.12,0.23,0.14,8.66
201,20.13,0.23,0.14,8.75
202,20.13,0.23,0.14,8.55
203,20.03,0.23,0.14,8.74
204,20.17,0.23,0.14,8.80
205,20.27,0.23,0.14,8.75
206,20.02,0.23,0.14,8.85
207,20.06,0.23,0.14,9.18
208,20.35,0.23,0.14,9.24
209,20.27,0.23,0.14,8.83
210,20.17,0.24,0.14,9.02
211,20.25,0.24,0.14,9.43
212,20.32,0.24,0.14,9.29
213,20.14,0.24,0.14,9.20
214,20.19,0.24,0.14,9.01
215,20.25,0.24,0.15,8.90
216,20.07,0.24,0.15,9.31
217,20.26,0.24,0.15,9.20
218,20.49,0.24,0.15,9.30
219,20.14,0.24,0.15,9.76
220,20.20,0.24,0.15,10.21
221,20.29,0.24,0.15,9.49
222,20.21,0.25,0.15,9.76
223,20.36,0.25,0.15,9.61
224,20.30,0.25,0.15,10.54
225,20.21,0.25,0.15,9.63
226,20.46,0.25,0.15,10.10
227,20.50,0.25,0.15,9.83
228,20.20,0.25,0.15,9.57
229,20.21,0.25,0.15,9.77
230,20.14,0.25,0.15,10.17
231,20.40,0.25,0.16,9.92
232,20.50,0.25,0.16,10.35
233,20.29,0.26,0.16,10.11
234,20.39,0.26,0.16,9.81
235,20.37,0.26,0.16,9.95
236,20.29,0.26,0.16,10.25
237,20.30,0.26,0.16,10.14
238,20.40,0.26,0.16,10.16
239,20.44,0.26,0.16,10.36
240,20.40,0.26,0.16,10.15
241,20.24,0.26,0.16,10.71
242,20.54,0.26,0.16,11.15
243,20.30,0.26,0.16,10.28
244,20.48,0.27,0.16,10.10
245,20.44,0.27,0.16,10.74
246,20.53,0.27,0.16,10.63
247,20.34,0.27,0.16,10.71
248,20.04,0.27,0.17,10.41
249,20.51,0.27,0.17,10.39
250,20.02,0.27,0.17,10.43
251,20.16,0.27,0.17,11.56
252,20.50,0.27,0.17,10.63
253,20.19,0.27,0.17,10.68
254,20.31,0.27,0.17,10.76
255,20.25,0.28,0.17,11.20
256,20.48,0.28,0.17,11.03
257,20.52,0.28,0.17,10.88
258,19.91,0.28,0.17,10.71
259,20.16,0.28,0.17,11.09
260,20.52,0.28,0.17,11.16
261,20.65,0.28,0.17,11.52
262,20.32,0.28,0.17,11.20
263,20.56,0.28,0.17,11.42
264,20.71,0.28,0.18,11.10
265,20.55,0.28,0.18,11.81
266,20.77,0.29,0.18,11.21
267,20.23,0.29,0.18,11.53
268,20.36,0.29,0.18,11.40
269,20.80,0.29,0.18,11.41
270,20.59,0.29,0.18,11.81
271,20.62,0.29,0.18,11.53
272,20.65,0.29,0.18,11.76
273,20.56,0.29,0.18,11.44
274,20.45,0.29,0.18,13.87
275,20.58,0.29,0.18,11.45
276,20.74,0.29,0.18,11.93
277,20.68,0.30,0.18,11.66
278,20.58,0.30,0.18,11.74
279,20.76,0.30,0.18,11.65
280,20.49,0.30,0.19,11.94
281,20.59,0.30,0.19,13.54
282,20.75,0.30,0.19,12.08
283,20.70,0.30,0.19,12.57
284,20.04,0.30,0.19,12.14
285,20.63,0.30,0.19,14.21
286,20.52,0.30,0.19,13.89
287,20.48,0.30,0.19,14.14
288,20.71,0.31,0.19,13.69
289,20.74,0.31,0.19,15.38
290,20.49,0.31,0.19,13.85
291,20.82,0.31,0.19,12.86
292,20.82,0.31,0.19,12.94
293,20.85,0.31,0.19,12.29
294,20.82,0.31,0.19,15.79
295,20.95,0.31,0.19,13.98
296,21.00,0.31,0.20,15.63
297,20.55,0.31,0.20,12.69
298,20.99,0.31,0.20,17.17
299,20.88,0.32,0.20,13.26
300,20.96,0.34,0.20,13.54
301,20.55,0.34,0.20,14.53
302,20.96,0.34,0.20,14.70
303,20.70,0.34,0.20,16.61
304,20.86,0.34,0.20,17.32
305,20.94,0.34,0.20,17.12
306,20.87,0.35,0.20,17.56
307,20.57,0.35,0.20,19.16
308,20.80,0.35,0.20,15.08
309,20.88,0.35,0.20,15.06
310,21.03,0.35,0.20,17.76
311,20.80,0.35,0.20,16.23
312,20.88,0.35,0.21,16.18
313,20.90,0.35,0.21,16.06
314,20.59,0.35,0.21,17.07
315,20.84,0.35,0.21,19.82
