filename,transitions,places,nodes
848.pnml,852,4,1704
66.pnml,70,4,140
629.pnml,633,4,1266
597.pnml,601,4,1202
208.pnml,212,4,424
181.pnml,185,4,370
195.pnml,199,4,398
613.pnml,617,4,1234
994.pnml,998,4,1996
917.pnml,921,4,1842
349.pnml,353,4,706
23.pnml,27,4,54
681.pnml,685,4,1370
238.pnml,242,4,484
422.pnml,426,4,852
262.pnml,266,4,532
265.pnml,269,4,538
798.pnml,802,4,1604
852.pnml,856,4,1712
723.pnml,727,4,1454
996.pnml,1000,4,2000
79.pnml,83,4,166
502.pnml,506,4,1012
964.pnml,968,4,1936
218.pnml,222,4,444
792.pnml,796,4,1592
793.pnml,797,4,1594
45.pnml,49,4,98
814.pnml,818,4,1636
419.pnml,423,4,846
801.pnml,805,4,1610
219.pnml,223,4,446
989.pnml,993,4,1986
60.pnml,64,4,128
84.pnml,88,4,176
129.pnml,133,4,266
661.pnml,665,4,1330
36.pnml,40,4,80
991.pnml,995,4,1990
71.pnml,75,4,150
289.pnml,293,4,586
751.pnml,755,4,1510
796.pnml,800,4,1600
643.pnml,647,4,1294
682.pnml,686,4,1372
411.pnml,415,4,830
920.pnml,924,4,1848
335.pnml,339,4,678
360.pnml,364,4,728
988.pnml,992,4,1984
962.pnml,966,4,1932
690.pnml,694,4,1388
256.pnml,260,4,520
795.pnml,799,4,1598
350.pnml,354,4,708
897.pnml,901,4,1802
870.pnml,874,4,1748
652.pnml,656,4,1312
234.pnml,238,4,476
74.pnml,78,4,156
377.pnml,381,4,762
654.pnml,658,4,1316
215.pnml,219,4,438
616.pnml,620,4,1240
683.pnml,687,4,1374
131.pnml,135,4,270
904.pnml,908,4,1816
655.pnml,659,4,1318
109.pnml,113,4,226
53.pnml,57,4,114
909.pnml,913,4,1826
645.pnml,649,4,1298
58.pnml,62,4,124
641.pnml,645,4,1290
813.pnml,817,4,1634
158.pnml,162,4,324
182.pnml,186,4,372
819.pnml,823,4,1646
492.pnml,496,4,992
721.pnml,725,4,1450
22.pnml,26,4,52
173.pnml,177,4,354
993.pnml,997,4,1994
805.pnml,809,4,1618
651.pnml,655,4,1310
876.pnml,880,4,1760
434.pnml,438,4,876
483.pnml,487,4,974
662.pnml,666,4,1332
47.pnml,51,4,102
780.pnml,784,4,1568
663.pnml,667,4,1334
702.pnml,706,4,1412
39.pnml,43,4,86
204.pnml,208,4,416
332.pnml,336,4,672
812.pnml,816,4,1632
417.pnml,421,4,842
949.pnml,953,4,1906
73.pnml,77,4,154
455.pnml,459,4,918
180.pnml,184,4,368
839.pnml,843,4,1686
371.pnml,375,4,750
205.pnml,209,4,418
200.pnml,204,4,408
12.pnml,16,4,32
481.pnml,485,4,970
344.pnml,348,4,696
343.pnml,347,4,694
267.pnml,271,4,542
108.pnml,112,4,224
127.pnml,131,4,262
1.pnml,5,4,10
632.pnml,636,4,1272
938.pnml,942,4,1884
571.pnml,575,4,1150
391.pnml,395,4,790
903.pnml,907,4,1814
490.pnml,494,4,988
623.pnml,627,4,1254
290.pnml,294,4,588
906.pnml,910,4,1820
556.pnml,560,4,1120
487.pnml,491,4,982
688.pnml,692,4,1384
385.pnml,389,4,778
969.pnml,973,4,1946
749.pnml,753,4,1506
202.pnml,206,4,412
48.pnml,52,4,104
865.pnml,869,4,1738
302.pnml,306,4,612
859.pnml,863,4,1726
811.pnml,815,4,1630
891.pnml,895,4,1790
955.pnml,959,4,1918
497.pnml,501,4,1002
997.pnml,1001,4,2002
874.pnml,878,4,1756
123.pnml,127,4,254
676.pnml,680,4,1360
484.pnml,488,4,976
247.pnml,251,4,502
176.pnml,180,4,360
776.pnml,780,4,1560
164.pnml,168,4,336
370.pnml,374,4,748
119.pnml,123,4,246
908.pnml,912,4,1824
278.pnml,282,4,564
172.pnml,176,4,352
541.pnml,545,4,1090
298.pnml,302,4,604
330.pnml,334,4,668
954.pnml,958,4,1916
905.pnml,909,4,1818
715.pnml,719,4,1438
148.pnml,152,4,304
453.pnml,457,4,914
275.pnml,279,4,558
449.pnml,453,4,906
766.pnml,770,4,1540
894.pnml,898,4,1796
879.pnml,883,4,1766
760.pnml,764,4,1528
284.pnml,288,4,576
871.pnml,875,4,1750
669.pnml,673,4,1346
722.pnml,726,4,1452
132.pnml,136,4,272
636.pnml,640,4,1280
494.pnml,498,4,996
220.pnml,224,4,448
305.pnml,309,4,618
869.pnml,873,4,1746
154.pnml,158,4,316
310.pnml,314,4,628
501.pnml,505,4,1010
486.pnml,490,4,980
976.pnml,980,4,1960
774.pnml,778,4,1556
973.pnml,977,4,1954
375.pnml,379,4,758
657.pnml,661,4,1322
244.pnml,248,4,496
303.pnml,307,4,614
698.pnml,702,4,1404
748.pnml,752,4,1504
665.pnml,669,4,1338
294.pnml,298,4,596
271.pnml,275,4,550
10.pnml,14,4,28
888.pnml,892,4,1784
42.pnml,46,4,92
932.pnml,936,4,1872
301.pnml,305,4,610
102.pnml,106,4,212
594.pnml,598,4,1196
640.pnml,644,4,1288
491.pnml,495,4,990
543.pnml,547,4,1094
82.pnml,86,4,172
393.pnml,397,4,794
579.pnml,583,4,1166
934.pnml,938,4,1876
192.pnml,196,4,392
291.pnml,295,4,590
704.pnml,708,4,1416
593.pnml,597,4,1194
17.pnml,21,4,42
916.pnml,920,4,1840
633.pnml,637,4,1274
90.pnml,94,4,188
914.pnml,918,4,1836
586.pnml,590,4,1180
85.pnml,89,4,178
86.pnml,90,4,180
979.pnml,983,4,1966
30.pnml,34,4,68
315.pnml,319,4,638
664.pnml,668,4,1336
686.pnml,690,4,1380
405.pnml,409,4,818
161.pnml,165,4,330
25.pnml,29,4,58
428.pnml,432,4,864
840.pnml,844,4,1688
520.pnml,524,4,1048
279.pnml,283,4,566
29.pnml,33,4,66
92.pnml,96,4,192
383.pnml,387,4,774
548.pnml,552,4,1104
828.pnml,832,4,1664
308.pnml,312,4,624
107.pnml,111,4,222
953.pnml,957,4,1914
473.pnml,477,4,954
421.pnml,425,4,850
430.pnml,434,4,868
307.pnml,311,4,622
296.pnml,300,4,600
199.pnml,203,4,406
259.pnml,263,4,526
573.pnml,577,4,1154
340.pnml,344,4,688
575.pnml,579,4,1158
115.pnml,119,4,238
54.pnml,58,4,116
159.pnml,163,4,326
446.pnml,450,4,900
116.pnml,120,4,240
540.pnml,544,4,1088
165.pnml,169,4,338
134.pnml,138,4,276
196.pnml,200,4,400
667.pnml,671,4,1342
684.pnml,688,4,1376
510.pnml,514,4,1028
713.pnml,717,4,1434
333.pnml,337,4,674
1000.pnml,1004,4,2008
111.pnml,115,4,230
93.pnml,97,4,194
460.pnml,464,4,928
478.pnml,482,4,964
600.pnml,604,4,1208
309.pnml,313,4,626
324.pnml,328,4,656
648.pnml,652,4,1304
574.pnml,578,4,1156
788.pnml,792,4,1584
44.pnml,48,4,96
534.pnml,538,4,1076
96.pnml,100,4,200
746.pnml,750,4,1500
149.pnml,153,4,306
201.pnml,205,4,410
32.pnml,36,4,72
20.pnml,24,4,48
708.pnml,712,4,1424
576.pnml,580,4,1160
582.pnml,586,4,1172
0.pnml,4,4,8
524.pnml,528,4,1056
547.pnml,551,4,1102
783.pnml,787,4,1574
620.pnml,624,4,1248
937.pnml,941,4,1882
424.pnml,428,4,856
150.pnml,154,4,308
886.pnml,890,4,1780
293.pnml,297,4,594
250.pnml,254,4,508
243.pnml,247,4,494
972.pnml,976,4,1952
977.pnml,981,4,1962
958.pnml,962,4,1924
763.pnml,767,4,1534
775.pnml,779,4,1558
43.pnml,47,4,94
475.pnml,479,4,958
209.pnml,213,4,426
784.pnml,788,4,1576
351.pnml,355,4,710
745.pnml,749,4,1498
120.pnml,124,4,248
558.pnml,562,4,1124
46.pnml,50,4,100
435.pnml,439,4,878
592.pnml,596,4,1192
595.pnml,599,4,1198
515.pnml,519,4,1038
121.pnml,125,4,250
768.pnml,772,4,1544
323.pnml,327,4,654
443.pnml,447,4,894
339.pnml,343,4,686
191.pnml,195,4,390
139.pnml,143,4,286
463.pnml,467,4,934
853.pnml,857,4,1714
5.pnml,9,4,18
223.pnml,227,4,454
211.pnml,215,4,430
940.pnml,944,4,1888
210.pnml,214,4,428
653.pnml,657,4,1314
363.pnml,367,4,734
418.pnml,422,4,844
467.pnml,471,4,942
254.pnml,258,4,516
565.pnml,569,4,1138
782.pnml,786,4,1572
892.pnml,896,4,1792
980.pnml,984,4,1968
318.pnml,322,4,644
89.pnml,93,4,186
412.pnml,416,4,832
829.pnml,833,4,1666
229.pnml,233,4,466
248.pnml,252,4,504
759.pnml,763,4,1526
157.pnml,161,4,322
508.pnml,512,4,1024
203.pnml,207,4,414
266.pnml,270,4,540
761.pnml,765,4,1530
184.pnml,188,4,376
372.pnml,376,4,752
878.pnml,882,4,1764
97.pnml,101,4,202
601.pnml,605,4,1210
933.pnml,937,4,1874
764.pnml,768,4,1536
720.pnml,724,4,1448
258.pnml,262,4,524
241.pnml,245,4,490
353.pnml,357,4,714
984.pnml,988,4,1976
694.pnml,698,4,1396
140.pnml,144,4,288
143.pnml,147,4,294
384.pnml,388,4,776
604.pnml,608,4,1216
171.pnml,175,4,350
639.pnml,643,4,1286
105.pnml,109,4,218
642.pnml,646,4,1292
322.pnml,326,4,652
226.pnml,230,4,460
103.pnml,107,4,214
447.pnml,451,4,902
8.pnml,12,4,24
635.pnml,639,4,1278
235.pnml,239,4,478
570.pnml,574,4,1148
794.pnml,798,4,1596
13.pnml,17,4,34
883.pnml,887,4,1774
69.pnml,73,4,146
711.pnml,715,4,1430
16.pnml,20,4,40
650.pnml,654,4,1308
928.pnml,932,4,1864
429.pnml,433,4,866
465.pnml,469,4,938
222.pnml,226,4,452
489.pnml,493,4,986
367.pnml,371,4,742
