file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0,19.72,0.05,0.02,5.00
1,19.65,0.06,0.02,2.12
2,19.89,0.07,0.03,2.53
3,20.06,0.09,0.04,3.00
4,19.90,0.10,0.04,4.46
5,19.96,0.11,0.05,3.88
6,20.01,0.12,0.06,4.30
7,20.12,0.13,0.07,5.64
8,20.14,0.14,0.07,5.05
9,20.15,0.15,0.08,5.62
10,20.16,0.16,0.09,6.44
11,20.14,0.17,0.09,9.49
12,20.20,0.19,0.10,6.94
13,20.08,0.21,0.11,10.30
14,20.52,0.22,0.12,11.77
15,20.59,0.24,0.12,10.87
16,20.11,0.25,0.13,8.20
17,20.59,0.26,0.14,11.92
18,20.67,0.28,0.15,9.36
19,20.82,0.29,0.15,12.70
20,20.99,0.30,0.16,13.18
21,20.96,0.32,0.17,13.67
22,20.97,0.33,0.17,13.91
23,21.03,0.34,0.18,11.43
24,21.10,0.36,0.19,14.29
25,20.71,0.37,0.20,19.85
26,21.05,0.38,0.20,17.65
27,20.94,0.40,0.21,17.64
28,21.14,0.42,0.22,17.80
29,21.26,0.43,0.23,18.84
30,21.59,0.44,0.23,19.32
31,21.50,0.45,0.24,19.19
32,21.57,0.47,0.25,21.40
33,21.48,0.48,0.25,20.76
34,21.84,0.49,0.26,17.30
35,21.41,0.51,0.27,21.60
36,21.92,0.52,0.28,23.43
37,21.68,0.53,0.28,24.98
38,22.01,0.55,0.29,22.43
39,21.79,0.56,0.30,22.66
40,21.98,0.57,0.30,23.60
41,22.01,0.59,0.31,23.33
42,22.11,0.60,0.32,26.48
43,22.07,0.61,0.33,24.89
44,22.35,0.62,0.33,24.83
45,22.20,0.64,0.34,28.21
46,22.55,0.65,0.35,26.70
47,22.28,0.66,0.36,30.25
48,22.50,0.68,0.36,24.50
49,22.49,0.69,0.37,24.20
50,22.61,0.73,0.38,25.95
51,22.56,0.75,0.38,27.33
52,22.72,0.76,0.39,31.17
53,22.61,0.77,0.40,25.92
54,22.75,0.78,0.41,29.53
55,22.78,0.80,0.41,26.74
56,22.70,0.82,0.42,29.59
57,23.02,0.84,0.43,30.31
58,23.04,0.85,0.44,31.03
59,22.98,0.86,0.44,31.26
60,22.77,0.88,0.45,31.69
61,23.47,0.89,0.46,33.35
62,23.34,0.90,0.46,30.14
63,23.43,0.91,0.47,32.66
64,23.70,0.93,0.48,33.40
65,23.48,0.94,0.49,33.28
66,23.50,0.95,0.49,33.84
67,23.80,0.97,0.50,34.21
68,23.76,0.98,0.51,35.15
69,23.71,0.99,0.52,35.19
70,23.91,1.01,0.52,36.09
71,23.97,1.02,0.53,35.83
72,23.80,1.03,0.54,36.10
73,24.10,1.04,0.54,37.44
74,24.11,1.06,0.55,38.48
75,24.11,1.07,0.56,42.05
76,24.04,1.08,0.57,38.42
77,24.15,1.10,0.57,37.78
78,24.34,1.11,0.58,37.09
79,24.55,1.12,0.59,40.01
80,24.20,1.14,0.59,39.82
81,24.27,1.15,0.60,40.11
82,24.57,1.16,0.61,41.98
83,24.48,1.17,0.62,38.92
84,24.46,1.19,0.62,42.79
85,24.72,1.20,0.63,45.55
86,24.73,1.21,0.64,42.54
87,24.84,1.23,0.65,40.11
88,24.88,1.24,0.65,43.84
89,24.54,1.25,0.66,44.39
90,24.95,1.27,0.67,46.36
91,24.98,1.28,0.67,48.10
92,24.81,1.29,0.68,54.53
93,25.02,1.30,0.69,48.39
94,24.73,1.32,0.70,45.64
95,24.51,1.33,0.70,47.66
96,24.88,1.34,0.71,47.96
97,24.88,1.37,0.72,50.16
98,24.98,1.38,0.73,47.59
99,25.18,1.40,0.73,48.79
100,24.99,1.41,0.74,52.13
101,25.13,1.42,0.75,45.93
102,25.41,1.43,0.75,46.15
103,25.33,1.45,0.76,46.25
104,25.43,1.46,0.77,66.36
105,25.47,1.47,0.78,63.91
106,25.70,1.49,0.78,50.72
107,25.23,1.50,0.79,48.06
108,25.68,1.51,0.80,48.24
109,25.79,1.53,0.80,49.11
110,25.84,1.54,0.81,50.08
111,25.74,1.55,0.82,55.49
112,25.75,1.57,0.83,54.08
113,25.50,1.60,0.83,52.23
114,25.68,1.62,0.84,51.38
115,25.95,1.63,0.85,53.60
116,25.93,1.64,0.86,54.08
117,26.27,1.65,0.86,54.76
118,26.28,1.67,0.87,54.90
119,26.27,1.68,0.88,56.58
120,26.14,1.69,0.88,55.49
121,26.41,1.71,0.89,58.43
122,26.44,1.72,0.90,60.06
123,26.93,1.73,0.91,58.03
124,27.12,1.75,0.91,60.46
125,27.07,1.76,0.92,62.54
126,27.23,1.77,0.93,60.26
127,27.22,1.79,0.94,61.95
128,26.97,1.80,0.94,60.02
129,27.34,1.81,0.95,61.20
130,27.41,1.83,0.96,58.18
131,27.35,1.84,0.96,63.11
132,27.70,1.85,0.97,62.25
133,27.54,1.86,0.98,65.01
134,27.45,1.88,0.99,61.91
135,27.65,1.89,0.99,65.16
136,27.64,1.90,1.00,63.12
137,28.03,1.91,1.01,67.74
138,27.76,1.93,1.02,64.96
139,27.82,1.94,1.02,65.10
140,27.91,1.95,1.03,61.94
141,28.20,1.97,1.04,65.16
142,28.07,1.98,1.05,65.68
143,28.20,2.00,1.05,67.51
144,28.05,2.01,1.06,67.08
145,28.32,2.02,1.07,67.74
146,28.40,2.03,1.07,66.65
147,28.28,2.05,1.08,70.31
148,28.53,2.06,1.09,70.24
149,28.64,2.07,1.10,68.27
150,28.48,2.08,1.10,66.31
151,28.69,2.10,1.11,93.49
152,28.24,2.11,1.12,77.23
153,28.80,2.12,1.12,69.17
154,28.71,2.14,1.13,71.99
155,28.74,2.15,1.14,70.34
156,28.77,2.16,1.14,73.23
157,29.01,2.18,1.15,73.94
158,28.87,2.19,1.16,73.64
159,28.74,2.20,1.17,72.55
160,29.07,2.22,1.18,77.28
161,28.98,2.23,1.18,77.75
162,29.21,2.24,1.19,71.15
163,29.05,2.26,1.20,76.32
164,29.27,2.27,1.20,81.34
165,29.27,2.28,1.21,78.09
166,29.60,2.29,1.22,72.95
167,29.23,2.31,1.23,78.19
168,29.61,2.32,1.23,77.44
169,29.61,2.33,1.24,79.03
170,29.70,2.35,1.25,74.11
171,29.45,2.36,1.25,79.10
172,29.83,2.37,1.26,79.21
173,29.71,2.38,1.27,81.59
174,29.77,2.40,1.28,79.59
175,29.88,2.41,1.28,81.44
