file_name,mem_usage_mb,time_ms
0,19.18,0.38
1,19.06,0.44
2,19.31,0.62
3,19.18,0.80
4,19.18,0.56
5,19.18,0.64
6,19.31,0.65
7,19.31,1.10
8,19.43,0.69
9,19.43,1.60
10,19.43,0.78
11,19.44,0.79
12,19.31,0.87
13,19.43,0.94
14,19.56,0.93
15,19.44,1.30
16,19.56,1.51
17,19.56,1.08
18,19.50,1.08
19,19.68,1.27
20,19.68,1.54
21,19.69,1.24
22,19.68,1.60
23,19.69,1.76
24,19.56,1.39
25,19.69,1.36
26,19.81,1.55
27,19.68,1.50
28,19.68,1.52
29,19.81,1.59
30,19.68,1.62
31,19.93,1.65
32,19.93,1.67
33,19.94,1.76
34,19.81,1.72
35,19.94,2.47
36,19.93,2.31
37,19.94,1.98
38,19.94,2.26
39,19.93,1.95
40,19.83,2.49
41,19.94,2.00
42,19.93,2.04
43,20.06,2.48
44,20.06,2.25
45,20.06,2.16
46,20.19,2.69
47,20.06,2.21
48,20.18,2.34
49,20.31,2.64
50,20.31,2.48
51,20.31,2.44
52,20.31,2.37
53,20.31,2.46
54,20.43,2.54
55,20.43,2.63
56,20.31,2.63
57,20.43,2.65
58,20.31,2.80
59,20.31,2.94
60,20.43,3.17
61,20.56,2.98
62,20.50,2.86
63,20.44,2.91
64,20.43,3.85
65,20.56,2.95
66,20.69,3.65
67,20.69,3.14
68,20.69,3.55
69,20.56,3.30
70,20.69,3.63
71,20.68,5.96
72,20.81,5.27
73,20.81,4.93
74,20.69,7.54
75,20.68,6.00
76,20.81,6.27
77,20.68,7.03
78,20.93,6.64
79,20.93,6.56
80,20.81,6.64
81,21.06,6.47
82,20.93,6.75
83,21.05,7.04
84,20.93,6.56
85,20.94,6.38
86,21.06,7.98
87,20.94,8.07
88,21.06,6.03
89,21.06,6.30
90,21.19,10.12
91,21.19,6.71
92,21.19,7.31
93,21.06,7.99
94,21.18,6.51
95,21.31,6.70
96,21.19,7.65
97,21.31,11.85
98,21.18,9.68
99,21.19,11.42
100,21.31,9.90
101,21.31,8.18
102,21.44,7.40
103,21.44,6.34
104,21.23,7.60
105,21.31,6.91
106,21.44,8.05
107,21.56,8.24
108,21.56,7.61
109,21.56,8.43
110,21.56,9.31
111,21.44,7.53
112,21.55,7.31
113,21.68,7.00
114,21.69,8.68
115,21.68,8.07
116,21.69,7.38
117,21.69,7.70
118,21.69,8.41
119,21.69,7.73
120,21.68,8.54
121,21.81,7.84
122,21.81,7.94
123,21.81,7.75
124,21.81,8.17
125,21.94,10.14
126,21.94,8.99
127,21.94,9.46
128,21.81,7.53
129,21.93,7.68
130,22.06,8.66
131,22.06,8.47
132,22.06,8.07
133,22.06,9.36
134,21.93,8.76
135,21.93,8.98
136,22.19,9.53
137,22.06,8.76
138,22.18,8.59
139,22.19,9.61
140,22.06,9.46
141,22.06,8.89
142,22.31,9.11
143,22.31,9.27
144,22.23,9.11
145,22.18,8.86
146,22.31,10.51
147,22.31,9.33
148,22.19,9.76
149,22.30,9.02
150,22.31,9.60
151,22.31,8.41
152,22.50,10.31
153,22.44,9.76
154,22.56,9.64
155,22.31,9.44
156,22.44,10.14
157,22.56,10.54
158,22.56,9.01
159,22.68,10.61
160,22.68,9.29
161,22.69,10.29
162,22.56,10.82
163,22.56,9.47
164,22.56,10.66
165,22.81,9.63
166,22.81,9.94
167,22.81,9.80
168,22.69,10.69
169,22.69,12.33
170,22.68,9.86
171,22.93,9.88
172,22.81,11.14
173,22.93,10.46
174,22.93,9.87
175,22.93,9.92
176,23.06,10.28
177,22.94,10.62
178,22.93,10.65
179,23.06,11.65
180,23.06,10.63
181,23.06,10.97
182,23.06,10.61
183,23.06,12.28
184,23.19,11.44
185,23.19,12.72
186,23.19,12.02
187,23.06,10.54
188,23.31,12.34
189,23.19,11.20
190,23.31,11.17
191,23.18,11.54
192,23.31,11.84
