file_name,mem_usage_mb,time_ms
0,19.07,0.20
1,19.20,0.31
2,19.20,0.30
3,19.32,0.34
4,19.32,0.24
5,19.20,0.27
6,19.32,0.50
7,19.45,0.35
8,19.45,0.40
9,19.45,0.44
10,19.45,0.64
11,19.45,0.60
12,19.45,0.74
13,19.50,0.72
14,19.44,0.83
15,19.57,0.94
16,19.57,0.95
17,19.57,0.92
18,19.70,1.09
19,19.70,1.11
20,19.48,1.26
21,19.37,1.42
22,19.49,1.40
23,19.50,1.52
24,19.50,1.67
25,19.38,1.81
26,19.51,2.05
27,19.64,1.94
28,19.52,2.27
29,19.40,3.19
30,19.41,2.41
31,19.54,3.68
32,19.57,2.58
33,19.45,2.90
34,19.45,3.00
35,19.59,3.17
36,19.59,3.37
37,19.47,3.54
38,19.60,3.84
39,19.48,3.99
40,19.49,4.23
41,19.61,4.18
42,19.62,4.48
43,19.50,4.69
44,19.50,4.75
45,19.50,4.80
46,19.63,5.37
47,19.64,5.43
48,19.64,5.64
49,19.52,5.65
50,19.63,5.92
51,19.77,7.06
52,19.66,8.45
53,19.54,9.06
54,19.67,8.55
55,19.55,9.56
56,19.68,11.65
57,19.57,9.50
58,19.70,9.88
59,19.57,12.65
60,19.71,10.29
61,19.71,14.90
62,19.71,10.76
63,19.71,12.58
64,19.60,15.12
65,19.72,13.20
66,19.61,16.16
67,19.73,13.23
68,19.74,12.63
69,19.61,13.16
70,19.57,14.29
71,19.62,12.44
72,19.64,12.83
73,19.76,12.30
74,19.77,14.51
75,19.77,14.71
76,20.95,13.57
77,20.95,13.82
78,20.82,13.94
79,21.07,14.45
80,20.95,14.18
81,20.95,15.65
82,21.07,15.19
83,21.07,16.80
84,21.07,15.91
85,21.07,16.42
86,20.95,16.38
87,19.90,17.51
88,19.91,17.75
89,20.04,17.68
90,19.79,21.82
91,19.93,20.37
92,19.81,18.72
93,19.93,20.50
94,19.94,20.14
95,19.95,21.38
96,19.82,21.04
97,19.96,21.69
98,19.96,20.92
99,20.09,24.04
100,20.06,22.83
101,20.11,21.97
102,20.11,23.22
103,20.12,23.53
104,19.89,23.75
105,20.01,23.70
106,20.14,25.86
107,20.14,25.48
108,20.15,24.99
109,20.16,26.06
110,20.16,26.24
111,20.05,27.59
112,20.05,27.37
113,20.12,26.95
114,20.20,27.99
115,20.20,28.46
116,20.16,29.53
117,20.09,32.28
118,20.22,31.60
119,20.03,33.35
120,20.23,32.15
121,20.04,31.77
122,20.11,36.84
123,20.09,33.36
124,20.25,34.39
125,20.39,33.94
126,20.27,35.29
127,20.27,35.72
128,20.28,34.85
129,20.28,36.86
130,20.29,38.21
131,20.30,38.01
132,20.26,37.88
133,20.30,41.69
134,20.31,39.72
135,20.19,39.83
136,20.25,41.73
137,20.33,40.70
138,20.34,45.34
139,20.34,42.94
140,20.23,43.37
141,20.36,43.99
142,20.36,44.12
143,20.37,44.20
144,20.23,51.80
145,20.27,46.30
146,20.39,48.75
147,20.40,48.71
148,20.41,47.30
149,20.41,48.72
150,20.41,47.74
151,20.29,48.24
152,20.30,50.47
153,20.43,49.36
154,20.30,52.45
155,20.26,53.53
156,20.45,53.72
157,20.45,54.04
158,20.45,53.72
159,20.64,55.96
160,20.47,56.55
161,20.48,56.23
162,20.47,56.89
163,20.49,58.39
164,20.49,57.50
165,20.50,59.91
166,20.50,58.61
167,22.95,60.44
168,23.07,64.77
169,22.95,60.78
170,23.07,64.72
171,22.95,65.50
172,22.95,64.51
173,23.07,63.56
174,23.20,69.49
175,23.20,65.64
176,23.07,64.93
177,23.12,69.10
