file_name,mem_usage_mb,time_ms
0.pnml,19.20,0.49
100.pnml,23.57,74.04
101.pnml,23.57,83.55
102.pnml,23.57,76.08
103.pnml,23.70,76.25
104.pnml,23.70,91.93
105.pnml,23.82,83.32
106.pnml,23.70,81.16
107.pnml,23.57,86.56
108.pnml,23.82,92.38
109.pnml,23.95,92.25
10.pnml,19.57,5.38
110.pnml,23.95,92.01
111.pnml,23.95,94.08
112.pnml,24.07,101.74
113.pnml,24.07,101.13
114.pnml,24.20,99.72
115.pnml,24.20,98.22
116.pnml,24.20,100.83
117.pnml,24.20,103.51
118.pnml,24.32,103.07
119.pnml,24.32,106.53
11.pnml,19.57,5.41
120.pnml,24.57,107.00
121.pnml,24.44,107.82
122.pnml,24.45,111.23
123.pnml,24.57,110.79
124.pnml,24.57,113.53
125.pnml,24.57,116.56
126.pnml,24.70,116.70
127.pnml,24.70,119.62
128.pnml,24.70,129.03
129.pnml,24.82,122.99
12.pnml,19.70,3.24
130.pnml,24.82,121.97
131.pnml,24.95,126.63
132.pnml,24.95,127.95
133.pnml,24.95,129.78
134.pnml,25.07,127.03
135.pnml,25.07,133.81
136.pnml,25.07,134.70
137.pnml,25.20,153.51
138.pnml,25.20,137.45
139.pnml,25.20,135.61
13.pnml,19.70,6.20
140.pnml,25.32,138.11
141.pnml,25.20,143.61
142.pnml,25.32,146.07
143.pnml,25.57,143.05
144.pnml,25.45,147.59
145.pnml,25.44,149.21
146.pnml,25.57,154.99
147.pnml,25.57,158.94
148.pnml,25.55,157.84
149.pnml,25.70,158.17
14.pnml,19.43,6.42
150.pnml,25.70,153.16
151.pnml,25.82,161.90
152.pnml,25.82,171.43
153.pnml,25.82,161.67
154.pnml,25.95,172.96
155.pnml,25.95,178.45
156.pnml,25.95,167.01
157.pnml,26.07,176.78
158.pnml,26.07,178.86
159.pnml,26.07,173.44
15.pnml,19.57,6.73
160.pnml,26.20,175.22
161.pnml,26.20,178.57
162.pnml,26.20,194.81
163.pnml,26.32,189.55
164.pnml,26.32,189.71
165.pnml,26.32,192.72
166.pnml,26.45,195.82
167.pnml,26.45,193.30
168.pnml,26.36,206.60
169.pnml,26.57,196.72
16.pnml,19.46,7.18
170.pnml,26.57,203.64
171.pnml,26.57,200.45
172.pnml,26.59,206.13
173.pnml,26.70,217.75
174.pnml,26.82,235.37
175.pnml,26.82,224.93
176.pnml,26.82,211.59
177.pnml,26.95,223.25
178.pnml,26.95,221.33
179.pnml,26.88,231.56
17.pnml,19.47,8.13
180.pnml,27.07,227.86
181.pnml,27.07,244.71
182.pnml,27.07,234.94
183.pnml,27.20,240.38
184.pnml,27.19,232.47
185.pnml,27.20,231.14
186.pnml,27.32,250.90
187.pnml,27.32,251.33
188.pnml,27.32,255.95
189.pnml,27.45,254.87
18.pnml,19.58,8.27
190.pnml,27.45,248.93
191.pnml,27.57,247.22
192.pnml,27.57,256.98
193.pnml,27.57,262.41
194.pnml,27.70,263.93
195.pnml,27.45,278.21
196.pnml,27.62,275.15
197.pnml,27.82,272.67
198.pnml,27.75,280.61
199.pnml,27.82,289.89
19.pnml,19.49,8.20
1.pnml,19.20,0.61
200.pnml,27.95,275.07
201.pnml,27.75,293.21
202.pnml,27.95,278.45
203.pnml,28.07,294.17
204.pnml,28.07,291.41
205.pnml,28.07,295.99
206.pnml,28.20,294.77
207.pnml,28.20,295.72
208.pnml,28.32,302.39
209.pnml,28.32,302.95
20.pnml,19.51,5.76
210.pnml,28.32,307.40
211.pnml,28.45,317.11
212.pnml,28.20,321.01
213.pnml,28.45,323.85
214.pnml,28.70,326.87
215.pnml,28.32,325.89
216.pnml,28.57,337.56
217.pnml,28.70,329.49
218.pnml,28.70,340.63
219.pnml,28.70,334.54
21.pnml,19.52,8.62
220.pnml,28.82,337.25
221.pnml,28.82,348.15
222.pnml,28.70,347.22
223.pnml,28.95,330.72
224.pnml,28.95,353.46
225.pnml,29.07,360.63
226.pnml,29.19,358.99
227.pnml,29.07,365.36
228.pnml,29.20,371.74
229.pnml,28.95,354.93
22.pnml,19.53,9.15
230.pnml,29.19,357.10
231.pnml,29.32,375.23
232.pnml,29.32,380.10
233.pnml,29.32,379.08
234.pnml,29.45,379.16
235.pnml,29.45,385.81
236.pnml,29.45,392.35
237.pnml,29.57,384.27
238.pnml,29.57,404.59
239.pnml,29.70,401.45
23.pnml,19.65,9.60
240.pnml,29.70,397.50
241.pnml,29.70,392.84
242.pnml,29.82,395.61
243.pnml,29.82,412.67
244.pnml,29.82,416.83
245.pnml,29.88,429.20
246.pnml,29.95,433.94
247.pnml,29.95,422.36
248.pnml,30.07,408.48
249.pnml,29.88,424.42
24.pnml,19.56,7.24
250.pnml,30.07,444.09
251.pnml,30.32,452.40
252.pnml,30.20,441.41
253.pnml,30.20,439.85
254.pnml,30.32,445.26
255.pnml,30.32,456.78
256.pnml,30.45,463.53
257.pnml,30.45,450.99
258.pnml,30.36,479.58
259.pnml,30.57,485.28
25.pnml,19.50,7.63
260.pnml,30.57,444.68
261.pnml,30.57,461.41
262.pnml,30.82,488.14
263.pnml,30.60,493.43
264.pnml,30.70,509.87
265.pnml,30.82,485.75
266.pnml,30.82,477.59
267.pnml,30.82,481.33
268.pnml,30.95,476.99
269.pnml,31.07,509.49
26.pnml,19.36,11.80
270.pnml,31.07,504.60
271.pnml,31.07,517.93
272.pnml,30.96,533.47
273.pnml,31.19,513.09
274.pnml,31.32,497.80
275.pnml,31.07,520.66
276.pnml,31.32,512.30
277.pnml,31.32,523.28
278.pnml,31.32,541.70
279.pnml,31.32,515.82
27.pnml,19.79,12.01
280.pnml,31.45,553.59
281.pnml,31.45,533.32
282.pnml,31.57,543.79
283.pnml,31.57,543.70
284.pnml,31.57,568.68
285.pnml,31.70,655.66
286.pnml,31.70,557.94
287.pnml,31.70,586.51
288.pnml,31.57,550.40
289.pnml,31.82,559.17
28.pnml,19.60,12.97
290.pnml,32.07,574.47
291.pnml,31.95,586.35
292.pnml,31.95,690.96
293.pnml,32.07,576.07
294.pnml,32.07,591.96
295.pnml,32.07,596.30
296.pnml,32.20,630.21
297.pnml,32.20,616.98
298.pnml,32.20,626.02
299.pnml,32.32,631.57
29.pnml,19.61,12.90
2.pnml,19.12,0.78
300.pnml,32.45,613.94
301.pnml,32.32,615.65
302.pnml,32.32,626.12
303.pnml,32.45,628.52
304.pnml,32.57,637.55
305.pnml,32.57,633.64
306.pnml,32.57,656.95
307.pnml,32.70,630.09
308.pnml,32.70,648.57
309.pnml,32.70,632.37
30.pnml,19.62,13.76
310.pnml,32.82,638.26
311.pnml,32.82,674.46
312.pnml,32.95,643.40
313.pnml,32.95,668.41
314.pnml,32.95,657.21
315.pnml,32.95,702.31
316.pnml,33.19,865.94
317.pnml,33.07,695.92
