file_name,mem_usage_mb,peak_mem_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
0.pnml,19.87,0.05,0.02,0.04,0.02,0.04,1.63
100.pnml,25.14,1.19,0.80,0.90,1.08,1.19,105.13
101.pnml,25.18,1.20,0.81,0.91,1.09,1.20,102.84
102.pnml,25.18,1.21,0.82,0.92,1.10,1.21,106.85
103.pnml,25.39,1.23,0.83,0.93,1.12,1.23,110.66
104.pnml,25.31,1.24,0.84,0.94,1.13,1.24,110.99
105.pnml,25.35,1.25,0.84,0.95,1.14,1.25,108.66
106.pnml,25.52,1.26,0.85,0.95,1.15,1.26,113.51
107.pnml,25.40,1.27,0.86,0.96,1.16,1.27,115.29
108.pnml,25.38,1.28,0.87,0.97,1.17,1.28,114.09
109.pnml,25.55,1.29,0.87,0.98,1.18,1.29,117.76
10.pnml,20.37,0.16,0.10,0.11,0.13,0.14,5.08
110.pnml,25.70,1.30,0.88,0.99,1.19,1.30,119.25
111.pnml,25.76,1.32,0.89,1.00,1.20,1.32,120.23
112.pnml,25.80,1.33,0.90,1.01,1.21,1.33,121.57
113.pnml,25.85,1.35,0.91,1.02,1.22,1.35,123.90
114.pnml,26.01,1.36,0.91,1.03,1.23,1.36,124.57
115.pnml,26.07,1.37,0.92,1.04,1.24,1.37,126.39
116.pnml,26.10,1.38,0.93,1.04,1.25,1.38,127.66
117.pnml,26.16,1.39,0.94,1.05,1.26,1.39,130.45
118.pnml,26.21,1.40,0.95,1.06,1.27,1.40,133.77
119.pnml,26.21,1.41,0.95,1.07,1.28,1.41,135.19
11.pnml,20.38,0.17,0.10,0.11,0.14,0.15,5.73
120.pnml,26.18,1.43,0.96,1.08,1.29,1.43,137.05
121.pnml,26.21,1.44,0.97,1.09,1.30,1.44,143.59
122.pnml,26.40,1.45,0.98,1.10,1.32,1.45,141.97
123.pnml,26.93,1.46,0.98,1.10,1.33,1.46,147.66
124.pnml,26.96,1.47,0.99,1.11,1.34,1.47,142.81
125.pnml,27.12,1.48,1.00,1.13,1.35,1.48,150.12
126.pnml,27.16,1.50,1.01,1.13,1.36,1.50,146.66
127.pnml,27.19,1.51,1.02,1.14,1.37,1.51,152.67
128.pnml,27.09,1.52,1.03,1.15,1.38,1.52,154.77
129.pnml,27.25,1.53,1.03,1.16,1.39,1.53,155.71
12.pnml,20.50,0.18,0.11,0.12,0.15,0.16,6.11
130.pnml,27.32,1.54,1.04,1.17,1.40,1.54,158.53
131.pnml,27.19,1.55,1.05,1.18,1.41,1.55,159.81
132.pnml,27.47,1.56,1.06,1.19,1.42,1.56,162.72
133.pnml,27.52,1.57,1.06,1.19,1.43,1.57,165.84
134.pnml,27.54,1.58,1.07,1.20,1.44,1.58,160.76
135.pnml,27.34,1.59,1.08,1.21,1.45,1.59,163.99
136.pnml,27.47,1.60,1.09,1.22,1.46,1.60,167.20
137.pnml,27.75,1.61,1.09,1.23,1.47,1.61,171.42
138.pnml,27.79,1.63,1.10,1.24,1.49,1.63,174.11
139.pnml,27.82,1.64,1.11,1.25,1.50,1.64,175.37
13.pnml,20.37,0.19,0.12,0.13,0.16,0.17,6.73
140.pnml,27.85,1.65,1.12,1.25,1.51,1.65,177.90
141.pnml,27.89,1.66,1.13,1.27,1.52,1.66,180.59
142.pnml,28.04,1.67,1.14,1.28,1.53,1.67,181.12
143.pnml,28.06,1.68,1.14,1.29,1.54,1.68,183.77
144.pnml,28.09,1.69,1.15,1.29,1.55,1.69,183.45
145.pnml,28.03,1.71,1.16,1.30,1.56,1.71,194.80
146.pnml,28.17,1.72,1.17,1.31,1.57,1.72,189.44
147.pnml,28.08,1.73,1.17,1.32,1.58,1.73,196.22
148.pnml,28.24,1.74,1.18,1.33,1.59,1.74,198.64
149.pnml,28.39,1.75,1.19,1.34,1.60,1.75,200.45
14.pnml,20.62,0.21,0.13,0.14,0.17,0.18,7.23
150.pnml,28.42,1.76,1.20,1.34,1.61,1.76,199.70
151.pnml,28.26,1.77,1.20,1.35,1.62,1.77,200.55
152.pnml,28.37,1.78,1.21,1.36,1.63,1.78,212.80
153.pnml,28.52,1.79,1.22,1.37,1.64,1.79,204.76
154.pnml,28.54,1.80,1.23,1.38,1.65,1.80,209.41
155.pnml,28.71,1.81,1.24,1.39,1.66,1.81,213.64
156.pnml,28.62,1.82,1.24,1.40,1.67,1.82,216.21
157.pnml,28.77,1.84,1.25,1.41,1.69,1.84,220.19
158.pnml,28.81,1.85,1.26,1.41,1.70,1.85,217.99
159.pnml,28.96,1.86,1.27,1.43,1.71,1.86,215.34
15.pnml,20.62,0.22,0.14,0.15,0.18,0.20,7.72
160.pnml,28.86,1.87,1.28,1.44,1.72,1.87,224.49
161.pnml,29.02,1.88,1.29,1.44,1.73,1.88,224.21
162.pnml,29.07,1.89,1.29,1.45,1.74,1.89,232.34
163.pnml,28.93,1.91,1.30,1.46,1.75,1.91,235.35
164.pnml,29.12,1.92,1.31,1.47,1.76,1.92,239.18
165.pnml,29.16,1.93,1.32,1.48,1.77,1.93,244.54
166.pnml,29.32,1.94,1.32,1.49,1.78,1.94,241.80
167.pnml,29.22,1.95,1.33,1.50,1.79,1.95,237.86
168.pnml,29.38,1.96,1.34,1.50,1.80,1.96,247.20
169.pnml,29.41,1.97,1.35,1.51,1.81,1.97,245.67
16.pnml,20.75,0.23,0.14,0.16,0.19,0.21,8.19
170.pnml,29.44,1.98,1.35,1.52,1.82,1.98,252.62
171.pnml,29.59,1.99,1.36,1.53,1.83,1.99,251.47
172.pnml,29.63,2.00,1.37,1.54,1.85,2.00,254.34
173.pnml,29.46,2.01,1.38,1.55,1.86,2.01,266.67
174.pnml,29.63,2.02,1.38,1.56,1.87,2.02,255.20
175.pnml,29.73,2.03,1.39,1.56,1.88,2.03,261.88
176.pnml,29.75,2.05,1.40,1.57,1.89,2.05,264.28
177.pnml,29.41,2.06,1.41,1.58,1.90,2.06,270.96
178.pnml,29.46,2.07,1.42,1.59,1.91,2.07,269.52
179.pnml,29.49,2.08,1.42,1.60,1.92,2.08,273.34
17.pnml,20.75,0.24,0.15,0.17,0.20,0.22,8.86
180.pnml,29.32,2.09,1.43,1.61,1.93,2.09,281.62
181.pnml,29.61,2.11,1.44,1.62,1.94,2.11,285.28
182.pnml,29.64,2.12,1.45,1.63,1.95,2.12,282.04
183.pnml,29.68,2.13,1.46,1.64,1.96,2.13,286.44
184.pnml,29.66,2.14,1.47,1.65,1.98,2.14,287.75
185.pnml,29.76,2.15,1.47,1.66,1.99,2.15,295.00
186.pnml,29.81,2.16,1.48,1.67,2.00,2.16,285.01
187.pnml,29.86,2.17,1.49,1.67,2.01,2.17,293.33
188.pnml,29.90,2.18,1.50,1.68,2.02,2.18,310.97
189.pnml,29.95,2.19,1.50,1.69,2.03,2.19,294.09
18.pnml,20.87,0.25,0.16,0.18,0.21,0.23,9.37
190.pnml,30.11,2.20,1.51,1.70,2.04,2.20,300.97
191.pnml,30.16,2.21,1.52,1.71,2.05,2.21,310.39
192.pnml,29.96,2.23,1.53,1.72,2.06,2.23,308.05
193.pnml,30.25,2.24,1.53,1.72,2.07,2.24,315.37
194.pnml,30.29,2.27,1.54,1.73,2.08,2.27,318.34
195.pnml,30.21,2.31,1.55,1.74,2.09,2.31,316.62
196.pnml,30.25,2.32,1.56,1.75,2.10,2.32,324.11
197.pnml,30.42,2.33,1.57,1.76,2.11,2.33,319.28
198.pnml,30.46,2.34,1.57,1.77,2.12,2.34,328.76
199.pnml,30.51,2.35,1.58,1.78,2.13,2.35,329.59
19.pnml,20.62,0.26,0.17,0.19,0.23,0.24,10.14
1.pnml,19.87,0.06,0.02,0.04,0.03,0.04,1.36
200.pnml,30.57,2.36,1.59,1.79,2.14,2.36,335.06
201.pnml,30.61,2.38,1.60,1.79,2.15,2.38,335.36
202.pnml,30.69,2.39,1.61,1.81,2.17,2.39,341.03
203.pnml,30.75,2.40,1.62,1.82,2.18,2.40,354.09
204.pnml,30.89,2.41,1.62,1.83,2.19,2.41,350.68
205.pnml,30.93,2.42,1.63,1.83,2.20,2.42,348.59
206.pnml,30.96,2.43,1.64,1.84,2.21,2.43,368.43
207.pnml,31.01,2.44,1.65,1.85,2.22,2.44,357.04
208.pnml,31.06,2.46,1.66,1.86,2.23,2.46,357.91
209.pnml,31.03,2.47,1.66,1.87,2.24,2.47,364.39
20.pnml,20.87,0.27,0.17,0.19,0.24,0.25,10.72
210.pnml,31.13,2.48,1.67,1.88,2.25,2.48,378.35
211.pnml,31.18,2.49,1.68,1.89,2.26,2.49,372.44
212.pnml,31.10,2.50,1.69,1.89,2.27,2.50,361.90
213.pnml,31.26,2.51,1.69,1.90,2.28,2.51,405.80
214.pnml,31.21,2.52,1.70,1.91,2.29,2.52,384.91
215.pnml,31.37,2.53,1.71,1.92,2.30,2.53,378.41
216.pnml,31.56,2.54,1.72,1.93,2.31,2.54,390.30
217.pnml,31.57,2.55,1.72,1.94,2.32,2.55,377.46
218.pnml,31.62,2.56,1.73,1.95,2.33,2.56,395.95
219.pnml,31.66,2.57,1.74,1.95,2.34,2.57,384.84
21.pnml,21.00,0.28,0.18,0.20,0.25,0.26,11.53
220.pnml,31.71,2.58,1.75,1.96,2.35,2.58,386.73
221.pnml,31.75,2.59,1.75,1.97,2.36,2.59,395.40
222.pnml,31.79,2.61,1.76,1.98,2.37,2.61,407.16
223.pnml,31.84,2.62,1.77,1.99,2.38,2.62,410.72
224.pnml,31.76,2.63,1.78,2.00,2.39,2.63,416.09
225.pnml,31.93,2.64,1.78,2.00,2.40,2.64,533.35
226.pnml,31.97,2.65,1.79,2.01,2.42,2.65,417.79
227.pnml,32.01,2.69,1.80,2.02,2.43,2.69,422.20
228.pnml,32.09,2.70,1.81,2.04,2.44,2.70,427.43
229.pnml,32.26,2.71,1.82,2.05,2.45,2.71,433.43
22.pnml,20.88,0.29,0.19,0.21,0.26,0.27,12.00
230.pnml,32.30,2.72,1.83,2.06,2.46,2.72,421.62
231.pnml,32.20,2.74,1.84,2.06,2.47,2.74,436.37
232.pnml,32.37,2.75,1.84,2.07,2.48,2.75,447.61
233.pnml,32.54,2.76,1.85,2.08,2.49,2.76,442.46
234.pnml,32.33,2.77,1.86,2.09,2.51,2.77,439.54
235.pnml,32.41,2.78,1.87,2.10,2.52,2.78,455.22
236.pnml,32.55,2.79,1.88,2.11,2.53,2.79,444.66
237.pnml,32.61,2.80,1.88,2.12,2.54,2.80,459.54
238.pnml,32.43,2.81,1.89,2.13,2.55,2.81,445.60
239.pnml,32.70,2.82,1.90,2.13,2.56,2.82,469.90
23.pnml,21.12,0.30,0.20,0.22,0.27,0.28,12.69
240.pnml,32.75,2.83,1.91,2.14,2.57,2.83,465.32
241.pnml,32.80,2.84,1.91,2.15,2.58,2.84,467.80
242.pnml,32.84,2.85,1.92,2.16,2.59,2.85,460.20
243.pnml,32.90,2.87,1.93,2.17,2.60,2.87,469.45
244.pnml,32.95,2.88,1.94,2.18,2.61,2.88,473.96
245.pnml,33.01,2.89,1.94,2.18,2.62,2.89,483.53
246.pnml,33.05,2.90,1.95,2.19,2.63,2.90,478.19
247.pnml,34.20,2.91,1.96,2.20,2.64,2.91,500.47
248.pnml,34.23,2.92,1.97,2.21,2.65,2.92,489.00
249.pnml,34.27,2.93,1.97,2.22,2.66,2.93,487.36
24.pnml,21.12,0.31,0.21,0.23,0.28,0.30,13.32
250.pnml,34.30,2.94,1.98,2.23,2.67,2.94,505.89
251.pnml,34.34,2.95,1.99,2.24,2.68,2.95,507.37
252.pnml,34.37,2.96,2.00,2.24,2.69,2.96,521.87
253.pnml,34.52,2.97,2.01,2.25,2.70,2.97,510.56
254.pnml,34.55,2.98,2.01,2.26,2.71,2.98,508.24
255.pnml,34.58,3.00,2.02,2.27,2.73,3.00,514.64
256.pnml,34.61,3.01,2.03,2.28,2.74,3.01,542.92
257.pnml,34.65,3.03,2.04,2.30,2.75,3.03,533.90
258.pnml,34.81,3.04,2.05,2.30,2.76,3.04,541.63
259.pnml,34.84,3.05,2.06,2.31,2.77,3.05,523.39
25.pnml,21.25,0.32,0.21,0.24,0.29,0.31,14.19
260.pnml,34.76,3.06,2.06,2.32,2.78,3.06,530.86
261.pnml,34.91,3.07,2.07,2.33,2.79,3.07,553.32
262.pnml,34.96,3.08,2.08,2.34,2.80,3.08,545.16
263.pnml,35.00,3.09,2.09,2.35,2.81,3.09,542.36
264.pnml,34.94,3.10,2.10,2.36,2.82,3.10,546.78
265.pnml,35.16,3.11,2.10,2.37,2.83,3.11,556.98
266.pnml,34.94,3.12,2.11,2.37,2.84,3.12,567.95
267.pnml,35.10,3.13,2.12,2.38,2.85,3.13,703.38
268.pnml,35.26,3.15,2.13,2.39,2.86,3.15,572.88
269.pnml,35.16,3.16,2.13,2.40,2.87,3.16,577.67
26.pnml,21.24,0.33,0.22,0.25,0.30,0.32,17.54
270.pnml,35.32,3.17,2.14,2.41,2.89,3.17,573.43
271.pnml,35.48,3.18,2.15,2.42,2.90,3.18,577.85
272.pnml,35.51,3.19,2.16,2.43,2.91,3.19,585.28
