file_name,mem_usage_mb,peak_mem_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
0.pnml,19.75,0.05,0.02,0.04,0.02,0.04,0.89
1000.pnml,77.75,11.72,7.89,8.87,10.62,11.72,6932.48
1001.pnml,77.78,11.73,7.90,8.88,10.63,11.73,6750.74
1002.pnml,77.93,11.74,7.90,8.89,10.64,11.74,6893.06
1003.pnml,77.91,11.75,7.91,8.90,10.65,11.75,6958.52
1004.pnml,78.00,11.76,7.92,8.91,10.66,11.76,6914.14
1005.pnml,78.16,11.77,7.93,8.91,10.67,11.77,6780.10
1006.pnml,77.99,11.78,7.93,8.92,10.68,11.78,7040.80
1007.pnml,78.23,11.79,7.94,8.93,10.69,11.79,6834.78
1008.pnml,78.27,11.80,7.95,8.94,10.70,11.80,6972.24
1009.pnml,78.30,11.81,7.96,8.95,10.71,11.81,6976.93
100.pnml,25.12,1.19,0.80,0.90,1.08,1.19,103.30
1010.pnml,78.18,11.83,7.96,8.96,10.72,11.83,6874.49
1011.pnml,78.36,11.84,7.97,8.97,10.73,11.84,7176.91
1012.pnml,78.39,11.85,7.98,8.97,10.74,11.85,7000.09
1013.pnml,78.55,11.86,7.99,8.98,10.75,11.86,6989.54
1014.pnml,78.47,11.87,7.99,8.99,10.77,11.87,6993.78
1015.pnml,78.50,11.88,8.00,9.00,10.78,11.88,6997.29
1016.pnml,78.67,11.89,8.01,9.01,10.79,11.89,7054.98
1017.pnml,78.71,11.90,8.02,9.02,10.80,11.90,7040.05
1018.pnml,78.62,11.91,8.03,9.02,10.81,11.91,7102.66
1019.pnml,78.63,11.92,8.03,9.03,10.82,11.92,6977.15
101.pnml,25.31,1.20,0.81,0.91,1.09,1.20,103.14
1020.pnml,78.94,11.93,8.04,9.04,10.83,11.93,7330.71
1021.pnml,78.98,11.94,8.05,9.05,10.84,11.94,7360.79
1022.pnml,78.89,11.95,8.06,9.06,10.85,11.95,7060.50
1023.pnml,78.80,11.97,8.06,9.07,10.86,11.97,7024.68
1024.pnml,79.09,11.98,8.07,9.08,10.87,11.98,7062.10
1025.pnml,79.13,11.99,8.08,9.08,10.88,11.99,7369.81
1026.pnml,79.29,12.00,8.09,9.09,10.89,12.00,7088.54
1027.pnml,79.21,12.01,8.09,9.10,10.90,12.01,7330.42
1028.pnml,79.24,12.02,8.10,9.11,10.91,12.02,7305.20
1029.pnml,79.24,12.03,8.11,9.12,10.92,12.03,7186.37
102.pnml,25.35,1.21,0.82,0.92,1.10,1.21,105.52
1030.pnml,79.38,12.04,8.12,9.13,10.93,12.04,7286.65
1031.pnml,79.48,12.05,8.12,9.14,10.94,12.05,7413.03
1032.pnml,79.36,12.06,8.13,9.14,10.95,12.06,7236.51
1033.pnml,79.68,12.07,8.14,9.15,10.96,12.07,7343.46
1034.pnml,79.56,12.08,8.15,9.16,10.97,12.08,7281.66
1035.pnml,79.73,12.09,8.15,9.17,10.98,12.09,7185.75
1036.pnml,79.58,12.10,8.16,9.18,10.99,12.10,7513.40
1037.pnml,79.81,12.12,8.17,9.19,11.00,12.12,7283.15
1038.pnml,79.84,12.13,8.18,9.19,11.01,12.13,7398.07
