file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0.pnml,19.73,0.05,0.01,1.80
1000.pnml,80.49,14.75,7.56,396.09
1001.pnml,80.51,14.77,7.57,440.28
1002.pnml,80.55,14.78,7.58,452.38
1003.pnml,80.61,14.79,7.59,464.97
1004.pnml,80.52,14.81,7.59,421.07
1005.pnml,80.77,14.82,7.60,417.01
1006.pnml,80.89,14.83,7.61,408.34
1007.pnml,80.83,14.85,7.62,436.09
1008.pnml,80.87,14.86,7.62,427.81
1009.pnml,81.02,14.87,7.63,431.84
100.pnml,25.24,1.47,0.77,44.27
1010.pnml,81.05,14.89,7.64,407.84
1011.pnml,81.09,14.90,7.64,429.86
1012.pnml,81.12,14.91,7.65,421.17
1013.pnml,81.16,14.93,7.66,412.83
1014.pnml,81.21,14.94,7.67,420.32
1015.pnml,81.36,14.95,7.67,440.37
1016.pnml,80.45,14.97,7.68,429.53
1017.pnml,81.56,14.98,7.69,401.11
1018.pnml,80.57,14.99,7.70,431.75
1019.pnml,81.63,15.01,7.70,416.26
101.pnml,25.50,1.48,0.78,54.24
1020.pnml,81.54,15.02,7.71,420.66
1021.pnml,81.71,15.03,7.72,414.78
1022.pnml,81.75,15.05,7.73,425.37
1023.pnml,81.78,15.06,7.73,428.35
1024.pnml,81.82,15.07,7.74,412.31
1025.pnml,81.85,15.09,7.75,417.64
1026.pnml,81.90,15.10,7.75,411.22
1027.pnml,82.06,15.11,7.76,417.30
1028.pnml,82.03,15.13,7.77,437.56
1029.pnml,82.12,15.14,7.78,447.85
102.pnml,25.55,1.49,0.78,43.98
1030.pnml,82.16,15.15,7.78,443.18
1031.pnml,82.20,15.17,7.79,447.28
1032.pnml,82.24,15.18,7.80,439.45
1033.pnml,82.28,15.19,7.81,408.32
1034.pnml,82.34,15.21,7.81,441.36
1035.pnml,82.48,15.22,7.82,431.89
1036.pnml,82.50,15.23,7.83,438.33
1037.pnml,82.54,15.25,7.84,438.33
1038.pnml,82.56,15.26,7.84,421.83
1039.pnml,82.72,15.27,7.85,424.51
103.pnml,25.60,1.51,0.79,46.84
1040.pnml,82.67,15.29,7.86,434.38
1041.pnml,82.78,15.30,7.86,444.00
1042.pnml,82.81,15.31,7.87,445.41
1043.pnml,82.84,15.33,7.88,443.55
1044.pnml,83.01,15.34,7.89,422.22
1045.pnml,83.16,15.35,7.89,445.64
1046.pnml,83.05,15.37,7.90,435.50
1047.pnml,83.10,15.38,7.91,464.43
1048.pnml,83.08,15.39,7.92,437.38
1049.pnml,83.16,15.41,7.92,450.00
104.pnml,25.62,1.52,0.80,45.14
1050.pnml,83.32,15.43,7.93,423.17
1051.pnml,83.24,15.44,7.94,430.52
1052.pnml,83.38,15.45,7.95,422.21
1053.pnml,83.37,15.47,7.95,439.29
1054.pnml,83.45,15.48,7.96,446.41
1055.pnml,83.61,15.49,7.97,449.37
1056.pnml,83.64,15.51,7.98,455.39
1057.pnml,83.67,15.52,7.98,480.01
1058.pnml,83.70,15.53,7.99,442.77
1059.pnml,83.74,15.55,8.00,465.58
105.pnml,25.69,1.53,0.81,46.28
1060.pnml,83.82,15.56,8.00,427.33
1061.pnml,83.88,15.57,8.01,442.57
1062.pnml,83.71,15.59,8.02,455.03
1063.pnml,83.99,15.60,8.03,441.13
1064.pnml,84.02,15.61,8.03,447.15
1065.pnml,84.09,15.64,8.05,474.56
1066.pnml,84.21,15.67,8.07,446.84
1067.pnml,84.38,15.68,8.08,443.28
1068.pnml,84.20,15.70,8.08,443.38
1069.pnml,84.57,15.71,8.09,444.03
106.pnml,25.86,1.55,0.81,48.40
1070.pnml,84.59,15.72,8.10,437.16
1071.pnml,84.62,15.74,8.11,447.02
1072.pnml,84.66,15.75,8.11,458.74
1073.pnml,84.68,15.76,8.12,441.50
1074.pnml,84.72,15.78,8.13,447.84
1075.pnml,84.76,15.79,8.14,440.23
1076.pnml,84.92,15.80,8.14,451.76
1077.pnml,84.84,15.82,8.15,455.69
1078.pnml,84.88,15.83,8.16,457.75
1079.pnml,85.01,15.84,8.17,447.09
107.pnml,25.78,1.56,0.82,46.71
1080.pnml,85.04,15.86,8.17,460.27
1081.pnml,85.20,15.87,8.18,450.65
1082.pnml,85.09,15.88,8.19,460.23
1083.pnml,85.27,15.90,8.19,437.88
1084.pnml,84.41,15.91,8.20,449.31
1085.pnml,85.26,15.92,8.21,445.48
1086.pnml,85.27,15.94,8.22,469.31
1087.pnml,85.31,15.95,8.22,451.34
1088.pnml,85.37,15.96,8.23,457.17
1089.pnml,85.58,15.98,8.24,450.36
108.pnml,25.95,1.58,0.83,48.32
1090.pnml,85.61,15.99,8.25,465.65
1091.pnml,85.64,16.00,8.25,467.05
1092.pnml,85.68,16.02,8.26,459.66
1093.pnml,85.70,16.03,8.27,467.18
1094.pnml,85.74,16.04,8.28,443.88
1095.pnml,85.76,16.06,8.28,465.02
1096.pnml,85.93,16.07,8.29,438.26
1097.pnml,85.96,16.08,8.30,457.11
1098.pnml,85.99,16.10,8.31,495.87
1099.pnml,85.95,16.11,8.31,456.03
109.pnml,26.00,1.59,0.84,49.62
10.pnml,20.36,0.17,0.09,5.52
1100.pnml,86.18,16.12,8.32,462.66
1101.pnml,86.20,16.14,8.33,479.13
1102.pnml,86.25,16.15,8.33,462.43
1103.pnml,86.28,16.16,8.34,468.56
1104.pnml,86.31,16.18,8.35,449.37
1105.pnml,86.34,16.19,8.36,446.22
1106.pnml,86.50,16.21,8.37,473.67
1107.pnml,86.54,16.22,8.38,447.06
1108.pnml,86.37,16.23,8.38,459.95
1109.pnml,86.43,16.25,8.39,461.38
110.pnml,26.16,1.60,0.84,48.41
1110.pnml,86.76,16.26,8.40,458.80
1111.pnml,86.93,16.27,8.41,449.67
1112.pnml,86.82,16.29,8.41,465.25
1113.pnml,86.86,16.30,8.42,463.56
1114.pnml,86.89,16.31,8.43,468.91
1115.pnml,86.93,16.33,8.43,487.74
1116.pnml,87.09,16.34,8.44,491.27
1117.pnml,86.95,16.35,8.45,462.24
1118.pnml,87.23,16.37,8.46,469.89
1119.pnml,87.20,16.38,8.46,478.09
111.pnml,26.10,1.62,0.85,47.12
1120.pnml,87.24,16.39,8.47,460.95
1121.pnml,87.28,16.41,8.48,470.29
1122.pnml,87.32,16.42,8.49,466.11
1123.pnml,87.48,16.43,8.49,473.72
1124.pnml,87.51,16.45,8.50,464.96
1125.pnml,87.43,16.46,8.51,471.30
1126.pnml,87.59,16.47,8.52,504.32
1127.pnml,87.63,16.49,8.52,485.01
