file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0,19.96,0.05,0.01,1.69
1,19.76,0.07,0.02,2.53
2,19.58,0.08,0.03,2.60
3,19.75,0.09,0.04,2.93
4,19.79,0.10,0.05,2.96
5,19.92,0.11,0.05,3.39
6,19.57,0.12,0.06,3.85
7,20.09,0.13,0.07,4.38
8,20.00,0.14,0.08,4.77
9,20.19,0.15,0.08,5.30
10,20.11,0.16,0.09,9.16
11,20.21,0.17,0.10,9.83
12,20.28,0.19,0.10,10.70
13,20.11,0.21,0.11,10.44
14,20.50,0.22,0.12,10.89
15,19.96,0.24,0.13,12.34
16,20.59,0.25,0.13,11.82
17,20.36,0.26,0.14,12.21
18,20.68,0.28,0.15,12.65
19,20.86,0.29,0.15,12.91
20,20.75,0.30,0.16,13.19
21,20.55,0.32,0.17,13.64
22,20.66,0.33,0.18,12.19
23,21.12,0.34,0.18,13.38
24,21.09,0.36,0.19,19.31
25,20.91,0.37,0.20,17.74
26,21.14,0.38,0.21,15.49
27,21.30,0.40,0.21,18.94
28,21.05,0.42,0.22,18.90
29,21.30,0.43,0.23,21.27
30,21.54,0.44,0.23,21.97
31,21.08,0.45,0.24,20.98
32,21.19,0.47,0.25,24.45
33,21.75,0.48,0.26,19.74
34,21.66,0.49,0.26,24.60
35,21.64,0.51,0.27,23.10
36,21.89,0.52,0.28,25.90
37,21.99,0.53,0.29,24.66
38,21.78,0.55,0.29,22.70
39,21.62,0.56,0.30,28.20
40,22.13,0.57,0.31,28.24
41,21.96,0.59,0.31,24.11
42,21.96,0.60,0.32,26.22
43,22.37,0.61,0.33,26.02
44,22.21,0.62,0.34,26.87
45,22.08,0.64,0.34,24.42
46,22.36,0.65,0.35,23.54
47,22.26,0.66,0.36,26.30
48,22.30,0.68,0.37,25.66
49,22.61,0.69,0.37,25.67
50,22.47,0.73,0.38,26.10
51,22.73,0.75,0.39,26.80
52,22.64,0.76,0.39,26.79
53,22.64,0.77,0.40,31.26
54,22.88,0.78,0.41,28.67
55,22.74,0.80,0.42,28.11
56,22.93,0.82,0.42,28.37
57,22.90,0.84,0.43,30.37
58,23.04,0.85,0.44,31.74
59,23.12,0.86,0.44,33.25
60,23.24,0.88,0.45,32.53
61,23.58,0.89,0.46,31.81
62,23.60,0.90,0.47,31.96
63,23.45,0.91,0.47,32.49
64,23.68,0.93,0.48,32.39
65,23.73,0.94,0.49,33.65
66,23.59,0.95,0.50,34.20
67,23.29,0.97,0.50,41.22
68,23.87,0.98,0.51,34.82
69,23.79,0.99,0.52,36.12
70,23.65,1.01,0.52,34.65
71,23.85,1.02,0.53,37.41
72,23.80,1.03,0.54,35.33
73,23.81,1.04,0.55,39.29
74,23.96,1.06,0.55,36.60
75,23.78,1.07,0.56,37.77
76,24.22,1.08,0.57,42.38
77,23.94,1.10,0.58,37.99
78,23.99,1.11,0.58,40.12
79,24.26,1.12,0.59,39.62
80,24.08,1.14,0.60,41.31
81,24.32,1.15,0.60,40.13
82,24.21,1.16,0.61,40.61
83,24.36,1.17,0.62,40.82
84,24.72,1.19,0.63,41.73
85,24.38,1.20,0.63,49.49
86,24.60,1.21,0.64,42.77
87,24.51,1.23,0.65,43.95
88,24.70,1.24,0.66,43.50
89,24.94,1.25,0.66,45.27
90,24.67,1.27,0.67,47.55
91,24.91,1.28,0.68,46.53
92,24.63,1.29,0.68,50.15
93,24.90,1.30,0.69,46.40
94,24.86,1.32,0.70,49.76
95,25.00,1.33,0.71,50.07
96,25.11,1.34,0.71,50.19
97,24.63,1.37,0.72,53.16
98,25.09,1.38,0.73,51.34
99,25.02,1.40,0.74,49.49
100,25.06,1.41,0.74,57.46
101,25.48,1.42,0.75,57.61
