file_name,mem_usage_mb,time_ms
T1a_augmented_test_0.pnml,19.45,0.49
T1a_augmented_test_100.pnml,19.98,0.50
T1a_augmented_test_101.pnml,19.98,0.96
T1a_augmented_test_102.pnml,19.98,0.47
T1a_augmented_test_103.pnml,20.00,0.46
T1a_augmented_test_104.pnml,19.87,0.43
T1a_augmented_test_105.pnml,20.01,0.48
T1a_augmented_test_106.pnml,20.02,0.86
T1a_augmented_test_107.pnml,19.89,0.53
T1a_augmented_test_108.pnml,20.03,0.69
T1a_augmented_test_109.pnml,20.04,0.55
T1a_augmented_test_10.pnml,19.37,0.17
T1a_augmented_test_110.pnml,20.04,0.49
T1a_augmented_test_111.pnml,20.05,0.58
T1a_augmented_test_112.pnml,20.05,0.49
T1a_augmented_test_113.pnml,19.93,0.48
T1a_augmented_test_114.pnml,20.00,0.53
T1a_augmented_test_115.pnml,20.07,0.53
T1a_augmented_test_116.pnml,20.08,0.51
T1a_augmented_test_117.pnml,19.96,0.51
T1a_augmented_test_118.pnml,20.09,0.92
T1a_augmented_test_119.pnml,19.97,0.54
T1a_augmented_test_11.pnml,19.45,0.30
T1a_augmented_test_120.pnml,19.98,0.49
T1a_augmented_test_121.pnml,20.05,0.52
T1a_augmented_test_122.pnml,19.98,0.54
T1a_augmented_test_123.pnml,20.04,0.49
T1a_augmented_test_124.pnml,20.12,0.57
T1a_augmented_test_125.pnml,20.13,0.54
T1a_augmented_test_126.pnml,20.01,0.74
T1a_augmented_test_127.pnml,20.07,0.55
T1a_augmented_test_128.pnml,20.15,0.63
T1a_augmented_test_129.pnml,20.03,0.52
T1a_augmented_test_12.pnml,19.45,0.27
T1a_augmented_test_130.pnml,20.04,0.58
T1a_augmented_test_131.pnml,20.16,0.98
T1a_augmented_test_132.pnml,20.17,0.53
T1a_augmented_test_133.pnml,20.17,0.58
T1a_augmented_test_134.pnml,20.19,0.75
T1a_augmented_test_135.pnml,20.06,0.56
T1a_augmented_test_136.pnml,20.20,0.95
T1a_augmented_test_137.pnml,20.21,0.56
T1a_augmented_test_138.pnml,20.09,0.76
T1a_augmented_test_139.pnml,20.21,0.59
T1a_augmented_test_13.pnml,19.44,0.21
T1a_augmented_test_140.pnml,20.23,0.55
T1a_augmented_test_141.pnml,20.10,0.96
T1a_augmented_test_142.pnml,20.24,0.58
T1a_augmented_test_143.pnml,20.12,0.60
T1a_augmented_test_144.pnml,20.25,1.21
T1a_augmented_test_145.pnml,20.13,0.58
T1a_augmented_test_146.pnml,20.13,1.13
T1a_augmented_test_147.pnml,20.14,0.67
T1a_augmented_test_148.pnml,20.28,0.62
T1a_augmented_test_149.pnml,20.28,0.71
T1a_augmented_test_14.pnml,19.57,0.18
T1a_augmented_test_150.pnml,20.16,0.60
T1a_augmented_test_151.pnml,20.29,1.09
T1a_augmented_test_152.pnml,20.17,0.61
T1a_augmented_test_153.pnml,20.18,0.62
T1a_augmented_test_154.pnml,20.31,0.63
T1a_augmented_test_155.pnml,20.32,0.63
T1a_augmented_test_156.pnml,20.32,0.61
T1a_augmented_test_157.pnml,20.32,1.20
T1a_augmented_test_158.pnml,20.20,0.72
T1a_augmented_test_159.pnml,20.34,0.64
T1a_augmented_test_15.pnml,19.45,0.40
T1a_augmented_test_160.pnml,20.54,0.72
T1a_augmented_test_161.pnml,20.35,0.64
T1a_augmented_test_162.pnml,20.23,0.63
T1a_augmented_test_163.pnml,20.36,0.87
T1a_augmented_test_164.pnml,20.36,0.69
