file_name,mem_usage_mb,time_ms
T1a_augmented_test_0.pnml,19.07,0.20
T1a_augmented_test_100.pnml,20.06,22.83
T1a_augmented_test_101.pnml,20.11,21.97
T1a_augmented_test_102.pnml,20.11,23.22
T1a_augmented_test_103.pnml,20.12,23.53
T1a_augmented_test_104.pnml,19.89,23.75
T1a_augmented_test_105.pnml,20.01,23.70
T1a_augmented_test_106.pnml,20.14,25.86
T1a_augmented_test_107.pnml,20.14,25.48
T1a_augmented_test_108.pnml,20.15,24.99
T1a_augmented_test_109.pnml,20.16,26.06
T1a_augmented_test_10.pnml,19.45,0.64
T1a_augmented_test_110.pnml,20.16,26.24
T1a_augmented_test_111.pnml,20.05,27.59
T1a_augmented_test_112.pnml,20.05,27.37
T1a_augmented_test_113.pnml,20.12,26.95
T1a_augmented_test_114.pnml,20.20,27.99
T1a_augmented_test_115.pnml,20.20,28.46
T1a_augmented_test_116.pnml,20.16,29.53
T1a_augmented_test_117.pnml,20.09,32.28
T1a_augmented_test_118.pnml,20.22,31.60
T1a_augmented_test_119.pnml,20.03,33.35
T1a_augmented_test_11.pnml,19.45,0.60
T1a_augmented_test_120.pnml,20.23,32.15
T1a_augmented_test_121.pnml,20.04,31.77
T1a_augmented_test_122.pnml,20.11,36.84
T1a_augmented_test_123.pnml,20.09,33.36
T1a_augmented_test_124.pnml,20.25,34.39
T1a_augmented_test_125.pnml,20.39,33.94
T1a_augmented_test_126.pnml,20.27,35.29
T1a_augmented_test_127.pnml,20.27,35.72
T1a_augmented_test_128.pnml,20.28,34.85
T1a_augmented_test_129.pnml,20.28,36.86
T1a_augmented_test_12.pnml,19.45,0.74
T1a_augmented_test_130.pnml,20.29,38.21
T1a_augmented_test_131.pnml,20.30,38.01
T1a_augmented_test_132.pnml,20.26,37.88
T1a_augmented_test_133.pnml,20.30,41.69
T1a_augmented_test_134.pnml,20.31,39.72
T1a_augmented_test_135.pnml,20.19,39.83
T1a_augmented_test_136.pnml,20.25,41.73
T1a_augmented_test_137.pnml,20.33,40.70
T1a_augmented_test_138.pnml,20.34,45.34
T1a_augmented_test_139.pnml,20.34,42.94
T1a_augmented_test_13.pnml,19.50,0.72
T1a_augmented_test_140.pnml,20.23,43.37
T1a_augmented_test_141.pnml,20.36,43.99
T1a_augmented_test_142.pnml,20.36,44.12
T1a_augmented_test_143.pnml,20.37,44.20
T1a_augmented_test_144.pnml,20.23,51.80
T1a_augmented_test_145.pnml,20.27,46.30
T1a_augmented_test_146.pnml,20.39,48.75
T1a_augmented_test_147.pnml,20.40,48.71
T1a_augmented_test_148.pnml,20.41,47.30
T1a_augmented_test_149.pnml,20.41,48.72
T1a_augmented_test_14.pnml,19.44,0.83
T1a_augmented_test_150.pnml,20.41,47.74
T1a_augmented_test_151.pnml,20.29,48.24
T1a_augmented_test_152.pnml,20.30,50.47
T1a_augmented_test_153.pnml,20.43,49.36
