file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0,19.74,0.05,0.01,0.66
1,19.86,0.05,0.01,0.73
2,19.72,0.05,0.01,0.77
3,19.73,0.05,0.01,0.79
4,19.74,0.05,0.01,0.86
5,19.57,0.05,0.01,0.92
6,19.73,0.05,0.01,1.04
7,19.74,0.06,0.02,1.55
8,19.73,0.06,0.02,0.98
9,19.75,0.06,0.02,1.12
10,19.86,0.06,0.02,0.99
11,19.86,0.06,0.02,1.14
12,19.98,0.06,0.02,1.13
13,19.86,0.06,0.02,1.11
14,19.86,0.06,0.02,1.15
15,19.86,0.06,0.02,1.19
16,19.86,0.07,0.02,1.24
17,19.86,0.07,0.02,1.24
18,19.86,0.07,0.02,1.28
19,19.86,0.07,0.02,1.37
20,19.86,0.07,0.03,1.32
21,19.74,0.07,0.03,1.47
22,19.86,0.07,0.03,1.45
23,19.86,0.07,0.03,1.43
24,19.86,0.08,0.03,1.69
25,19.86,0.08,0.03,1.54
26,19.86,0.08,0.03,1.54
27,19.86,0.08,0.03,1.60
28,19.98,0.08,0.03,1.63
29,19.86,0.08,0.03,1.67
30,19.86,0.08,0.03,1.68
31,19.86,0.08,0.03,1.70
32,19.70,0.08,0.04,1.79
33,19.86,0.09,0.04,1.77
34,19.98,0.09,0.04,1.99
35,19.98,0.09,0.04,1.98
36,19.86,0.09,0.04,1.96
37,19.98,0.09,0.04,1.90
38,19.98,0.09,0.04,2.12
39,19.98,0.09,0.04,1.95
40,19.75,0.09,0.04,2.01
41,19.98,0.10,0.04,2.00
42,19.98,0.10,0.04,2.06
43,19.98,0.10,0.04,2.11
44,19.98,0.10,0.05,2.21
45,19.98,0.10,0.05,2.23
46,19.75,0.10,0.05,2.27
47,19.98,0.10,0.05,2.25
48,19.98,0.10,0.05,2.32
49,19.98,0.11,0.05,2.65
50,19.98,0.11,0.05,2.37
51,19.98,0.11,0.05,2.38
52,19.88,0.11,0.05,2.55
53,19.98,0.11,0.05,2.47
54,20.11,0.11,0.05,2.53
55,20.11,0.11,0.05,2.55
56,20.10,0.11,0.06,2.71
57,20.11,0.12,0.06,2.73
58,20.23,0.12,0.06,2.98
59,20.11,0.12,0.06,3.09
60,20.11,0.12,0.06,3.02
61,19.96,0.12,0.06,3.75
62,20.11,0.12,0.06,2.77
63,20.10,0.12,0.06,2.99
64,20.11,0.12,0.06,2.97
65,20.11,0.12,0.06,2.85
66,20.11,0.13,0.06,3.19
67,20.11,0.13,0.06,2.99
68,20.11,0.13,0.07,3.02
69,20.11,0.13,0.07,3.30
70,20.10,0.13,0.07,3.13
71,19.95,0.14,0.07,3.06
72,19.98,0.14,0.07,3.33
73,20.23,0.14,0.07,3.27
74,20.12,0.14,0.07,3.26
75,20.23,0.14,0.07,3.23
76,20.23,0.14,0.07,3.25
77,20.23,0.14,0.07,3.26
78,20.23,0.14,0.07,3.29
79,20.12,0.15,0.08,3.31
80,20.11,0.15,0.08,3.39
81,20.23,0.15,0.08,3.41
82,20.23,0.15,0.08,3.74
83,20.23,0.15,0.08,3.79
84,20.23,0.15,0.08,3.77
85,20.23,0.16,0.08,3.60
86,20.23,0.16,0.08,3.78
87,20.23,0.16,0.08,3.76
88,20.23,0.16,0.08,3.75
89,20.23,0.16,0.09,3.89
90,20.23,0.16,0.09,3.71
91,20.23,0.17,0.09,3.86
92,20.23,0.17,0.09,4.12
93,20.23,0.17,0.09,3.77
94,20.23,0.17,0.09,3.88
95,20.36,0.17,0.09,4.07
96,20.36,0.17,0.09,3.99
97,20.36,0.17,0.09,3.93
98,20.36,0.18,0.09,4.00
99,20.36,0.18,0.09,4.14
100,20.36,0.18,0.10,4.21
101,20.36,0.18,0.10,4.19
102,20.36,0.18,0.10,4.09
103,20.36,0.18,0.10,4.39
104,20.36,0.18,0.10,4.18
105,20.36,0.18,0.10,4.46
106,20.36,0.19,0.10,4.35
107,20.36,0.19,0.10,4.29
108,20.36,0.19,0.10,4.37
109,20.36,0.19,0.10,4.40
110,20.36,0.19,0.10,4.45
111,20.23,0.19,0.11,4.43
112,20.36,0.20,0.11,4.52
113,20.36,0.20,0.11,4.58
114,20.36,0.20,0.11,4.71
115,20.30,0.20,0.11,4.70
116,20.36,0.20,0.11,4.66
117,20.48,0.20,0.11,4.64
118,20.36,0.20,0.11,4.79
119,20.48,0.21,0.11,4.75
120,20.48,0.21,0.11,4.88
121,20.48,0.21,0.12,4.81
122,20.48,0.21,0.12,4.89
123,20.36,0.21,0.12,4.86
124,20.49,0.21,0.12,5.05
125,20.48,0.21,0.12,5.11
126,20.48,0.21,0.12,5.07
127,20.49,0.22,0.12,5.18
128,20.48,0.22,0.12,5.01
129,20.48,0.22,0.12,5.08
130,20.48,0.22,0.12,5.13
131,20.25,0.22,0.12,5.24
132,20.48,0.22,0.13,5.51
133,20.48,0.23,0.13,5.55
134,20.61,0.23,0.13,5.47
135,20.48,0.23,0.13,5.33
136,20.48,0.23,0.13,5.54
137,20.73,0.23,0.13,5.41
138,20.61,0.23,0.13,5.49
139,20.61,0.24,0.13,5.59
140,20.61,0.24,0.13,5.53
141,20.60,0.24,0.13,5.50
142,20.61,0.24,0.14,5.62
143,20.61,0.24,0.14,5.66
144,20.61,0.24,0.14,5.70
145,20.61,0.25,0.14,5.77
146,20.61,0.25,0.14,5.80
147,20.61,0.25,0.14,5.79
148,20.61,0.25,0.14,5.78
149,20.61,0.25,0.14,6.01
150,20.61,0.25,0.14,6.22
151,20.73,0.25,0.14,5.96
152,20.73,0.26,0.15,6.05
153,20.73,0.26,0.15,6.36
154,20.73,0.26,0.15,6.09
155,20.73,0.26,0.15,6.01
156,20.86,0.26,0.15,6.06
157,20.73,0.26,0.15,6.20
158,20.73,0.26,0.15,6.36
159,20.73,0.27,0.15,6.26
160,20.86,0.27,0.15,6.35
161,20.73,0.27,0.15,6.31
162,20.73,0.27,0.15,6.38
163,20.73,0.27,0.15,6.53
164,20.73,0.27,0.16,6.41
165,20.73,0.27,0.16,6.64
166,20.73,0.27,0.16,6.94
167,20.73,0.28,0.16,6.77
168,20.73,0.28,0.16,7.11
169,20.85,0.28,0.16,6.66
170,20.73,0.28,0.16,6.62
171,20.73,0.28,0.16,7.02
172,20.73,0.28,0.16,6.65
173,20.73,0.29,0.16,6.75
174,20.73,0.29,0.17,6.89
175,20.73,0.29,0.17,7.26
176,20.86,0.29,0.17,6.95
177,20.86,0.29,0.17,7.26
178,20.86,0.29,0.17,7.02
179,20.86,0.30,0.17,7.43
180,20.86,0.30,0.17,6.99
181,20.62,0.30,0.17,7.24
182,20.72,0.30,0.17,7.21
183,20.86,0.30,0.17,7.16
184,20.86,0.31,0.18,7.68
185,20.86,0.31,0.18,7.34
186,20.73,0.31,0.18,7.24
187,20.86,0.31,0.18,7.82
188,20.86,0.32,0.18,7.42
189,20.86,0.32,0.18,7.52
190,20.70,0.32,0.18,7.58
191,20.98,0.32,0.18,7.75
192,20.86,0.32,0.19,7.83
193,20.86,0.32,0.19,7.50
194,20.86,0.32,0.19,7.62
195,20.88,0.33,0.19,8.20
196,20.98,0.33,0.19,7.60
197,20.98,0.33,0.19,7.68
198,20.98,0.33,0.19,7.70
199,20.98,0.33,0.19,8.11
200,20.98,0.33,0.19,7.99
201,20.98,0.34,0.19,7.84
202,20.98,0.34,0.20,8.02
203,20.98,0.34,0.20,7.90
204,20.98,0.34,0.20,8.03
205,21.11,0.34,0.20,8.10
206,20.80,0.34,0.20,8.01
207,20.98,0.34,0.20,8.40
208,20.80,0.35,0.20,8.36
209,20.98,0.35,0.20,8.29
210,20.98,0.35,0.20,8.34
211,20.98,0.35,0.20,8.69
212,20.98,0.35,0.20,8.42
213,20.98,0.35,0.20,8.45
214,20.98,0.35,0.21,8.47
215,20.98,0.36,0.21,8.28
216,20.98,0.36,0.21,8.68
217,21.11,0.36,0.21,8.55
218,21.11,0.36,0.21,8.58
219,21.11,0.36,0.21,8.68
220,21.23,0.36,0.21,8.46
221,21.11,0.36,0.21,8.52
222,21.11,0.37,0.21,8.80
223,21.11,0.37,0.21,8.76
224,20.86,0.37,0.21,9.03
225,21.11,0.37,0.22,9.18
226,21.11,0.37,0.22,9.45
227,21.11,0.37,0.22,9.41
228,21.11,0.37,0.22,8.92
229,21.11,0.38,0.22,9.03
230,21.11,0.38,0.22,9.02
231,21.08,0.38,0.22,8.98
232,21.11,0.39,0.23,9.55
233,21.11,0.39,0.23,9.65
234,21.23,0.39,0.23,9.10
235,21.11,0.39,0.23,9.52
236,21.11,0.39,0.23,9.38
237,21.23,0.39,0.23,9.24
238,21.23,0.40,0.23,9.37
239,21.23,0.40,0.23,9.91
240,21.23,0.40,0.23,9.36
241,21.23,0.40,0.23,9.73
242,21.23,0.40,0.24,9.50
243,21.23,0.40,0.24,9.48
244,21.23,0.40,0.24,9.85
245,21.23,0.40,0.24,11.98
246,21.00,0.41,0.24,10.95
247,21.36,0.41,0.24,10.96
248,21.23,0.41,0.24,13.12
249,21.23,0.41,0.24,12.49
250,21.23,0.41,0.24,12.20
251,21.23,0.41,0.24,11.17
252,21.23,0.42,0.25,11.14
253,21.23,0.42,0.25,12.05
254,21.23,0.42,0.25,11.38
255,21.23,0.43,0.25,11.59
256,21.23,0.43,0.25,11.41
257,21.21,0.43,0.25,11.84
258,21.36,0.43,0.25,11.62
259,21.36,0.43,0.25,11.45
260,21.36,0.43,0.25,11.78
261,21.25,0.43,0.26,13.61
262,21.36,0.44,0.26,12.18
263,21.36,0.44,0.26,12.62
264,21.36,0.44,0.26,11.94
265,21.36,0.44,0.26,11.96
