file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0,19.18,0.05,0.01,1.00
1,19.64,0.05,0.01,1.46
2,19.66,0.05,0.01,1.34
3,19.63,0.05,0.01,1.49
4,19.53,0.05,0.01,2.72
5,19.52,0.05,0.01,1.66
6,19.48,0.05,0.01,1.57
7,19.24,0.05,0.01,1.66
8,19.58,0.05,0.02,1.73
9,19.59,0.05,0.02,1.76
10,19.56,0.06,0.02,1.83
11,19.57,0.06,0.02,1.87
12,19.67,0.06,0.02,1.71
13,19.72,0.06,0.02,2.02
14,19.77,0.06,0.02,2.15
15,19.43,0.06,0.02,2.00
16,19.42,0.06,0.02,1.99
17,19.46,0.06,0.02,2.15
18,19.69,0.06,0.02,2.06
19,19.80,0.06,0.02,2.12
20,19.30,0.06,0.02,3.15
21,19.54,0.06,0.02,2.22
22,19.67,0.07,0.02,2.76
23,19.89,0.07,0.02,2.18
24,19.65,0.07,0.03,2.16
25,19.27,0.07,0.03,2.12
26,19.80,0.07,0.03,2.31
27,19.68,0.07,0.03,2.59
28,19.67,0.07,0.03,2.51
29,19.84,0.07,0.03,2.43
30,19.75,0.07,0.03,2.35
31,19.82,0.07,0.03,2.35
32,19.65,0.07,0.03,3.55
33,19.74,0.07,0.03,2.55
34,19.76,0.08,0.03,2.49
35,19.81,0.08,0.03,2.52
36,19.89,0.08,0.03,3.40
37,19.74,0.08,0.03,2.92
38,19.48,0.08,0.03,2.81
39,19.68,0.08,0.03,3.00
40,19.78,0.08,0.04,2.81
41,19.57,0.08,0.04,2.85
42,19.60,0.08,0.04,3.07
43,19.91,0.08,0.04,2.89
44,19.98,0.08,0.04,3.11
45,19.48,0.08,0.04,2.94
46,19.71,0.09,0.04,3.14
47,19.70,0.09,0.04,3.09
48,19.66,0.09,0.04,3.08
49,19.85,0.09,0.04,3.78
50,19.78,0.09,0.04,3.18
51,19.56,0.09,0.04,3.41
52,20.00,0.09,0.04,3.63
53,19.65,0.09,0.04,3.50
54,19.98,0.09,0.04,3.52
55,19.57,0.09,0.04,3.51
56,19.90,0.09,0.05,4.63
57,19.87,0.09,0.05,3.76
58,19.95,0.10,0.05,3.70
59,19.84,0.10,0.05,3.72
60,20.07,0.10,0.05,3.75
61,19.83,0.10,0.05,3.79
62,19.99,0.10,0.05,3.88
63,19.95,0.10,0.05,3.98
64,19.88,0.10,0.05,3.94
65,19.87,0.10,0.05,4.15
66,20.05,0.10,0.05,3.90
67,19.77,0.10,0.05,4.30
68,20.11,0.10,0.05,4.00
69,19.78,0.10,0.05,4.06
70,19.84,0.11,0.05,4.19
71,19.95,0.11,0.05,4.17
72,20.00,0.11,0.05,4.17
73,19.75,0.11,0.06,4.16
74,19.82,0.11,0.06,4.38
75,19.88,0.11,0.06,4.40
76,19.95,0.11,0.06,5.08
77,20.05,0.11,0.06,4.48
78,20.12,0.11,0.06,4.88
79,19.82,0.11,0.06,5.59
80,20.12,0.11,0.06,4.65
81,19.88,0.11,0.06,4.80
82,20.18,0.12,0.06,4.46
83,20.09,0.12,0.06,4.71
84,20.05,0.12,0.06,7.51
85,19.66,0.12,0.06,4.60
86,19.92,0.12,0.06,4.84
87,19.87,0.12,0.06,4.90
88,20.07,0.12,0.06,5.50
89,19.52,0.12,0.07,5.71
90,20.07,0.12,0.07,5.00
91,20.00,0.12,0.07,7.75
92,20.00,0.12,0.07,5.08
93,19.64,0.12,0.07,10.22
94,19.89,0.13,0.07,5.11
95,19.82,0.13,0.07,5.11
96,20.05,0.13,0.07,7.95
97,20.21,0.13,0.07,8.38
98,19.87,0.13,0.07,8.62
99,20.04,0.13,0.07,8.55
100,20.12,0.13,0.07,8.21
101,19.85,0.13,0.07,5.71
102,19.76,0.13,0.07,5.45
103,20.22,0.13,0.07,5.32
104,20.08,0.13,0.07,5.60
105,20.14,0.13,0.08,5.69
106,20.33,0.14,0.08,5.40
107,19.96,0.14,0.08,5.53
108,20.04,0.14,0.08,5.59
109,20.20,0.14,0.08,5.72
110,19.99,0.14,0.08,5.64
111,20.28,0.14,0.08,5.70
112,20.12,0.14,0.08,5.53
113,20.05,0.14,0.08,5.73
114,20.36,0.14,0.08,7.55
115,20.44,0.14,0.08,6.15
116,19.92,0.14,0.08,6.27
117,20.12,0.15,0.08,8.29
118,20.16,0.15,0.08,5.82
119,19.86,0.15,0.08,6.13
120,20.18,0.15,0.08,6.33
121,20.22,0.15,0.09,6.33
122,20.27,0.15,0.09,6.31
123,20.19,0.15,0.09,6.16
124,20.23,0.15,0.09,6.01
125,20.33,0.15,0.09,5.87
126,20.17,0.15,0.09,6.18
127,20.20,0.16,0.09,6.39
128,20.23,0.16,0.09,6.33
129,20.24,0.16,0.09,6.44
130,20.16,0.16,0.09,6.49
131,20.21,0.16,0.09,6.69
132,20.48,0.16,0.09,6.82
133,20.18,0.16,0.09,6.56
134,20.07,0.16,0.09,7.38
135,20.02,0.16,0.09,6.79
136,20.23,0.16,0.09,6.99
137,20.14,0.16,0.10,6.58
138,20.48,0.16,0.10,6.93
139,20.36,0.17,0.10,6.79
140,20.23,0.17,0.10,7.00
141,20.46,0.17,0.10,6.97
142,20.55,0.17,0.10,6.91
143,20.23,0.17,0.10,7.14
144,20.52,0.17,0.10,7.35
145,20.38,0.17,0.10,7.10
146,20.48,0.17,0.10,7.18
147,20.44,0.17,0.10,8.14
148,20.58,0.17,0.10,7.31
149,20.44,0.17,0.10,7.44
150,20.44,0.17,0.10,7.59
151,20.33,0.18,0.10,7.30
152,20.46,0.18,0.10,7.45
153,20.28,0.18,0.11,7.50
154,20.54,0.18,0.11,7.94
155,20.58,0.18,0.11,7.83
156,20.24,0.18,0.11,7.39
157,20.38,0.18,0.11,7.40
158,20.37,0.18,0.11,7.77
159,20.49,0.18,0.11,7.69
160,20.33,0.18,0.11,7.68
161,20.38,0.18,0.11,7.88
162,20.61,0.18,0.11,8.06
