file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0.pnml,19.74,0.05,0.01,0.66
1000.pnml,25.39,2.64,1.46,49.88
1001.pnml,25.27,2.64,1.46,51.72
1002.pnml,25.18,2.64,1.46,49.87
1003.pnml,25.28,2.65,1.46,50.17
1004.pnml,25.28,2.65,1.46,50.69
1005.pnml,25.30,2.65,1.47,63.88
1006.pnml,25.30,2.66,1.47,50.83
1007.pnml,25.29,2.66,1.47,50.56
1008.pnml,25.31,2.66,1.47,50.88
1009.pnml,25.32,2.66,1.47,49.38
100.pnml,20.36,0.18,0.10,4.21
1010.pnml,25.45,2.69,1.48,53.44
1011.pnml,25.32,2.69,1.48,51.31
1012.pnml,25.33,2.69,1.49,49.68
1013.pnml,25.23,2.69,1.49,50.93
1014.pnml,25.34,2.70,1.49,49.68
1015.pnml,25.34,2.70,1.49,50.65
1016.pnml,25.34,2.70,1.49,50.89
1017.pnml,25.35,2.70,1.49,51.27
1018.pnml,25.12,2.71,1.49,50.15
1019.pnml,25.36,2.71,1.49,53.63
101.pnml,20.36,0.18,0.10,4.19
1020.pnml,25.32,2.71,1.50,50.84
1021.pnml,25.37,2.71,1.50,55.77
1022.pnml,25.37,2.71,1.50,51.42
1023.pnml,25.38,2.72,1.50,51.98
1024.pnml,25.38,2.72,1.50,51.44
1025.pnml,25.38,2.72,1.50,51.68
1026.pnml,25.38,2.73,1.51,51.77
1027.pnml,25.39,2.73,1.51,56.77
1028.pnml,25.40,2.73,1.51,52.08
1029.pnml,25.40,2.73,1.51,51.32
102.pnml,20.36,0.18,0.10,4.09
1030.pnml,25.40,2.74,1.51,52.89
1031.pnml,25.37,2.74,1.52,52.55
1032.pnml,25.41,2.74,1.52,56.67
1033.pnml,25.42,2.77,1.53,52.19
1034.pnml,25.40,2.77,1.53,52.85
1035.pnml,25.43,2.77,1.53,52.31
1036.pnml,25.43,2.78,1.53,51.06
1037.pnml,25.43,2.78,1.53,51.50
1038.pnml,25.44,2.78,1.54,59.37
1039.pnml,25.44,2.78,1.54,52.93
103.pnml,20.36,0.18,0.10,4.39
1040.pnml,25.45,2.79,1.54,53.21
1041.pnml,25.45,2.79,1.54,51.46
1042.pnml,25.46,2.79,1.54,52.80
1043.pnml,25.46,2.79,1.54,57.30
1044.pnml,25.47,2.82,1.55,53.32
1045.pnml,25.47,2.82,1.56,52.67
1046.pnml,25.48,2.82,1.56,51.72
1047.pnml,25.48,2.82,1.56,51.24
1048.pnml,25.48,2.83,1.56,53.91
1049.pnml,25.49,2.83,1.56,52.76
104.pnml,20.36,0.18,0.10,4.18
1050.pnml,25.49,2.83,1.56,52.83
1051.pnml,25.49,2.84,1.57,56.08
1052.pnml,25.29,2.84,1.57,53.52
1053.pnml,25.50,2.84,1.57,52.85
1054.pnml,25.50,2.84,1.57,57.03
1055.pnml,25.52,2.85,1.57,54.23
1056.pnml,25.64,2.85,1.57,52.83
1057.pnml,25.53,2.85,1.58,53.43
1058.pnml,25.53,2.86,1.58,61.37
1059.pnml,25.53,2.86,1.58,54.59
105.pnml,20.36,0.18,0.10,4.46
1060.pnml,25.36,2.86,1.58,56.30
1061.pnml,25.54,2.86,1.58,53.69
1062.pnml,25.58,2.87,1.58,53.84
1063.pnml,25.55,2.87,1.58,54.18
1064.pnml,25.55,2.87,1.59,55.18
1065.pnml,25.56,2.90,1.60,55.70
1066.pnml,25.57,2.90,1.60,53.11
1067.pnml,25.57,2.90,1.60,56.26
1068.pnml,25.57,2.90,1.60,62.14
1069.pnml,25.57,2.91,1.61,53.34
106.pnml,20.36,0.19,0.10,4.35
1070.pnml,25.43,2.91,1.61,55.01
1071.pnml,25.43,2.91,1.61,56.53
1072.pnml,25.59,2.92,1.61,55.36
1073.pnml,25.72,2.92,1.61,54.93
1074.pnml,25.59,2.92,1.61,54.09
1075.pnml,25.72,2.92,1.62,56.61
1076.pnml,25.51,2.93,1.62,55.97
1077.pnml,25.61,2.93,1.62,53.98
1078.pnml,25.62,2.93,1.62,55.62
1079.pnml,25.62,2.93,1.62,55.49
107.pnml,20.36,0.19,0.10,4.29
1080.pnml,25.53,2.94,1.62,57.16
1081.pnml,25.63,2.94,1.63,54.78
1082.pnml,25.71,2.95,1.63,54.16
1083.pnml,25.64,2.95,1.63,55.94
1084.pnml,25.64,2.95,1.63,56.08
1085.pnml,25.65,2.95,1.63,58.17
