file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0.pnml,19.18,0.05,0.01,1.00
1000.pnml,25.07,1.01,0.63,56.62
100.pnml,20.12,0.13,0.07,8.21
101.pnml,19.85,0.13,0.07,5.71
102.pnml,19.76,0.13,0.07,5.45
103.pnml,20.22,0.13,0.07,5.32
104.pnml,20.08,0.13,0.07,5.60
105.pnml,20.14,0.13,0.08,5.69
106.pnml,20.33,0.14,0.08,5.40
107.pnml,19.96,0.14,0.08,5.53
108.pnml,20.04,0.14,0.08,5.59
109.pnml,20.20,0.14,0.08,5.72
10.pnml,19.56,0.06,0.02,1.83
110.pnml,19.99,0.14,0.08,5.64
111.pnml,20.28,0.14,0.08,5.70
112.pnml,20.12,0.14,0.08,5.53
113.pnml,20.05,0.14,0.08,5.73
114.pnml,20.36,0.14,0.08,7.55
115.pnml,20.44,0.14,0.08,6.15
116.pnml,19.92,0.14,0.08,6.27
117.pnml,20.12,0.15,0.08,8.29
118.pnml,20.16,0.15,0.08,5.82
119.pnml,19.86,0.15,0.08,6.13
11.pnml,19.57,0.06,0.02,1.87
120.pnml,20.18,0.15,0.08,6.33
121.pnml,20.22,0.15,0.09,6.33
122.pnml,20.27,0.15,0.09,6.31
123.pnml,20.19,0.15,0.09,6.16
124.pnml,20.23,0.15,0.09,6.01
125.pnml,20.33,0.15,0.09,5.87
126.pnml,20.17,0.15,0.09,6.18
127.pnml,20.20,0.16,0.09,6.39
128.pnml,20.23,0.16,0.09,6.33
129.pnml,20.24,0.16,0.09,6.44
12.pnml,19.67,0.06,0.02,1.71
130.pnml,20.16,0.16,0.09,6.49
131.pnml,20.21,0.16,0.09,6.69
132.pnml,20.48,0.16,0.09,6.82
133.pnml,20.18,0.16,0.09,6.56
134.pnml,20.07,0.16,0.09,7.38
135.pnml,20.02,0.16,0.09,6.79
136.pnml,20.23,0.16,0.09,6.99
137.pnml,20.14,0.16,0.10,6.58
138.pnml,20.48,0.16,0.10,6.93
139.pnml,20.36,0.17,0.10,6.79
13.pnml,19.72,0.06,0.02,2.02
140.pnml,20.23,0.17,0.10,7.00
141.pnml,20.46,0.17,0.10,6.97
142.pnml,20.55,0.17,0.10,6.91
143.pnml,20.23,0.17,0.10,7.14
144.pnml,20.52,0.17,0.10,7.35
145.pnml,20.38,0.17,0.10,7.10
146.pnml,20.48,0.17,0.10,7.18
147.pnml,20.44,0.17,0.10,8.14
148.pnml,20.58,0.17,0.10,7.31
149.pnml,20.44,0.17,0.10,7.44
14.pnml,19.77,0.06,0.02,2.15
150.pnml,20.44,0.17,0.10,7.59
151.pnml,20.33,0.18,0.10,7.30
152.pnml,20.46,0.18,0.10,7.45
