file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0.pnml,18.79,0.05,0.01,1.64
1000.pnml,24.71,1.04,0.63,86.03
100.pnml,19.41,0.13,0.07,9.75
101.pnml,19.75,0.14,0.07,11.24
102.pnml,19.51,0.14,0.08,9.93
103.pnml,19.70,0.14,0.08,10.20
104.pnml,19.50,0.14,0.08,12.84
105.pnml,19.79,0.14,0.08,9.86
106.pnml,19.60,0.14,0.08,5.98
107.pnml,19.64,0.14,0.08,4.87
108.pnml,19.57,0.14,0.08,4.98
109.pnml,19.74,0.14,0.08,4.95
10.pnml,19.06,0.06,0.02,1.15
110.pnml,19.74,0.14,0.08,5.83
111.pnml,19.38,0.14,0.08,5.35
112.pnml,19.45,0.14,0.08,5.05
113.pnml,19.66,0.15,0.08,5.32
114.pnml,19.86,0.15,0.08,5.48
115.pnml,19.76,0.15,0.08,5.47
116.pnml,19.39,0.15,0.08,5.54
117.pnml,19.59,0.15,0.08,5.48
118.pnml,19.96,0.15,0.09,5.43
119.pnml,19.79,0.15,0.09,5.64
11.pnml,19.27,0.06,0.02,1.26
120.pnml,19.48,0.15,0.09,5.69
121.pnml,19.68,0.15,0.09,5.60
122.pnml,19.89,0.15,0.09,5.85
123.pnml,19.79,0.16,0.09,5.57
124.pnml,19.86,0.16,0.09,5.69
125.pnml,19.69,0.16,0.09,5.71
126.pnml,19.79,0.16,0.09,5.65
127.pnml,19.87,0.16,0.09,5.87
128.pnml,19.72,0.16,0.09,5.64
129.pnml,19.82,0.16,0.09,5.85
12.pnml,19.27,0.06,0.02,1.26
130.pnml,19.92,0.16,0.09,6.34
131.pnml,19.70,0.16,0.09,6.10
132.pnml,19.70,0.16,0.09,6.49
133.pnml,19.70,0.16,0.09,6.46
134.pnml,19.86,0.16,0.10,6.45
135.pnml,19.46,0.17,0.10,6.25
136.pnml,19.78,0.17,0.10,7.09
137.pnml,19.89,0.17,0.10,6.57
138.pnml,19.49,0.17,0.10,6.40
139.pnml,19.93,0.17,0.10,6.61
13.pnml,19.24,0.06,0.02,1.34
140.pnml,19.73,0.17,0.10,6.49
141.pnml,19.86,0.17,0.10,6.54
142.pnml,19.77,0.17,0.10,6.24
143.pnml,20.10,0.17,0.10,7.91
144.pnml,19.80,0.17,0.10,9.90
145.pnml,19.95,0.17,0.10,6.90
146.pnml,19.91,0.17,0.10,6.69
147.pnml,19.89,0.18,0.10,6.45
