file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0.pnml,19.96,0.05,0.01,1.69
1000.pnml,79.69,14.16,7.27,542.69
100.pnml,25.06,1.41,0.74,57.46
101.pnml,25.48,1.42,0.75,57.61
102.pnml,25.32,1.43,0.76,56.39
103.pnml,24.82,1.45,0.76,55.43
104.pnml,25.45,1.46,0.77,53.83
105.pnml,25.44,1.47,0.78,56.51
106.pnml,25.45,1.49,0.78,58.73
107.pnml,25.80,1.50,0.79,55.87
108.pnml,25.57,1.51,0.80,56.84
109.pnml,25.80,1.53,0.81,57.43
10.pnml,20.11,0.16,0.09,9.16
110.pnml,25.45,1.54,0.81,58.60
111.pnml,25.87,1.55,0.82,62.33
112.pnml,26.01,1.57,0.83,60.23
113.pnml,25.77,1.60,0.84,60.37
114.pnml,26.16,1.62,0.84,59.77
115.pnml,25.64,1.63,0.85,62.15
116.pnml,26.23,1.64,0.86,65.99
117.pnml,25.60,1.65,0.87,66.90
118.pnml,26.02,1.67,0.87,65.82
119.pnml,26.29,1.68,0.88,63.33
11.pnml,20.21,0.17,0.10,9.83
120.pnml,25.79,1.69,0.89,63.21
121.pnml,26.05,1.71,0.89,62.77
122.pnml,26.62,1.72,0.90,64.90
123.pnml,26.73,1.73,0.91,68.25
124.pnml,27.06,1.75,0.92,66.71
125.pnml,27.17,1.76,0.92,67.10
126.pnml,26.79,1.77,0.93,71.86
127.pnml,27.24,1.79,0.94,70.26
128.pnml,26.98,1.80,0.95,64.59
129.pnml,27.24,1.81,0.95,69.75
12.pnml,20.28,0.19,0.10,10.70
130.pnml,27.34,1.83,0.96,67.79
131.pnml,27.64,1.84,0.97,73.12
132.pnml,27.61,1.85,0.97,70.56
133.pnml,27.23,1.86,0.98,75.56
134.pnml,27.55,1.88,0.99,73.57
135.pnml,27.79,1.89,1.00,73.67
136.pnml,27.54,1.90,1.00,77.73
137.pnml,27.95,1.91,1.01,75.11
138.pnml,27.82,1.93,1.02,74.86
139.pnml,27.71,1.94,1.02,71.56
13.pnml,20.11,0.21,0.11,10.44
140.pnml,27.75,1.95,1.03,73.57
141.pnml,27.61,1.97,1.04,77.40
142.pnml,28.08,1.98,1.05,76.27
143.pnml,28.19,2.00,1.05,74.96
144.pnml,28.22,2.01,1.06,76.02
145.pnml,27.99,2.02,1.07,75.45
146.pnml,27.97,2.03,1.08,76.92
147.pnml,28.36,2.05,1.08,83.23
148.pnml,28.43,2.06,1.09,77.93
149.pnml,28.43,2.07,1.10,77.07
14.pnml,20.50,0.22,0.12,10.89
150.pnml,28.36,2.08,1.10,76.38
151.pnml,28.33,2.10,1.11,79.43
152.pnml,28.75,2.11,1.12,80.72
153.pnml,28.51,2.12,1.13,83.70
154.pnml,28.35,2.14,1.13,85.28
155.pnml,28.61,2.15,1.14,84.01
156.pnml,28.90,2.16,1.15,78.95
157.pnml,28.59,2.18,1.15,84.38
158.pnml,28.91,2.19,1.16,82.86
159.pnml,28.67,2.20,1.17,82.84
15.pnml,19.96,0.24,0.13,12.34
160.pnml,28.96,2.22,1.18,89.78
161.pnml,29.08,2.23,1.19,85.77
162.pnml,28.90,2.24,1.19,86.22
163.pnml,29.26,2.26,1.20,83.33
164.pnml,28.91,2.27,1.21,89.51
165.pnml,28.95,2.28,1.21,91.65
166.pnml,28.89,2.29,1.22,90.69
167.pnml,29.41,2.31,1.23,90.11
168.pnml,29.62,2.32,1.24,86.00
169.pnml,29.41,2.33,1.24,88.49
16.pnml,20.59,0.25,0.13,11.82
170.pnml,29.07,2.35,1.25,94.55
171.pnml,28.97,2.36,1.26,90.20
172.pnml,29.12,2.37,1.26,88.76
173.pnml,29.21,2.38,1.27,95.57
174.pnml,29.36,2.40,1.28,94.67
175.pnml,29.21,2.41,1.28,95.43
176.pnml,29.14,2.42,1.29,99.02
177.pnml,29.42,2.44,1.30,97.49
178.pnml,29.57,2.45,1.31,96.63
179.pnml,29.31,2.46,1.31,94.27
17.pnml,20.36,0.26,0.14,12.21
180.pnml,29.82,2.48,1.32,96.29
181.pnml,29.84,2.49,1.33,94.41
182.pnml,29.66,2.50,1.34,98.87
183.pnml,29.90,2.52,1.35,97.06
184.pnml,30.15,2.53,1.35,97.78
185.pnml,30.20,2.54,1.36,98.08
186.pnml,30.25,2.56,1.37,96.40
187.pnml,29.85,2.57,1.37,102.14
188.pnml,30.02,2.58,1.38,100.08
189.pnml,30.39,2.59,1.39,100.22
18.pnml,20.68,0.28,0.15,12.65
190.pnml,30.23,2.61,1.39,99.95
191.pnml,30.40,2.62,1.40,107.55
192.pnml,29.89,2.63,1.41,103.51
193.pnml,30.27,2.65,1.42,101.87
194.pnml,30.18,2.68,1.42,106.04
195.pnml,30.27,2.70,1.43,102.44
196.pnml,30.15,2.71,1.44,107.88
197.pnml,30.07,2.72,1.44,111.09
198.pnml,29.96,2.73,1.45,107.44
199.pnml,30.73,2.75,1.46,104.79
19.pnml,20.86,0.29,0.15,12.91
1.pnml,19.76,0.07,0.02,2.53
200.pnml,30.55,2.76,1.47,106.03
