file_name,mem_usage_mb,time_ms
0,19.20,0.49
1,19.20,0.61
2,19.12,0.78
3,19.32,1.45
4,19.32,1.53
5,19.32,2.26
6,19.45,1.97
7,19.45,2.34
8,19.45,3.58
9,19.57,5.50
10,19.57,5.38
11,19.57,5.41
12,19.70,3.24
13,19.70,6.20
14,19.43,6.42
15,19.57,6.73
16,19.46,7.18
17,19.47,8.13
18,19.58,8.27
19,19.49,8.20
20,19.51,5.76
21,19.52,8.62
22,19.53,9.15
23,19.65,9.60
24,19.56,7.24
25,19.50,7.63
26,19.36,11.80
27,19.79,12.01
28,19.60,12.97
29,19.61,12.90
30,19.62,13.76
31,19.59,13.76
32,19.64,14.43
33,19.66,15.56
34,19.67,19.38
35,19.68,16.58
36,19.68,17.00
37,19.70,17.45
38,19.71,15.79
39,19.71,16.15
40,19.73,19.33
41,19.75,19.59
42,19.60,20.15
43,19.91,20.35
44,19.79,23.14
45,19.81,22.77
46,19.82,22.60
47,19.84,23.49
48,19.79,23.93
49,19.88,24.65
50,19.89,22.77
51,19.90,25.93
52,20.04,27.90
53,19.91,28.41
54,19.91,28.11
55,19.83,28.55
56,19.95,32.21
57,19.95,33.45
58,20.07,35.36
59,19.97,57.87
60,20.07,60.00
61,20.00,33.09
62,20.00,35.08
63,20.02,35.84
64,20.03,44.27
65,20.18,41.06
66,20.06,38.47
67,20.07,39.71
68,20.08,67.01
69,20.09,41.65
70,20.11,43.29
71,20.12,41.35
72,20.13,41.33
73,20.14,46.14
74,22.32,47.55
75,22.20,48.79
76,22.44,48.16
77,22.45,79.84
78,22.57,47.35
79,22.50,79.30
80,22.70,77.83
81,22.70,78.19
82,22.70,81.07
83,22.82,52.79
84,22.82,57.55
85,22.82,54.87
86,22.95,57.38
87,22.95,89.45
88,22.95,60.72
89,22.97,61.11
90,23.07,60.99
91,23.07,65.51
92,23.20,64.07
93,23.20,69.35
94,23.20,66.62
95,23.32,75.04
96,23.32,73.60
97,23.32,73.60
98,23.45,76.81
99,23.44,74.69
100,23.57,74.04
101,23.57,83.55
102,23.57,76.08
103,23.70,76.25
104,23.70,91.93
105,23.82,83.32
106,23.70,81.16
107,23.57,86.56
108,23.82,92.38
109,23.95,92.25
110,23.95,92.01
111,23.95,94.08
112,24.07,101.74
113,24.07,101.13
114,24.20,99.72
115,24.20,98.22
116,24.20,100.83
117,24.20,103.51
118,24.32,103.07
119,24.32,106.53
120,24.57,107.00
121,24.44,107.82
122,24.45,111.23
123,24.57,110.79
124,24.57,113.53
125,24.57,116.56
126,24.70,116.70
127,24.70,119.62
128,24.70,129.03
129,24.82,122.99
130,24.82,121.97
131,24.95,126.63
132,24.95,127.95
133,24.95,129.78
134,25.07,127.03
135,25.07,133.81
136,25.07,134.70
137,25.20,153.51
138,25.20,137.45
139,25.20,135.61
140,25.32,138.11
141,25.20,143.61
142,25.32,146.07
143,25.57,143.05
144,25.45,147.59
145,25.44,149.21
146,25.57,154.99
147,25.57,158.94
148,25.55,157.84
149,25.70,158.17
150,25.70,153.16
151,25.82,161.90
152,25.82,171.43
153,25.82,161.67
154,25.95,172.96
155,25.95,178.45
156,25.95,167.01
157,26.07,176.78
158,26.07,178.86
159,26.07,173.44
160,26.20,175.22
161,26.20,178.57
162,26.20,194.81
163,26.32,189.55
164,26.32,189.71
165,26.32,192.72
166,26.45,195.82
167,26.45,193.30
168,26.36,206.60
169,26.57,196.72
170,26.57,203.64
171,26.57,200.45
172,26.59,206.13
173,26.70,217.75
174,26.82,235.37
175,26.82,224.93
176,26.82,211.59
177,26.95,223.25
178,26.95,221.33
179,26.88,231.56
180,27.07,227.86
181,27.07,244.71
182,27.07,234.94
183,27.20,240.38
184,27.19,232.47
185,27.20,231.14
186,27.32,250.90
187,27.32,251.33
188,27.32,255.95
189,27.45,254.87
190,27.45,248.93
191,27.57,247.22
192,27.57,256.98
193,27.57,262.41
194,27.70,263.93
195,27.45,278.21
196,27.62,275.15
197,27.82,272.67
198,27.75,280.61
199,27.82,289.89
200,27.95,275.07
201,27.75,293.21
202,27.95,278.45
203,28.07,294.17
204,28.07,291.41
205,28.07,295.99
206,28.20,294.77
207,28.20,295.72
208,28.32,302.39
209,28.32,302.95
210,28.32,307.40
211,28.45,317.11
212,28.20,321.01
213,28.45,323.85
214,28.70,326.87
215,28.32,325.89
216,28.57,337.56
217,28.70,329.49
218,28.70,340.63
219,28.70,334.54
220,28.82,337.25
221,28.82,348.15
222,28.70,347.22
223,28.95,330.72
224,28.95,353.46
225,29.07,360.63
226,29.19,358.99
227,29.07,365.36
228,29.20,371.74
229,28.95,354.93
230,29.19,357.10
231,29.32,375.23
232,29.32,380.10
233,29.32,379.08
234,29.45,379.16
235,29.45,385.81
236,29.45,392.35
237,29.57,384.27
238,29.57,404.59
239,29.70,401.45
240,29.70,397.50
241,29.70,392.84
242,29.82,395.61
243,29.82,412.67
244,29.82,416.83
245,29.88,429.20
246,29.95,433.94
247,29.95,422.36
248,30.07,408.48
249,29.88,424.42
250,30.07,444.09
251,30.32,452.40
252,30.20,441.41
253,30.20,439.85
254,30.32,445.26
255,30.32,456.78
256,30.45,463.53
257,30.45,450.99
258,30.36,479.58
259,30.57,485.28
260,30.57,444.68
261,30.57,461.41
262,30.82,488.14
263,30.60,493.43
264,30.70,509.87
265,30.82,485.75
266,30.82,477.59
267,30.82,481.33
268,30.95,476.99
269,31.07,509.49
270,31.07,504.60
271,31.07,517.93
272,30.96,533.47
273,31.19,513.09
274,31.32,497.80
275,31.07,520.66
276,31.32,512.30
277,31.32,523.28
278,31.32,541.70
279,31.32,515.82
280,31.45,553.59
281,31.45,533.32
282,31.57,543.79
283,31.57,543.70
284,31.57,568.68
285,31.70,655.66
286,31.70,557.94
287,31.70,586.51
288,31.57,550.40
289,31.82,559.17
290,32.07,574.47
291,31.95,586.35
292,31.95,690.96
293,32.07,576.07
294,32.07,591.96
295,32.07,596.30
296,32.20,630.21
297,32.20,616.98
298,32.20,626.02
299,32.32,631.57
300,32.45,613.94
301,32.32,615.65
302,32.32,626.12
303,32.45,628.52
304,32.57,637.55
305,32.57,633.64
306,32.57,656.95
307,32.70,630.09
308,32.70,648.57
309,32.70,632.37
310,32.82,638.26
311,32.82,674.46
312,32.95,643.40
313,32.95,668.41
314,32.95,657.21
315,32.95,702.31
316,33.19,865.94
317,33.07,695.92
318,33.07,675.75
319,33.20,692.04
320,33.20,700.96
321,33.20,692.76
322,33.32,717.16
323,33.32,712.31
324,33.45,705.53
325,33.45,720.44
326,33.45,719.35
327,33.57,734.16
328,33.57,711.40
329,33.57,729.24
330,33.70,734.73
331,33.70,751.02
332,33.82,743.97
333,33.82,743.21
334,33.82,748.07
335,33.82,737.81
336,33.82,759.88
337,33.95,803.72
338,33.95,798.31
339,34.07,780.44
340,34.07,804.59
341,34.07,803.14
342,33.95,775.65
343,34.20,779.83
344,34.32,837.37
345,34.32,814.05
346,34.32,819.87
347,34.45,847.06
348,34.45,797.09
349,34.45,848.24
350,34.46,848.20
351,34.57,809.61
352,34.45,822.37
353,34.70,829.50
354,34.82,846.56
355,34.57,847.53
356,34.82,849.73
357,34.82,894.62
358,34.82,872.26
359,34.95,897.24
360,34.95,862.91
361,34.95,870.57
362,35.07,866.86
363,35.07,889.01
364,35.07,892.72
365,35.09,895.57
366,35.20,908.41
367,35.32,897.74
368,35.32,916.65
369,35.32,909.23
370,35.20,911.46
371,35.45,944.41
372,35.57,968.89
373,35.32,969.43
374,35.57,938.77
375,35.57,973.51
376,35.70,917.27
377,35.70,989.46
378,35.82,948.78
379,35.82,1002.93
380,35.82,975.64
381,35.95,1021.91
382,35.70,987.88
383,36.07,989.26
384,36.07,998.20
385,35.95,960.57
386,36.20,999.02
387,36.20,1045.97
388,36.20,1050.59
389,36.32,1045.86
390,36.20,985.27
391,36.32,1062.79
392,36.45,1041.08
393,36.45,1094.13
394,36.45,1032.11
395,36.57,1076.56
396,36.57,1025.33
397,36.57,1080.40
398,36.70,1097.89
399,36.70,1089.23
400,36.48,1087.74
401,36.82,1118.65
402,36.82,1101.65
403,36.94,1124.52
404,36.95,1243.67
405,36.95,1157.44
406,36.95,1138.91
407,37.07,1077.22
408,37.07,1086.28
409,37.20,1175.96
410,37.20,1104.90
411,37.32,1142.16
412,37.32,1138.89
413,37.32,1224.48
414,37.32,1165.38
415,37.45,1158.82
416,37.45,1178.23
417,37.44,1182.41
418,37.57,1180.46
419,37.57,1214.22
420,37.50,1188.06
421,37.70,1193.07
422,37.70,1209.32
423,37.82,1235.69
424,37.82,1190.32
425,37.95,1185.35
426,37.95,1270.20
427,37.95,1215.70
428,37.95,1257.52
429,38.07,1220.21
430,38.12,1262.76
431,38.07,1271.37
432,38.20,1341.29
433,38.32,1250.93
