file_name,mem_usage_mb,peak_mem_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
0,19.87,0.05,0.02,0.04,0.02,0.04,1.63
1,19.87,0.06,0.02,0.04,0.03,0.04,1.36
2,19.87,0.07,0.03,0.04,0.04,0.04,1.65
3,20.12,0.09,0.04,0.04,0.05,0.06,2.13
4,20.00,0.10,0.05,0.05,0.06,0.07,2.40
5,20.12,0.11,0.06,0.06,0.07,0.08,2.93
6,20.12,0.12,0.06,0.07,0.09,0.09,3.26
7,20.25,0.13,0.07,0.08,0.10,0.10,3.77
8,20.00,0.14,0.08,0.09,0.11,0.11,4.20
9,20.24,0.15,0.09,0.10,0.12,0.12,4.69
10,20.37,0.16,0.10,0.11,0.13,0.14,5.08
11,20.38,0.17,0.10,0.11,0.14,0.15,5.73
12,20.50,0.18,0.11,0.12,0.15,0.16,6.11
13,20.37,0.19,0.12,0.13,0.16,0.17,6.73
14,20.62,0.21,0.13,0.14,0.17,0.18,7.23
15,20.62,0.22,0.14,0.15,0.18,0.20,7.72
16,20.75,0.23,0.14,0.16,0.19,0.21,8.19
17,20.75,0.24,0.15,0.17,0.20,0.22,8.86
18,20.87,0.25,0.16,0.18,0.21,0.23,9.37
19,20.62,0.26,0.17,0.19,0.23,0.24,10.14
20,20.87,0.27,0.17,0.19,0.24,0.25,10.72
21,21.00,0.28,0.18,0.20,0.25,0.26,11.53
22,20.88,0.29,0.19,0.21,0.26,0.27,12.00
23,21.12,0.30,0.20,0.22,0.27,0.28,12.69
24,21.12,0.31,0.21,0.23,0.28,0.30,13.32
25,21.25,0.32,0.21,0.24,0.29,0.31,14.19
26,21.24,0.33,0.22,0.25,0.30,0.32,17.54
27,21.24,0.34,0.23,0.26,0.31,0.33,16.81
28,21.38,0.35,0.24,0.27,0.32,0.35,17.61
29,21.38,0.36,0.25,0.27,0.33,0.36,18.44
30,21.62,0.37,0.25,0.28,0.34,0.37,19.04
31,21.62,0.38,0.26,0.29,0.35,0.38,19.80
32,21.62,0.40,0.27,0.30,0.36,0.39,20.89
33,21.75,0.41,0.28,0.31,0.37,0.41,21.16
