file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
0,19.73,0.05,0.01,1.80
1,19.86,0.06,0.02,1.92
2,19.86,0.08,0.03,2.45
3,19.98,0.09,0.04,2.76
4,19.98,0.10,0.04,3.04
5,20.10,0.11,0.05,3.76
6,20.11,0.12,0.06,3.81
7,20.23,0.13,0.07,4.19
8,20.23,0.14,0.07,4.82
9,20.36,0.15,0.08,5.13
10,20.36,0.17,0.09,5.52
11,20.35,0.18,0.10,7.62
12,20.48,0.20,0.10,9.22
13,20.48,0.21,0.11,7.07
14,20.61,0.23,0.12,9.79
15,20.73,0.24,0.13,10.39
16,20.73,0.26,0.14,10.04
17,20.73,0.27,0.14,11.17
18,20.86,0.29,0.15,11.80
19,20.86,0.30,0.16,11.51
20,20.98,0.31,0.17,11.87
21,20.98,0.33,0.17,12.75
22,21.11,0.34,0.18,15.52
23,21.11,0.35,0.19,15.88
24,21.23,0.37,0.20,16.00
25,21.23,0.38,0.20,15.42
26,21.36,0.40,0.21,15.59
27,21.36,0.41,0.22,16.88
28,21.36,0.43,0.23,19.89
29,21.48,0.45,0.23,16.71
30,21.61,0.46,0.24,17.26
31,21.86,0.47,0.25,16.41
32,21.73,0.49,0.26,18.32
33,21.73,0.50,0.26,19.28
34,21.86,0.51,0.27,19.54
35,21.48,0.53,0.28,18.93
36,21.98,0.54,0.29,18.57
37,21.98,0.55,0.29,18.90
38,21.86,0.57,0.30,19.73
39,22.11,0.58,0.31,20.70
40,22.11,0.59,0.32,20.37
41,21.98,0.61,0.32,20.95
42,22.23,0.62,0.33,21.35
43,22.35,0.64,0.34,22.03
44,22.36,0.65,0.35,22.00
45,22.48,0.66,0.35,22.21
46,22.48,0.68,0.36,23.18
47,22.36,0.69,0.37,23.77
48,22.73,0.71,0.38,23.38
49,22.73,0.72,0.38,24.11
50,22.73,0.76,0.39,24.42
51,22.73,0.77,0.40,25.15
52,22.86,0.79,0.41,24.94
53,22.86,0.80,0.41,26.01
54,22.98,0.82,0.42,26.15
55,22.98,0.83,0.43,25.63
56,23.11,0.85,0.44,26.40
57,23.11,0.87,0.44,23.41
58,23.19,0.88,0.45,30.89
59,23.23,0.90,0.46,25.61
60,23.36,0.91,0.47,27.36
61,23.61,0.92,0.47,32.35
62,23.50,0.94,0.48,27.80
63,23.73,0.95,0.49,26.10
64,23.73,0.96,0.50,30.04
65,23.73,0.98,0.50,29.05
66,23.86,0.99,0.51,30.65
67,23.86,1.00,0.52,29.91
68,23.98,1.02,0.53,31.14
69,23.98,1.03,0.54,30.90
70,23.98,1.05,0.54,31.47
71,24.11,1.06,0.55,31.83
72,24.11,1.07,0.56,32.51
73,24.11,1.09,0.56,31.59
74,24.23,1.10,0.57,32.37
75,24.23,1.11,0.58,32.66
76,24.36,1.13,0.59,33.77
77,24.36,1.14,0.60,34.51
78,24.48,1.16,0.60,34.48
79,24.48,1.17,0.61,34.99
80,24.73,1.18,0.62,35.61
81,24.48,1.20,0.63,34.90
82,24.61,1.21,0.63,36.41
83,24.73,1.22,0.64,36.58
84,24.59,1.24,0.65,36.97
85,24.64,1.25,0.66,39.50
86,24.69,1.26,0.66,37.35
87,24.73,1.28,0.67,38.12
88,24.79,1.29,0.68,37.50
89,24.82,1.31,0.69,37.79
90,24.87,1.32,0.69,38.58
91,24.92,1.33,0.70,39.97
92,24.76,1.35,0.71,40.45
93,25.01,1.36,0.72,40.97
94,25.05,1.37,0.72,41.60
95,25.11,1.39,0.73,41.39
96,25.27,1.40,0.74,41.32
97,25.33,1.43,0.75,41.08
98,25.38,1.44,0.75,41.45
99,25.54,1.45,0.76,41.50
100,25.24,1.47,0.77,44.27
101,25.50,1.48,0.78,54.24
102,25.55,1.49,0.78,43.98
103,25.60,1.51,0.79,46.84
104,25.62,1.52,0.80,45.14
105,25.69,1.53,0.81,46.28
106,25.86,1.55,0.81,48.40
107,25.78,1.56,0.82,46.71
108,25.95,1.58,0.83,48.32
109,26.00,1.59,0.84,49.62
110,26.16,1.60,0.84,48.41
111,26.10,1.62,0.85,47.12
112,26.15,1.63,0.86,48.18
113,26.13,1.67,0.87,48.35
114,26.23,1.68,0.88,49.09
115,26.30,1.70,0.88,48.97
116,26.33,1.71,0.89,51.10
117,26.38,1.72,0.90,50.60
118,26.43,1.74,0.90,54.60
119,26.45,1.75,0.91,49.19
120,26.53,1.76,0.92,52.84
121,26.49,1.78,0.93,47.54
122,26.75,1.79,0.94,51.15
123,27.14,1.81,0.94,61.29
124,27.32,1.82,0.95,53.25
125,27.36,1.83,0.96,52.06
126,27.39,1.85,0.97,61.57
127,27.35,1.86,0.97,60.23
128,27.57,1.87,0.98,58.95
129,27.60,1.89,0.99,57.16
130,27.63,1.90,1.00,62.99
131,27.43,1.91,1.00,60.74
132,27.53,1.93,1.01,61.29
133,27.87,1.94,1.02,64.15
134,27.89,1.95,1.03,64.54
135,27.93,1.97,1.03,62.41
136,27.95,1.98,1.04,59.16
137,27.98,2.00,1.05,63.46
138,28.14,2.01,1.06,60.88
139,28.08,2.02,1.06,56.87
140,28.21,2.04,1.07,63.55
141,28.24,2.05,1.08,61.33
142,28.40,2.07,1.09,64.89
143,28.43,2.08,1.09,63.07
144,28.47,2.09,1.10,64.40
145,28.51,2.11,1.11,68.08
146,28.52,2.12,1.12,64.90
147,28.56,2.13,1.12,66.28
148,28.72,2.15,1.13,62.83
149,28.75,2.16,1.14,67.58
150,28.78,2.17,1.15,67.15
151,28.81,2.19,1.15,67.36
152,28.84,2.20,1.16,70.59
153,28.90,2.21,1.17,66.51
154,29.03,2.23,1.18,64.68
155,29.07,2.24,1.18,62.21
156,29.06,2.25,1.19,65.85
157,29.07,2.27,1.20,64.11
158,29.29,2.28,1.21,65.79
159,29.33,2.30,1.22,65.19
160,29.35,2.31,1.22,68.53
161,29.50,2.33,1.23,66.44
162,29.42,2.34,1.24,69.54
163,29.57,2.35,1.25,67.80
164,29.61,2.37,1.25,66.04
165,29.65,2.38,1.26,69.88
166,29.80,2.39,1.27,69.36
167,29.55,2.41,1.27,67.17
168,29.86,2.42,1.28,69.92
169,29.89,2.43,1.29,74.44
170,29.46,2.45,1.30,69.92
171,29.51,2.46,1.30,71.03
172,29.55,2.47,1.31,69.39
173,29.60,2.49,1.32,71.78
174,29.64,2.50,1.33,74.41
175,29.69,2.51,1.33,77.48
176,29.74,2.53,1.34,71.18
177,29.79,2.54,1.35,76.14
178,29.83,2.56,1.36,74.64
179,29.88,2.57,1.36,72.93
180,29.94,2.58,1.37,74.80
181,29.99,2.60,1.38,76.05
182,30.09,2.61,1.39,77.10
183,30.19,2.63,1.40,77.37
184,30.36,2.64,1.40,76.60
185,30.29,2.65,1.41,75.12
186,30.29,2.67,1.42,80.76
187,30.38,2.68,1.43,76.62
188,30.36,2.69,1.43,77.01
189,30.47,2.71,1.44,77.38
190,30.51,2.72,1.45,81.63
191,30.57,2.73,1.46,80.29
192,30.43,2.75,1.46,78.06
193,30.78,2.76,1.47,79.69
194,30.82,2.80,1.48,81.11
195,30.87,2.81,1.48,79.53
196,30.91,2.82,1.49,81.37
197,30.81,2.84,1.50,81.66
198,31.01,2.85,1.51,83.09
199,31.05,2.86,1.51,82.99
200,31.10,2.88,1.52,79.71
201,31.14,2.89,1.53,78.50
202,31.22,2.91,1.54,89.28
203,31.26,2.92,1.55,82.66
204,30.89,3.03,1.56,84.61
205,31.47,3.04,1.56,83.60
206,31.50,3.06,1.57,91.53
207,31.31,3.07,1.58,90.12
208,31.59,3.09,1.59,84.65
209,31.64,3.10,1.59,87.60
210,31.69,3.11,1.60,88.37
211,31.68,3.12,1.61,85.39
212,31.78,3.14,1.61,86.80
213,31.83,3.15,1.62,83.46
214,31.87,3.16,1.63,85.58
215,31.92,3.18,1.64,87.83
216,32.09,3.19,1.64,87.63
217,32.13,3.20,1.65,94.84
218,32.09,3.22,1.66,89.22
219,32.22,3.23,1.67,93.03
220,32.27,3.24,1.67,91.54
221,32.31,3.26,1.68,93.35
222,32.36,3.27,1.69,88.80
223,32.41,3.29,1.70,93.74
224,32.46,3.30,1.70,92.45
225,32.51,3.31,1.71,96.76
226,32.55,3.33,1.72,93.16
227,32.60,3.39,1.73,92.81
228,32.67,3.41,1.74,91.50
229,32.84,3.42,1.74,98.08
230,32.88,3.44,1.75,94.37
231,32.73,3.45,1.76,99.29
232,33.08,3.46,1.77,93.67
233,33.00,3.48,1.77,99.30
234,33.05,3.49,1.78,95.70
235,32.91,3.50,1.79,97.32
236,33.14,3.52,1.80,94.27
237,33.07,3.53,1.80,94.66
238,33.23,3.54,1.81,101.06
239,33.28,3.56,1.82,97.40
240,33.32,3.57,1.83,97.35
241,33.38,3.58,1.83,98.17
242,33.50,3.60,1.84,98.69
243,33.61,3.61,1.85,99.67
244,33.66,3.62,1.86,101.52
245,33.70,3.64,1.86,97.20
246,33.59,3.65,1.87,101.38
247,34.80,3.66,1.88,98.78
248,34.84,3.68,1.88,103.17
249,34.87,3.69,1.89,100.31
250,34.91,3.70,1.90,104.55
251,35.06,3.72,1.91,110.32
252,35.09,3.73,1.91,101.11
253,35.12,3.74,1.92,98.87
254,35.16,3.76,1.93,109.70
255,35.19,3.77,1.94,100.99
256,35.35,3.79,1.95,107.64
257,35.20,3.80,1.96,114.68
258,35.54,3.82,1.96,109.12
259,35.45,3.83,1.97,105.40
260,35.49,3.84,1.98,109.44
261,35.65,3.86,1.99,106.00
262,35.47,3.87,1.99,114.57
263,35.72,3.89,2.00,113.66
264,35.76,3.90,2.01,106.12
265,35.76,3.91,2.02,106.36
266,35.92,3.93,2.02,117.84
267,35.96,3.94,2.03,111.29
268,35.98,3.95,2.04,114.73
269,36.02,3.97,2.05,106.48
270,36.18,3.98,2.05,112.27
271,36.07,3.99,2.06,110.17
272,36.24,4.01,2.07,110.39
273,36.27,4.02,2.07,110.29
274,36.30,4.03,2.08,114.35
275,36.16,4.04,2.09,115.50
276,36.27,4.06,2.10,117.29
277,36.52,4.07,2.10,111.90
278,36.55,4.08,2.11,108.88
279,36.59,4.10,2.12,113.66
280,36.75,4.11,2.13,112.75
281,36.65,4.12,2.13,113.44
282,36.93,4.14,2.14,112.36
283,36.84,4.15,2.15,113.50
284,36.76,4.17,2.16,114.51
285,36.91,4.18,2.16,123.90
286,36.95,4.19,2.17,113.73
287,36.99,4.21,2.18,121.65
288,37.15,4.22,2.19,120.58
289,37.15,4.24,2.19,135.24
290,37.20,4.25,2.21,115.17
291,37.32,4.27,2.21,120.65
292,37.18,4.28,2.22,123.89
293,37.34,4.29,2.23,120.53
294,37.45,4.31,2.23,119.88
295,37.45,4.32,2.24,123.85
296,37.51,4.33,2.25,122.28
297,37.63,4.35,2.26,116.54
298,37.70,4.36,2.27,122.12
299,37.73,4.38,2.27,122.60
