file_name,mem_usage_mb,time_ms
0,19.07,0.47
1,19.07,0.42
2,19.20,0.51
3,19.20,0.63
4,19.20,0.78
5,19.20,0.81
6,19.32,0.81
7,19.32,0.95
8,19.45,1.07
9,19.32,1.01
10,19.32,1.10
11,19.20,1.36
12,19.32,1.45
13,19.45,1.47
14,19.45,1.56
15,19.45,2.29
16,19.45,1.72
17,19.45,1.96
18,19.57,2.01
19,19.57,2.04
20,19.57,2.23
21,19.57,2.55
22,19.57,2.68
23,19.57,2.85
24,19.69,2.95
25,19.70,3.63
26,19.70,3.15
27,19.70,3.28
28,19.43,3.53
29,19.43,3.76
30,19.44,3.79
31,19.45,4.03
32,19.45,4.16
33,19.46,5.06
34,19.46,4.68
35,19.46,4.75
36,19.47,5.25
37,19.48,5.12
38,19.49,5.72
39,19.49,6.25
40,19.49,6.07
41,19.50,6.41
42,19.51,6.29
43,19.27,6.62
44,19.53,7.40
45,19.53,6.89
46,19.54,7.25
47,19.54,7.41
48,19.55,7.81
49,19.55,8.22
50,19.56,8.53
51,19.35,8.66
52,19.69,10.30
53,19.57,10.93
54,19.70,12.17
55,19.59,12.01
56,19.59,13.03
57,19.60,14.72
58,19.61,13.36
59,19.61,13.89
60,19.62,13.12
61,19.62,14.41
62,19.75,15.09
63,19.64,15.36
64,19.64,14.82
65,19.64,14.26
66,19.65,15.50
67,19.66,16.52
68,19.66,16.96
69,19.81,17.30
70,19.68,18.05
71,19.70,16.48
72,19.70,18.88
73,19.70,17.96
74,19.70,19.61
75,19.69,19.62
76,19.85,18.61
77,19.82,19.14
78,19.82,19.78
79,19.83,19.60
80,19.83,21.08
81,19.83,22.95
82,19.84,21.25
83,19.85,20.98
84,19.63,25.81
85,19.86,24.87
86,19.87,22.43
87,19.89,27.67
88,19.89,24.25
89,19.90,24.69
90,19.90,25.17
91,19.91,27.08
92,19.92,26.48
93,20.05,25.55
94,19.94,26.91
95,19.72,26.33
96,19.94,27.51
97,19.96,27.69
98,19.76,28.52
99,19.97,30.37
100,19.98,28.50
101,19.99,30.38
102,19.99,29.60
103,19.99,30.00
104,20.00,32.26
105,20.02,32.49
106,20.08,32.05
107,20.03,33.36
108,20.02,31.97
109,20.04,34.07
110,19.95,33.92
111,20.06,34.09
112,20.06,35.40
113,20.07,36.82
114,20.21,37.87
115,20.08,37.65
116,20.09,38.07
117,20.10,39.54
118,20.11,38.90
119,20.11,41.00
120,20.13,41.94
121,20.00,42.77
122,20.14,42.06
123,20.14,42.12
124,20.15,42.50
125,20.16,44.24
126,20.16,44.40
127,20.17,44.49
128,20.18,46.00
129,20.19,51.68
130,20.16,46.03
131,19.98,49.31
132,20.18,46.96
133,20.33,48.71
134,20.22,48.04
135,20.16,50.81
136,20.23,48.40
137,20.24,50.81
138,20.25,50.78
139,20.25,53.39
140,20.26,51.75
141,20.22,52.87
142,20.40,53.36
143,20.28,56.64
144,20.18,53.69
145,20.30,55.65
146,20.30,58.49
147,20.31,60.62
148,20.11,61.10
149,20.32,59.18
150,20.33,57.74
151,20.34,61.63
152,20.35,61.89
153,20.35,63.80
154,20.25,60.08
155,20.37,61.65
156,20.37,63.69
157,20.38,63.93
158,20.38,65.97
159,20.39,70.69
160,20.40,70.24
161,20.64,72.74
162,20.41,66.37
163,20.42,72.56
164,20.51,75.86
165,20.43,71.76
166,20.44,78.85
167,22.82,74.31
168,22.95,72.58
169,22.94,69.70
170,22.95,75.74
171,22.95,76.18
172,22.95,78.37
173,23.07,79.48
174,23.07,80.03
175,22.95,77.72
176,23.07,78.94
177,23.07,85.14
178,23.08,79.83
179,23.20,83.66
180,23.20,79.86
181,23.20,84.68
182,23.20,88.18
183,23.20,88.29
184,23.32,87.62
185,23.32,84.76
186,23.32,85.48
187,23.32,89.90
188,23.33,89.09
189,23.32,89.50
190,23.45,91.47
191,23.33,91.91
192,23.45,89.29
193,23.45,98.04
194,23.45,93.57
195,23.57,95.70
196,23.47,95.89
197,23.57,100.96
198,23.57,98.09
199,23.57,96.90
200,23.70,100.54
201,23.70,102.34
202,23.70,108.27
203,23.70,102.77
204,23.70,101.48
205,23.70,105.71
206,23.82,105.49
207,23.82,108.04
208,23.82,105.68
209,23.82,108.14
210,23.82,109.88
211,23.82,110.87
212,23.95,111.78
213,23.95,115.90
214,23.95,128.46
215,24.07,114.18
216,23.95,113.83
217,24.07,114.79
218,24.07,115.06
219,24.07,149.77
220,24.07,116.95
221,24.07,117.65
222,24.07,124.04
223,24.20,123.39
224,24.20,123.32
225,24.20,121.91
226,24.19,131.76
227,24.20,123.76
228,24.32,134.21
229,24.32,127.36
230,24.32,130.00
231,24.32,131.69
232,24.32,141.84
233,24.32,137.67
234,24.45,133.17
235,24.45,142.28
236,24.45,144.82
237,24.45,138.95
238,24.45,147.58
239,24.50,138.80
240,24.57,140.43
241,24.57,146.06
242,24.57,148.21
243,24.57,149.15
244,24.70,148.12
245,24.70,142.81
246,24.70,155.38
247,24.70,147.03
248,24.70,160.18
