file_name,mem_usage_mb,time_ms
0,19.45,0.49
1,19.20,0.16
2,19.32,0.88
3,19.33,0.19
4,19.32,0.17
5,19.32,0.16
6,19.20,0.16
7,19.32,0.23
8,19.45,0.17
9,19.44,0.26
10,19.37,0.17
11,19.45,0.30
12,19.45,0.27
13,19.44,0.21
14,19.57,0.18
15,19.45,0.40
16,19.57,0.25
17,19.57,0.27
18,19.57,0.26
19,19.70,0.19
20,19.48,0.35
21,19.41,0.39
22,19.49,0.36
23,19.50,0.23
24,19.50,0.32
25,19.50,0.23
26,19.52,0.23
27,19.39,0.22
28,19.52,0.24
29,19.53,0.97
30,19.54,0.26
31,19.54,0.24
32,19.54,0.23
33,19.45,0.37
34,19.34,0.41
35,19.59,0.36
36,19.59,0.26
37,19.59,0.29
38,19.60,0.47
39,19.60,0.27
40,19.61,0.29
41,19.48,0.37
42,19.61,0.43
43,19.62,0.28
44,19.62,0.50
45,19.49,0.31
46,19.64,0.31
47,19.64,0.28
48,19.64,0.45
49,19.65,0.29
50,19.53,0.27
51,19.66,0.57
52,19.66,0.62
53,19.67,0.53
54,19.55,0.30
55,19.68,0.59
56,19.68,0.31
57,19.69,0.29
58,19.57,0.33
59,19.57,0.63
60,19.71,0.30
61,19.70,0.31
62,19.71,0.61
63,19.71,0.32
64,19.72,0.42
65,19.72,0.73
66,19.73,0.36
67,19.73,0.60
68,19.62,0.56
69,19.75,0.58
70,19.75,0.53
71,19.75,0.40
72,19.76,0.40
73,19.76,0.42
74,19.77,0.41
75,19.65,0.71
76,20.82,0.31
77,20.82,0.35
78,20.95,0.32
79,20.95,0.34
80,20.95,0.34
81,20.95,0.38
82,20.88,0.34
83,20.95,0.33
84,21.07,0.33
85,21.07,0.42
86,21.07,0.34
87,19.90,0.68
88,19.91,0.45
89,19.79,0.41
90,19.92,1.13
91,19.93,0.48
92,19.93,0.46
93,19.94,0.43
94,19.94,0.44
95,19.95,0.45
96,19.95,0.47
97,19.96,0.46
98,19.84,0.46
99,19.96,0.49
100,19.98,0.50
101,19.98,0.96
102,19.98,0.47
103,20.00,0.46
104,19.87,0.43
105,20.01,0.48
106,20.02,0.86
107,19.89,0.53
108,20.03,0.69
109,20.04,0.55
110,20.04,0.49
111,20.05,0.58
112,20.05,0.49
113,19.93,0.48
114,20.00,0.53
115,20.07,0.53
116,20.08,0.51
117,19.96,0.51
118,20.09,0.92
119,19.97,0.54
120,19.98,0.49
121,20.05,0.52
122,19.98,0.54
123,20.04,0.49
124,20.12,0.57
125,20.13,0.54
126,20.01,0.74
127,20.07,0.55
128,20.15,0.63
129,20.03,0.52
130,20.04,0.58
131,20.16,0.98
132,20.17,0.53
133,20.17,0.58
134,20.19,0.75
135,20.06,0.56
136,20.20,0.95
137,20.21,0.56
138,20.09,0.76
139,20.21,0.59
140,20.23,0.55
141,20.10,0.96
142,20.24,0.58
143,20.12,0.60
144,20.25,1.21
145,20.13,0.58
146,20.13,1.13
147,20.14,0.67
148,20.28,0.62
149,20.28,0.71
150,20.16,0.60
151,20.29,1.09
152,20.17,0.61
153,20.18,0.62
154,20.31,0.63
155,20.32,0.63
156,20.32,0.61
157,20.32,1.20
158,20.20,0.72
159,20.34,0.64
160,20.54,0.72
161,20.35,0.64
162,20.23,0.63
163,20.36,0.87
164,20.36,0.69
165,20.37,0.63
166,20.38,0.66
167,22.82,0.98
168,22.57,0.57
169,22.70,0.59
170,22.70,0.56
171,22.95,0.57
172,22.95,0.57
173,22.95,0.59
174,22.82,0.59
175,23.00,0.58
176,22.95,0.58
177,22.95,0.59
178,22.81,0.63
179,22.95,0.60
180,23.07,0.58
181,23.07,0.58
182,22.99,0.63
183,23.07,1.11
184,23.20,1.14
185,23.20,0.85
186,23.00,0.93
187,23.20,1.11
188,23.32,0.64
189,23.32,0.68
190,23.32,1.15
191,23.08,0.62
192,23.21,0.63
193,23.32,0.62
194,23.45,0.62
195,23.45,0.62
196,23.45,0.62
197,23.45,0.67
198,23.45,0.63
199,23.45,0.65
200,23.45,0.64
201,23.57,1.23
202,23.45,1.03
203,23.57,1.07
204,23.45,1.10
205,23.57,0.81
206,23.70,0.66
207,23.48,0.88
208,23.70,0.69
209,23.57,0.69
210,23.70,1.07
211,23.70,1.04
212,23.70,0.71
213,23.82,0.71
214,23.82,0.67
215,23.82,0.70
216,23.70,0.69
217,23.83,0.66
218,23.95,0.73
219,23.82,1.32
220,23.81,0.68
221,23.95,0.77
222,23.95,0.73
223,24.07,0.68
224,24.07,0.90
225,24.07,1.64
226,24.07,0.73
227,24.07,0.71
228,24.07,0.85
229,24.20,0.78
230,24.20,0.77
231,24.07,0.71
232,24.07,0.94
233,24.20,0.77
234,24.20,0.75
235,24.20,0.73
236,24.32,0.72
237,24.32,0.74
238,24.32,1.32
239,24.32,0.78
240,24.32,0.96
241,24.25,0.77
242,24.45,0.74
243,24.45,0.76
244,24.45,0.74
245,24.45,0.78
246,24.57,0.83
247,24.32,0.79
248,24.70,0.76
249,24.45,1.44
250,24.57,1.22
251,24.57,0.77
252,24.57,1.27
253,24.57,0.80
254,24.70,0.79
255,24.50,0.94
256,24.70,0.79
257,24.82,1.55
258,24.82,0.78
259,24.95,1.66
260,24.82,1.13
261,24.59,0.84
262,24.70,0.81
263,24.95,1.12
264,24.95,0.83
265,24.95,0.85
266,24.82,0.81
267,24.95,0.82
268,24.95,0.80
269,25.07,0.84
270,25.07,0.98
271,25.07,0.81
272,24.95,1.23
273,24.95,0.92
274,24.95,0.84
275,25.20,0.86
276,25.07,0.84
277,25.07,0.89
278,25.07,1.62
279,25.20,0.84
280,25.20,0.88
281,25.20,0.85
282,25.20,0.90
283,25.20,0.85
284,25.32,0.84
285,25.32,0.88
286,25.20,0.88
287,25.32,1.20
288,25.45,0.87
289,25.45,0.90
290,25.36,0.95
291,25.45,0.88
292,25.57,0.89
293,25.57,0.87
294,25.32,0.95
295,25.57,0.90
296,25.70,0.93
297,25.57,1.04
298,25.70,1.52
299,25.57,0.89
300,25.70,0.89
301,25.50,0.90
302,25.70,0.91
303,25.70,0.98
304,25.82,0.89
305,25.70,0.94
306,25.95,0.94
307,25.82,1.20
308,25.70,1.48
309,25.82,0.99
310,25.95,0.99
311,25.82,1.04
312,25.95,0.98
313,25.82,0.97
314,25.95,1.03
315,25.95,0.96
316,26.07,0.95
317,26.07,0.99
318,26.07,0.94
319,25.95,1.01
320,26.07,1.24
321,26.07,1.69
322,26.20,1.01
323,26.09,1.09
324,26.20,1.17
325,26.20,1.00
326,26.20,1.10
327,26.20,0.97
328,26.32,1.08
329,26.32,1.00
330,26.32,1.02
331,26.32,1.07
332,26.20,1.13
333,26.45,1.07
334,26.45,1.06
335,26.45,1.74
336,26.45,1.10
337,26.45,1.10
338,26.45,1.06
339,26.38,1.10
340,26.57,1.65
341,26.57,1.05
342,26.57,1.03
343,26.57,1.08
344,26.57,1.09
345,26.82,1.15
346,26.57,1.08
347,26.70,1.05
348,26.70,1.11
349,26.70,1.27
350,26.70,1.19
351,26.50,1.09
352,26.70,1.15
353,26.82,2.49
354,26.82,1.12
355,26.70,1.15
356,26.95,1.21
357,26.82,2.12
358,26.95,1.18
359,26.95,1.99
360,26.95,1.47
361,26.82,1.19
362,27.07,1.40
363,27.07,3.14
364,26.95,2.12
365,27.07,1.36
366,27.07,1.34
367,27.07,1.99
368,27.20,1.09
369,27.20,1.13
370,27.20,1.17
371,27.20,1.12
372,27.07,2.15
373,27.25,1.38
374,27.32,1.85
375,27.11,1.14
376,27.32,1.12
377,27.20,2.40
378,27.32,1.15
379,27.32,1.15
380,27.45,1.16
381,27.45,1.84
382,27.32,1.34
383,27.38,1.15
384,27.32,1.17
385,27.57,2.24
386,27.45,1.89
387,27.45,1.24
388,27.57,1.18
389,27.45,2.17
390,27.45,1.42
391,27.70,2.72
392,27.70,1.14
393,27.57,1.86
394,27.70,2.40
395,27.70,1.37
396,27.70,1.26
397,27.82,1.68
398,27.62,2.40
399,27.70,1.25
400,27.82,1.39
401,27.80,1.60
402,27.82,1.28
403,27.95,3.46
404,27.82,1.20
405,27.95,1.60
406,27.82,1.31
407,27.95,1.75
408,28.07,1.81
409,27.82,1.47
410,27.95,2.15
411,28.07,1.22
412,28.07,2.84
413,27.95,1.28
414,28.20,2.32
415,28.19,1.74
416,28.20,1.59
417,28.20,1.45
418,28.20,1.56
419,28.20,1.33
420,28.32,2.33
421,28.32,1.24
422,28.20,3.02
423,28.32,1.40
424,28.32,1.29
425,28.32,3.23
426,28.32,1.37
427,28.45,1.27
428,28.12,2.14
429,28.45,2.67
430,28.45,1.82
