file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
0.pnml,19.73,0.05,0.01,,,,,0.98
100.pnml,25.46,1.47,0.77,,,,,42.94
101.pnml,25.50,1.48,0.78,,,,,44.64
102.pnml,25.34,1.49,0.78,,,,,40.96
103.pnml,25.60,1.51,0.79,,,,,42.02
104.pnml,25.64,1.52,0.80,,,,,43.80
105.pnml,25.82,1.53,0.81,,,,,44.18
106.pnml,25.74,1.55,0.81,,,,,46.67
107.pnml,25.79,1.56,0.82,,,,,50.29
108.pnml,25.82,1.58,0.83,,,,,47.97
109.pnml,25.86,1.59,0.84,,,,,46.88
10.pnml,20.36,0.17,0.09,,,,,5.03
110.pnml,25.96,1.60,0.84,,,,,45.16
111.pnml,26.10,1.62,0.85,,,,,48.87
112.pnml,26.15,1.63,0.86,,,,,48.12
113.pnml,26.19,1.67,0.87,,,,,49.66
114.pnml,26.25,1.68,0.88,,,,,50.21
115.pnml,26.30,1.70,0.88,,,,,53.02
116.pnml,26.33,1.71,0.89,,,,,50.10
117.pnml,26.38,1.72,0.90,,,,,50.98
118.pnml,26.44,1.74,0.90,,,,,48.01
119.pnml,26.49,1.75,0.91,,,,,49.65
11.pnml,20.36,0.18,0.10,,,,,8.91
120.pnml,26.53,1.76,0.92,,,,,53.52
121.pnml,26.59,1.78,0.93,,,,,51.00
122.pnml,26.62,1.79,0.94,,,,,52.75
123.pnml,27.29,1.81,0.94,,,,,54.71
124.pnml,27.32,1.82,0.95,,,,,53.79
125.pnml,27.35,1.83,0.96,,,,,55.56
126.pnml,27.38,1.85,0.97,,,,,54.98
127.pnml,27.43,1.86,0.97,,,,,55.86
128.pnml,27.58,1.87,0.98,,,,,55.20
129.pnml,27.60,1.89,0.99,,,,,55.75
12.pnml,20.48,0.20,0.10,,,,,9.09
130.pnml,27.64,1.90,1.00,,,,,53.46
131.pnml,27.67,1.91,1.00,,,,,57.01
132.pnml,27.71,1.93,1.01,,,,,55.67
133.pnml,27.87,1.94,1.02,,,,,63.74
134.pnml,27.80,1.95,1.03,,,,,71.60
135.pnml,27.92,1.97,1.03,,,,,70.87
136.pnml,27.95,1.98,1.04,,,,,69.91
137.pnml,27.98,2.00,1.05,,,,,64.38
138.pnml,28.09,2.01,1.06,,,,,66.10
139.pnml,27.98,2.02,1.06,,,,,59.19
13.pnml,20.48,0.21,0.11,,,,,9.18
140.pnml,28.21,2.04,1.07,,,,,62.71
141.pnml,28.24,2.05,1.08,,,,,67.01
142.pnml,28.36,2.07,1.09,,,,,65.86
143.pnml,28.44,2.08,1.09,,,,,66.18
144.pnml,28.43,2.09,1.10,,,,,66.47
145.pnml,28.50,2.11,1.11,,,,,64.87
146.pnml,28.31,2.12,1.12,,,,,71.62
147.pnml,28.32,2.13,1.12,,,,,77.58
148.pnml,28.72,2.15,1.13,,,,,61.76
149.pnml,28.75,2.16,1.14,,,,,68.20
14.pnml,20.61,0.23,0.12,,,,,9.98
150.pnml,28.79,2.17,1.15,,,,,82.26
151.pnml,28.75,2.19,1.15,,,,,77.89
152.pnml,28.84,2.20,1.16,,,,,71.97
153.pnml,29.00,2.21,1.17,,,,,71.58
154.pnml,28.82,2.23,1.18,,,,,66.33
155.pnml,29.07,2.24,1.18,,,,,71.82
156.pnml,29.14,2.25,1.19,,,,,71.50
157.pnml,29.13,2.27,1.20,,,,,67.43
158.pnml,29.29,2.28,1.21,,,,,66.11
159.pnml,29.13,2.30,1.22,,,,,67.69
15.pnml,20.73,0.24,0.13,,,,,9.69
160.pnml,29.48,2.31,1.22,,,,,66.52
161.pnml,29.38,2.33,1.23,,,,,67.25
162.pnml,29.41,2.34,1.24,,,,,66.74
163.pnml,29.57,2.35,1.25,,,,,67.53
164.pnml,29.61,2.37,1.25,,,,,70.64
165.pnml,29.64,2.38,1.26,,,,,67.65
