file_name,mem_usage_mb,time_ms
T1a_augmented_test_0.pnml,19.07,0.47
T1a_augmented_test_100.pnml,19.98,28.50
T1a_augmented_test_101.pnml,19.99,30.38
T1a_augmented_test_102.pnml,19.99,29.60
T1a_augmented_test_103.pnml,19.99,30.00
T1a_augmented_test_104.pnml,20.00,32.26
T1a_augmented_test_105.pnml,20.02,32.49
T1a_augmented_test_106.pnml,20.08,32.05
T1a_augmented_test_107.pnml,20.03,33.36
T1a_augmented_test_108.pnml,20.02,31.97
T1a_augmented_test_109.pnml,20.04,34.07
T1a_augmented_test_10.pnml,19.32,1.10
T1a_augmented_test_110.pnml,19.95,33.92
T1a_augmented_test_111.pnml,20.06,34.09
T1a_augmented_test_112.pnml,20.06,35.40
T1a_augmented_test_113.pnml,20.07,36.82
T1a_augmented_test_114.pnml,20.21,37.87
T1a_augmented_test_115.pnml,20.08,37.65
T1a_augmented_test_116.pnml,20.09,38.07
T1a_augmented_test_117.pnml,20.10,39.54
T1a_augmented_test_118.pnml,20.11,38.90
T1a_augmented_test_119.pnml,20.11,41.00
T1a_augmented_test_11.pnml,19.20,1.36
T1a_augmented_test_120.pnml,20.13,41.94
T1a_augmented_test_121.pnml,20.00,42.77
T1a_augmented_test_122.pnml,20.14,42.06
T1a_augmented_test_123.pnml,20.14,42.12
T1a_augmented_test_124.pnml,20.15,42.50
T1a_augmented_test_125.pnml,20.16,44.24
T1a_augmented_test_126.pnml,20.16,44.40
T1a_augmented_test_127.pnml,20.17,44.49
T1a_augmented_test_128.pnml,20.18,46.00
T1a_augmented_test_129.pnml,20.19,51.68
T1a_augmented_test_12.pnml,19.32,1.45
T1a_augmented_test_130.pnml,20.16,46.03
T1a_augmented_test_131.pnml,19.98,49.31
T1a_augmented_test_132.pnml,20.18,46.96
T1a_augmented_test_133.pnml,20.33,48.71
T1a_augmented_test_134.pnml,20.22,48.04
T1a_augmented_test_135.pnml,20.16,50.81
T1a_augmented_test_136.pnml,20.23,48.40
T1a_augmented_test_137.pnml,20.24,50.81
T1a_augmented_test_138.pnml,20.25,50.78
T1a_augmented_test_139.pnml,20.25,53.39
T1a_augmented_test_13.pnml,19.45,1.47
T1a_augmented_test_140.pnml,20.26,51.75
T1a_augmented_test_141.pnml,20.22,52.87
T1a_augmented_test_142.pnml,20.40,53.36
T1a_augmented_test_143.pnml,20.28,56.64
T1a_augmented_test_144.pnml,20.18,53.69
T1a_augmented_test_145.pnml,20.30,55.65
T1a_augmented_test_146.pnml,20.30,58.49
T1a_augmented_test_147.pnml,20.31,60.62
T1a_augmented_test_148.pnml,20.11,61.10
T1a_augmented_test_149.pnml,20.32,59.18
T1a_augmented_test_14.pnml,19.45,1.56
T1a_augmented_test_150.pnml,20.33,57.74
T1a_augmented_test_151.pnml,20.34,61.63
T1a_augmented_test_152.pnml,20.35,61.89
T1a_augmented_test_153.pnml,20.35,63.80
T1a_augmented_test_154.pnml,20.25,60.08
T1a_augmented_test_155.pnml,20.37,61.65
T1a_augmented_test_156.pnml,20.37,63.69
T1a_augmented_test_157.pnml,20.38,63.93
T1a_augmented_test_158.pnml,20.38,65.97
T1a_augmented_test_159.pnml,20.39,70.69
T1a_augmented_test_15.pnml,19.45,2.29
T1a_augmented_test_160.pnml,20.40,70.24
T1a_augmented_test_161.pnml,20.64,72.74
T1a_augmented_test_162.pnml,20.41,66.37
T1a_augmented_test_163.pnml,20.42,72.56
T1a_augmented_test_164.pnml,20.51,75.86
T1a_augmented_test_165.pnml,20.43,71.76
T1a_augmented_test_166.pnml,20.44,78.85
T1a_augmented_test_167.pnml,22.82,74.31
T1a_augmented_test_168.pnml,22.95,72.58
T1a_augmented_test_169.pnml,22.94,69.70
T1a_augmented_test_16.pnml,19.45,1.72
T1a_augmented_test_170.pnml,22.95,75.74
T1a_augmented_test_171.pnml,22.95,76.18
T1a_augmented_test_172.pnml,22.95,78.37
T1a_augmented_test_173.pnml,23.07,79.48
T1a_augmented_test_174.pnml,23.07,80.03
T1a_augmented_test_175.pnml,22.95,77.72
T1a_augmented_test_176.pnml,23.07,78.94
T1a_augmented_test_177.pnml,23.07,85.14
T1a_augmented_test_178.pnml,23.08,79.83
T1a_augmented_test_179.pnml,23.20,83.66
T1a_augmented_test_17.pnml,19.45,1.96
T1a_augmented_test_180.pnml,23.20,79.86
T1a_augmented_test_181.pnml,23.20,84.68
T1a_augmented_test_182.pnml,23.20,88.18
T1a_augmented_test_183.pnml,23.20,88.29
T1a_augmented_test_184.pnml,23.32,87.62
T1a_augmented_test_185.pnml,23.32,84.76
T1a_augmented_test_186.pnml,23.32,85.48
T1a_augmented_test_187.pnml,23.32,89.90
T1a_augmented_test_188.pnml,23.33,89.09
T1a_augmented_test_189.pnml,23.32,89.50
T1a_augmented_test_18.pnml,19.57,2.01
T1a_augmented_test_190.pnml,23.45,91.47
T1a_augmented_test_191.pnml,23.33,91.91
T1a_augmented_test_192.pnml,23.45,89.29
T1a_augmented_test_193.pnml,23.45,98.04
T1a_augmented_test_194.pnml,23.45,93.57
T1a_augmented_test_195.pnml,23.57,95.70
T1a_augmented_test_196.pnml,23.47,95.89
T1a_augmented_test_197.pnml,23.57,100.96
T1a_augmented_test_198.pnml,23.57,98.09
T1a_augmented_test_199.pnml,23.57,96.90
T1a_augmented_test_19.pnml,19.57,2.04
T1a_augmented_test_1.pnml,19.07,0.42
T1a_augmented_test_200.pnml,23.70,100.54
T1a_augmented_test_201.pnml,23.70,102.34
T1a_augmented_test_202.pnml,23.70,108.27
T1a_augmented_test_203.pnml,23.70,102.77
T1a_augmented_test_204.pnml,23.70,101.48
T1a_augmented_test_205.pnml,23.70,105.71
T1a_augmented_test_206.pnml,23.82,105.49
T1a_augmented_test_207.pnml,23.82,108.04
T1a_augmented_test_208.pnml,23.82,105.68
T1a_augmented_test_209.pnml,23.82,108.14
T1a_augmented_test_20.pnml,19.57,2.23
T1a_augmented_test_210.pnml,23.82,109.88
T1a_augmented_test_211.pnml,23.82,110.87
T1a_augmented_test_212.pnml,23.95,111.78
T1a_augmented_test_213.pnml,23.95,115.90
T1a_augmented_test_214.pnml,23.95,128.46
T1a_augmented_test_215.pnml,24.07,114.18
T1a_augmented_test_216.pnml,23.95,113.83
T1a_augmented_test_217.pnml,24.07,114.79
T1a_augmented_test_218.pnml,24.07,115.06
T1a_augmented_test_219.pnml,24.07,149.77
T1a_augmented_test_21.pnml,19.57,2.55
T1a_augmented_test_220.pnml,24.07,116.95
T1a_augmented_test_221.pnml,24.07,117.65
T1a_augmented_test_222.pnml,24.07,124.04
T1a_augmented_test_223.pnml,24.20,123.39
T1a_augmented_test_224.pnml,24.20,123.32
T1a_augmented_test_225.pnml,24.20,121.91
T1a_augmented_test_226.pnml,24.19,131.76
T1a_augmented_test_227.pnml,24.20,123.76
T1a_augmented_test_228.pnml,24.32,134.21
T1a_augmented_test_229.pnml,24.32,127.36
T1a_augmented_test_22.pnml,19.57,2.68
T1a_augmented_test_230.pnml,24.32,130.00
T1a_augmented_test_231.pnml,24.32,131.69
T1a_augmented_test_232.pnml,24.32,141.84
T1a_augmented_test_233.pnml,24.32,137.67
T1a_augmented_test_234.pnml,24.45,133.17
T1a_augmented_test_235.pnml,24.45,142.28
T1a_augmented_test_236.pnml,24.45,144.82
T1a_augmented_test_237.pnml,24.45,138.95
T1a_augmented_test_238.pnml,24.45,147.58
T1a_augmented_test_239.pnml,24.50,138.80
T1a_augmented_test_23.pnml,19.57,2.85
T1a_augmented_test_240.pnml,24.57,140.43
T1a_augmented_test_241.pnml,24.57,146.06
T1a_augmented_test_242.pnml,24.57,148.21
T1a_augmented_test_243.pnml,24.57,149.15
T1a_augmented_test_244.pnml,24.70,148.12
T1a_augmented_test_245.pnml,24.70,142.81
T1a_augmented_test_246.pnml,24.70,155.38
T1a_augmented_test_247.pnml,24.70,147.03
