file_name,mem_usage_mb,time_ms
T1a_augmented_test_0.pnml,19.18,0.38
T1a_augmented_test_100.pnml,21.31,9.90
T1a_augmented_test_101.pnml,21.31,8.18
T1a_augmented_test_102.pnml,21.44,7.40
T1a_augmented_test_103.pnml,21.44,6.34
T1a_augmented_test_104.pnml,21.23,7.60
T1a_augmented_test_105.pnml,21.31,6.91
T1a_augmented_test_106.pnml,21.44,8.05
T1a_augmented_test_107.pnml,21.56,8.24
T1a_augmented_test_108.pnml,21.56,7.61
T1a_augmented_test_109.pnml,21.56,8.43
T1a_augmented_test_10.pnml,19.43,0.78
T1a_augmented_test_110.pnml,21.56,9.31
T1a_augmented_test_111.pnml,21.44,7.53
T1a_augmented_test_112.pnml,21.55,7.31
T1a_augmented_test_113.pnml,21.68,7.00
T1a_augmented_test_114.pnml,21.69,8.68
T1a_augmented_test_115.pnml,21.68,8.07
T1a_augmented_test_116.pnml,21.69,7.38
T1a_augmented_test_117.pnml,21.69,7.70
T1a_augmented_test_118.pnml,21.69,8.41
T1a_augmented_test_119.pnml,21.69,7.73
T1a_augmented_test_11.pnml,19.44,0.79
T1a_augmented_test_120.pnml,21.68,8.54
T1a_augmented_test_121.pnml,21.81,7.84
T1a_augmented_test_122.pnml,21.81,7.94
T1a_augmented_test_123.pnml,21.81,7.75
T1a_augmented_test_124.pnml,21.81,8.17
T1a_augmented_test_125.pnml,21.94,10.14
T1a_augmented_test_126.pnml,21.94,8.99
T1a_augmented_test_127.pnml,21.94,9.46
T1a_augmented_test_128.pnml,21.81,7.53
T1a_augmented_test_129.pnml,21.93,7.68
T1a_augmented_test_12.pnml,19.31,0.87
T1a_augmented_test_130.pnml,22.06,8.66
T1a_augmented_test_131.pnml,22.06,8.47
T1a_augmented_test_132.pnml,22.06,8.07
T1a_augmented_test_133.pnml,22.06,9.36
T1a_augmented_test_134.pnml,21.93,8.76
T1a_augmented_test_135.pnml,21.93,8.98
T1a_augmented_test_136.pnml,22.19,9.53
T1a_augmented_test_137.pnml,22.06,8.76
T1a_augmented_test_138.pnml,22.18,8.59
T1a_augmented_test_139.pnml,22.19,9.61
T1a_augmented_test_13.pnml,19.43,0.94
T1a_augmented_test_140.pnml,22.06,9.46
T1a_augmented_test_141.pnml,22.06,8.89
T1a_augmented_test_142.pnml,22.31,9.11
T1a_augmented_test_143.pnml,22.31,9.27
T1a_augmented_test_144.pnml,22.23,9.11
T1a_augmented_test_145.pnml,22.18,8.86
T1a_augmented_test_146.pnml,22.31,10.51
T1a_augmented_test_147.pnml,22.31,9.33
T1a_augmented_test_148.pnml,22.19,9.76
T1a_augmented_test_149.pnml,22.30,9.02
T1a_augmented_test_14.pnml,19.56,0.93
T1a_augmented_test_150.pnml,22.31,9.60
T1a_augmented_test_151.pnml,22.31,8.41
T1a_augmented_test_152.pnml,22.50,10.31
T1a_augmented_test_153.pnml,22.44,9.76
T1a_augmented_test_154.pnml,22.56,9.64
T1a_augmented_test_155.pnml,22.31,9.44
T1a_augmented_test_156.pnml,22.44,10.14
