file_name,mem_usage_mb,time_ms
T1a_augmented_test_0.pnml,19.32,0.28
T1a_augmented_test_100.pnml,20.10,21.55
T1a_augmented_test_101.pnml,19.97,22.71
T1a_augmented_test_102.pnml,19.91,22.56
T1a_augmented_test_103.pnml,20.11,22.40
T1a_augmented_test_104.pnml,19.99,25.13
T1a_augmented_test_105.pnml,20.00,24.74
T1a_augmented_test_106.pnml,20.14,24.53
T1a_augmented_test_107.pnml,20.14,25.16
T1a_augmented_test_108.pnml,20.14,26.17
T1a_augmented_test_109.pnml,20.16,26.09
T1a_augmented_test_10.pnml,19.45,0.60
T1a_augmented_test_110.pnml,20.16,26.05
T1a_augmented_test_111.pnml,20.05,27.36
T1a_augmented_test_112.pnml,20.17,27.25
T1a_augmented_test_113.pnml,20.18,28.07
T1a_augmented_test_114.pnml,20.18,28.31
T1a_augmented_test_115.pnml,20.07,28.24
T1a_augmented_test_116.pnml,20.20,30.45
T1a_augmented_test_117.pnml,20.21,30.03
T1a_augmented_test_118.pnml,20.09,33.13
T1a_augmented_test_119.pnml,20.22,31.15
T1a_augmented_test_11.pnml,19.45,0.52
T1a_augmented_test_120.pnml,20.23,31.16
T1a_augmented_test_121.pnml,20.06,32.74
T1a_augmented_test_122.pnml,20.23,33.27
T1a_augmented_test_123.pnml,20.11,32.35
T1a_augmented_test_124.pnml,20.12,33.52
T1a_augmented_test_125.pnml,20.13,37.67
T1a_augmented_test_126.pnml,20.26,36.77
T1a_augmented_test_127.pnml,20.27,35.76
T1a_augmented_test_128.pnml,20.27,36.37
T1a_augmented_test_129.pnml,20.18,35.69
T1a_augmented_test_12.pnml,19.45,0.58
T1a_augmented_test_130.pnml,20.28,39.40
T1a_augmented_test_131.pnml,20.29,37.94
T1a_augmented_test_132.pnml,20.30,37.95
T1a_augmented_test_133.pnml,20.30,37.03
T1a_augmented_test_134.pnml,20.30,39.04
T1a_augmented_test_135.pnml,20.25,40.88
T1a_augmented_test_136.pnml,20.31,39.81
T1a_augmented_test_137.pnml,20.32,39.49
T1a_augmented_test_138.pnml,20.21,41.46
T1a_augmented_test_139.pnml,20.34,40.00
T1a_augmented_test_13.pnml,19.33,0.76
T1a_augmented_test_140.pnml,20.35,42.22
T1a_augmented_test_141.pnml,20.35,42.56
T1a_augmented_test_142.pnml,20.36,43.34
T1a_augmented_test_143.pnml,20.24,43.92
T1a_augmented_test_144.pnml,20.24,44.97
T1a_augmented_test_145.pnml,20.38,44.92
T1a_augmented_test_146.pnml,20.38,46.15
T1a_augmented_test_147.pnml,20.35,47.04
T1a_augmented_test_148.pnml,20.40,50.39
T1a_augmented_test_149.pnml,20.53,48.08
T1a_augmented_test_14.pnml,19.57,0.81
T1a_augmented_test_150.pnml,20.40,48.88
T1a_augmented_test_151.pnml,20.41,48.65
T1a_augmented_test_152.pnml,20.42,51.98
T1a_augmented_test_153.pnml,20.42,51.33
T1a_augmented_test_154.pnml,20.36,51.05
T1a_augmented_test_155.pnml,20.44,52.48
T1a_augmented_test_156.pnml,20.44,52.24
T1a_augmented_test_157.pnml,20.45,52.99
T1a_augmented_test_158.pnml,20.45,53.53
T1a_augmented_test_159.pnml,20.46,58.30
T1a_augmented_test_15.pnml,19.57,0.91
T1a_augmented_test_160.pnml,20.15,55.49
T1a_augmented_test_161.pnml,20.34,57.76
T1a_augmented_test_162.pnml,20.47,72.95
T1a_augmented_test_163.pnml,20.48,58.70
T1a_augmented_test_164.pnml,20.61,63.02
T1a_augmented_test_165.pnml,20.37,60.73
T1a_augmented_test_166.pnml,20.50,61.52
T1a_augmented_test_167.pnml,22.82,63.96
T1a_augmented_test_168.pnml,22.95,61.06
T1a_augmented_test_169.pnml,23.07,63.02
T1a_augmented_test_16.pnml,19.45,0.82
T1a_augmented_test_170.pnml,23.07,61.75
T1a_augmented_test_171.pnml,23.07,64.68
T1a_augmented_test_172.pnml,22.95,63.91
T1a_augmented_test_173.pnml,23.07,67.34
T1a_augmented_test_174.pnml,23.20,66.56
T1a_augmented_test_175.pnml,23.07,65.90
T1a_augmented_test_176.pnml,23.20,70.83
T1a_augmented_test_177.pnml,23.20,67.26
T1a_augmented_test_178.pnml,23.20,77.37
T1a_augmented_test_179.pnml,23.32,73.35
T1a_augmented_test_17.pnml,19.45,0.96
T1a_augmented_test_180.pnml,23.25,72.64
T1a_augmented_test_181.pnml,23.19,72.19
T1a_augmented_test_182.pnml,23.32,74.73
T1a_augmented_test_183.pnml,23.20,83.09
T1a_augmented_test_184.pnml,23.38,76.81
T1a_augmented_test_185.pnml,23.45,73.99
T1a_augmented_test_186.pnml,23.45,73.77
T1a_augmented_test_187.pnml,23.32,72.97
T1a_augmented_test_188.pnml,23.45,77.53
T1a_augmented_test_189.pnml,23.45,105.37
T1a_augmented_test_18.pnml,19.57,1.06
T1a_augmented_test_190.pnml,23.57,76.94
T1a_augmented_test_191.pnml,23.45,79.09
T1a_augmented_test_192.pnml,23.44,87.00
T1a_augmented_test_193.pnml,23.57,78.38
T1a_augmented_test_194.pnml,23.57,82.50
T1a_augmented_test_195.pnml,23.57,95.40
T1a_augmented_test_196.pnml,23.70,83.51
T1a_augmented_test_197.pnml,23.57,87.68
T1a_augmented_test_198.pnml,23.69,85.92
T1a_augmented_test_199.pnml,23.70,86.73
T1a_augmented_test_19.pnml,19.70,1.20
T1a_augmented_test_1.pnml,19.20,0.19
T1a_augmented_test_200.pnml,23.70,85.58
T1a_augmented_test_201.pnml,23.82,94.68
T1a_augmented_test_202.pnml,23.58,94.02
T1a_augmented_test_203.pnml,23.61,89.98
T1a_augmented_test_204.pnml,23.82,90.76
T1a_augmented_test_205.pnml,23.82,91.28
T1a_augmented_test_206.pnml,23.82,92.01
T1a_augmented_test_207.pnml,23.95,91.24
T1a_augmented_test_208.pnml,23.95,95.76
T1a_augmented_test_209.pnml,23.82,94.67
T1a_augmented_test_20.pnml,19.35,1.29
T1a_augmented_test_210.pnml,23.95,97.74
T1a_augmented_test_211.pnml,23.82,99.41
T1a_augmented_test_212.pnml,23.82,98.22
T1a_augmented_test_213.pnml,23.95,99.48
T1a_augmented_test_214.pnml,23.95,99.91
T1a_augmented_test_215.pnml,23.95,97.13
T1a_augmented_test_216.pnml,24.07,103.25
T1a_augmented_test_217.pnml,24.20,100.30
T1a_augmented_test_218.pnml,24.07,111.43
T1a_augmented_test_219.pnml,24.20,104.95
T1a_augmented_test_21.pnml,19.27,1.59
T1a_augmented_test_220.pnml,24.20,106.72
T1a_augmented_test_221.pnml,24.20,106.44
T1a_augmented_test_222.pnml,24.07,108.06
T1a_augmented_test_223.pnml,24.32,107.41
T1a_augmented_test_224.pnml,24.32,107.75
T1a_augmented_test_225.pnml,24.32,117.43
T1a_augmented_test_226.pnml,24.32,119.31
T1a_augmented_test_227.pnml,24.32,109.64
T1a_augmented_test_228.pnml,24.32,114.39
T1a_augmented_test_229.pnml,24.32,116.48
T1a_augmented_test_22.pnml,19.48,1.41
T1a_augmented_test_230.pnml,24.45,115.37
T1a_augmented_test_231.pnml,24.45,119.09
T1a_augmented_test_232.pnml,24.45,119.30
T1a_augmented_test_233.pnml,24.45,119.69
T1a_augmented_test_234.pnml,24.57,117.32
T1a_augmented_test_235.pnml,24.57,122.42
T1a_augmented_test_236.pnml,24.57,131.30
T1a_augmented_test_237.pnml,24.57,129.23
T1a_augmented_test_238.pnml,24.45,124.49
T1a_augmented_test_239.pnml,24.57,123.76
T1a_augmented_test_23.pnml,19.49,1.47
T1a_augmented_test_240.pnml,24.57,125.44
T1a_augmented_test_241.pnml,24.70,124.95
T1a_augmented_test_242.pnml,24.70,129.38
T1a_augmented_test_243.pnml,24.57,128.81
T1a_augmented_test_244.pnml,24.70,130.38
T1a_augmented_test_245.pnml,24.82,124.53
