filename,transitions,places,nodes
848.pnml,5944,5096,13586
66.pnml,470,404,1074
629.pnml,4411,3782,10082
597.pnml,4187,3590,9570
208.pnml,1464,1256,3346
181.pnml,1275,1094,2914
195.pnml,1373,1178,3138
613.pnml,4299,3686,9826
994.pnml,6966,5972,15922
917.pnml,6427,5510,14690
349.pnml,2451,2102,5602
23.pnml,169,146,386
681.pnml,4775,4094,10914
238.pnml,1674,1436,3826
422.pnml,2962,2540,6770
262.pnml,1842,1580,4210
265.pnml,1863,1598,4258
798.pnml,5594,4796,12786
852.pnml,5972,5120,13650
723.pnml,5069,4346,11586
996.pnml,6980,5984,15954
79.pnml,561,482,1282
502.pnml,3522,3020,8050
964.pnml,6756,5792,15442
218.pnml,1534,1316,3506
792.pnml,5552,4760,12690
793.pnml,5559,4766,12706
45.pnml,323,278,738
814.pnml,5706,4892,13042
419.pnml,2941,2522,6722
801.pnml,5615,4814,12834
219.pnml,1541,1322,3522
989.pnml,6931,5942,15842
60.pnml,428,368,978
84.pnml,596,512,1362
129.pnml,911,782,2082
661.pnml,4635,3974,10594
36.pnml,260,224,594
991.pnml,6945,5954,15874
71.pnml,505,434,1154
289.pnml,2031,1742,4642
751.pnml,5265,4514,12034
796.pnml,5580,4784,12754
643.pnml,4509,3866,10306
682.pnml,4782,4100,10930
411.pnml,2885,2474,6594
920.pnml,6448,5528,14738
335.pnml,2353,2018,5378
360.pnml,2528,2168,5778
988.pnml,6924,5936,15826
962.pnml,6742,5780,15410
690.pnml,4838,4148,11058
256.pnml,1800,1544,4114
795.pnml,5573,4778,12738
350.pnml,2458,2108,5618
897.pnml,6287,5390,14370
870.pnml,6098,5228,13938
652.pnml,4572,3920,10450
234.pnml,1646,1412,3762
74.pnml,526,452,1202
377.pnml,2647,2270,6050
654.pnml,4586,3932,10482
215.pnml,1513,1298,3458
616.pnml,4320,3704,9874
683.pnml,4789,4106,10946
131.pnml,925,794,2114
904.pnml,6336,5432,14482
655.pnml,4593,3938,10498
109.pnml,771,662,1762
53.pnml,379,326,866
909.pnml,6371,5462,14562
645.pnml,4523,3878,10338
58.pnml,414,356,946
641.pnml,4495,3854,10274
813.pnml,5699,4886,13026
158.pnml,1114,956,2546
182.pnml,1282,1100,2930
819.pnml,5741,4922,13122
492.pnml,3452,2960,7890
721.pnml,5055,4334,11554
22.pnml,162,140,370
173.pnml,1219,1046,2786
993.pnml,6959,5966,15906
805.pnml,5643,4838,12898
651.pnml,4565,3914,10434
876.pnml,6140,5264,14034
434.pnml,3046,2612,6962
483.pnml,3389,2906,7746
662.pnml,4642,3980,10610
47.pnml,337,290,770
780.pnml,5468,4688,12498
663.pnml,4649,3986,10626
702.pnml,4922,4220,11250
39.pnml,281,242,642
204.pnml,1436,1232,3282
332.pnml,2332,2000,5330
812.pnml,5692,4880,13010
417.pnml,2927,2510,6690
949.pnml,6651,5702,15202
73.pnml,519,446,1186
455.pnml,3193,2738,7298
180.pnml,1268,1088,2898
839.pnml,5881,5042,13442
371.pnml,2605,2234,5954
205.pnml,1443,1238,3298
200.pnml,1408,1208,3218
12.pnml,92,80,210
481.pnml,3375,2894,7714
344.pnml,2416,2072,5522
343.pnml,2409,2066,5506
267.pnml,1877,1610,4290
108.pnml,764,656,1746
127.pnml,897,770,2050
1.pnml,15,14,34
632.pnml,4432,3800,10130
938.pnml,6574,5636,15026
